Ils	PRON	il
,	PUNCT	,
temps	NOUN	temps
...	PUNCT	...
collabos	ADJ	collabo
manifestation	NOUN	manifestation
connaissance	NOUN	connaissance
s'	PRON	se
D'	ADP	de
pleine	ADJ	plein
devant	ADP	devant
du	ADP	de
Ils	PRON	il
,	PUNCT	,
fallait	VERB	falloir
du	ADP	de
petite	ADJ	petit
s'	PRON	se
-il	PRON	il
avaient	AUX	avoir
que	PRON	que
qui	PRON	qui
!	PUNCT	!
lamentablement	ADV	lamentablement
!	PUNCT	!
de-là	ADV	de-là
déjà	ADV	déjà
foutaient	VERB	foutre
flics	NOUN	flic
ailleurs	ADV	ailleurs
lui	PRON	lui
fausses	ADJ	faux
de	ADP	de
,	PUNCT	,
l'	DET	le
fuite	NOUN	fuite
main	NOUN	main
organisé	VERB	organiser
revoyaient	VERB	revoir
prison	NOUN	prison
y	PRON	y
retrouvé	VERB	retrouver
cessé	VERB	cesser
.	PUNCT	.
se	PRON	se
n'	ADV	n'
les	DET	le
un	DET	un
aussi	ADV	aussi
mousquetons	NOUN	mousqueton
enflure	NOUN	enflure
de	ADP	de
.	PUNCT	.
jouer	VERB	jouer
.	PUNCT	.
un	DET	un
qu'	PRON	qu'
n'	ADV	n'
,	PUNCT	,
pas	ADV	pas
massacrés	VERB	massacrer
leur	DET	leur
Blaireau	PROPN	Blaireau
entendait	VERB	entendre
Autant	ADV	autant
,	PUNCT	,
.	PUNCT	.
d'	ADP	de
qui	PRON	qui
se	PRON	se
Tous	ADJ	tout
!	PUNCT	!
de	ADP	de
qu'	PRON	qu'
par	ADP	par
,	PUNCT	,
Roblet	PROPN	Roblet
les	DET	le
.	PUNCT	.
la	DET	le
rue	NOUN	rue
que	SCONJ	que
et	CCONJ	et
Mais	CCONJ	mais
Chapeau	NOUN	chapeau
rigoler	VERB	rigoler
sur	ADP	sur
qui	PRON	qui
faire	VERB	faire
mitraillé	VERB	mitrailler
peu	ADV	peu
et	CCONJ	et
Eux	PRON	lui
lâche	NOUN	lâche
.	PUNCT	.
rien	NOUN	rien
un	DET	un
tout	ADJ	tout
scène	NOUN	scène
dans	ADP	dans
pansement	NOUN	pansement
qu'	SCONJ	que
trentaine	NOUN	trentaine
été	AUX	être
choisi	VERB	choisir
que	SCONJ	que
avait	AUX	avoir
le	DET	le
pour	ADP	pour
,	PUNCT	,
cellules	NOUN	cellule
pas	ADV	pas
Carcasse	PROPN	Carcasse
étaient	AUX	être
de	ADP	de
des	ADP	de
bientôt	ADV	bientôt
appeler	VERB	appeler
peu	ADV	peu
condamnés	NOUN	condamné
l'	DET	le
avait	VERB	avoir
enceinte	NOUN	enceinte
ils	PRON	il
étaient	AUX	être
à	ADP	à
alors	ADV	alors
allaient	VERB	aller
d'	DET	d'
la	DET	le
avoir	VERB	avoir
cartes	NOUN	carte
est	VERB	être
semaines	NOUN	semaine
passer	VERB	passer
Rome	PROPN	Rome
pour	ADP	pour
!	PUNCT	!
-ce	PRON	-ce
qui	PRON	qui
A	ADP	à
pour	ADP	pour
couvertes	VERB	couvrir
pas	ADV	pas
que	SCONJ	que
la	DET	le
ne	ADV	ne
qui	PRON	qui
l'	DET	le
faisait	VERB	faire
verlan	NOUN	verlan
Et	CCONJ	et
la	DET	le
,	PUNCT	,
une	DET	un
avait	AUX	avoir
disparaître	VERB	disparaître
ne	ADV	ne
chique	NOUN	chique
traquer	VERB	traquer
la	DET	le
d'	ADP	de
des	DET	un
Oui	ADV	oui
autres	ADJ	autre
Delaveine	PROPN	Delaveine
.	PUNCT	.
les	DET	le
.	PUNCT	.
Ils	PRON	il
fer	NOUN	fer
avantage	NOUN	avantage
en	ADP	en
troupes	NOUN	troupe
la	DET	le
il	PRON	il
les	DET	le
U.	PROPN	U.
Vue	VERB	voir
là	ADV	là
en	PRON	en
parfaitement	ADV	parfaitement
s'	PRON	se
leur	DET	leur
et	CCONJ	et
avaient	AUX	avoir
un	DET	un
autres	NOUN	autre
bagarre	NOUN	bagarre
entre	ADP	entre
ou	CCONJ	ou
...	PUNCT	...
,	PUNCT	,
à	ADP	à
organisées	VERB	organiser
des	ADP	de
peut-être	ADV	peut-être
chantent	VERB	chanter
avait	VERB	avoir
d'	ADP	de
bord	NOUN	bord
également	ADV	également
déboîtage	NOUN	déboîtage
faisaient	AUX	faire
de	ADP	de
bagnole	NOUN	bagnole
deux	PRON	deux
sous	ADP	sous
et	CCONJ	et
la	DET	le
des	DET	un
mitraillait	VERB	mitrailler
Roro	PROPN	Roro
la	DET	le
donné	VERB	donner
des	ADP	de
environnante	ADJ	environnant
,	PUNCT	,
extérieure	ADJ	extérieur
clés	NOUN	clé
dernier	ADJ	dernier
.	PUNCT	.
.	PUNCT	.
de	ADP	de
des	ADP	de
s'	PRON	se
d'	ADP	de
Vous	PRON	vous
!	PUNCT	!
d'	ADP	de
des	ADP	de
bien	ADV	bien
de	DET	de
les	DET	le
.	PUNCT	.
gardes	NOUN	garde
de	ADP	de
eu	VERB	avoir
les	DET	le
la	DET	le
la	DET	le
capitaine	NOUN	capitaine
bras	NOUN	bras
cette	DET	ce
y	PRON	y
qui	PRON	qui
retrouvé	VERB	retrouver
quatrième	ADJ	quatrième
On	PRON	on
impénétrables	ADJ	impénétrable
,	PUNCT	,
on	PRON	on
attendaient	VERB	attendre
pour	ADP	pour
futures	ADJ	futur
,	PUNCT	,
certain	ADJ	certain
en	PRON	en
groupe	NOUN	groupe
Sortez	VERB	sortir
piger	VERB	piger
mecs	NOUN	mec
leurs	DET	leur
de	ADP	de
à	ADP	à
les	DET	le
exécuter	VERB	exécuter
son	DET	son
guerre	NOUN	guerre
affronter	VERB	affronter
penser	VERB	penser
Autant	ADV	autant
offrir	VERB	offrir
les	DET	le
Ils	PRON	il
un	DET	un
et	CCONJ	et
-il	PRON	il
mètres	NOUN	mètre
mélanger	VERB	mélanger
mirador	NOUN	mirador
tri	NOUN	tri
Sans	ADP	sans
avait	AUX	avoir
était	AUX	être
poindre	VERB	poindre
Delaveine	PROPN	Delaveine
marqués	VERB	marquer
deux	PRON	deux
une	DET	un
ouvraient	VERB	ouvrir
tarte	NOUN	tarte
les	DET	le
morts	NOUN	mort
cellules	NOUN	cellule
enrôlés	VERB	enrôler
trouer	VERB	trouer
la	DET	le
été	AUX	être
à	ADP	à
il	PRON	il
Blaireau	PROPN	Blaireau
qui	PRON	qui
l'	DET	le
voyaient	VERB	voir
l'	DET	le
Ils	PRON	il
sa	DET	son
,	PUNCT	,
fond	NOUN	fond
rien	NOUN	rien
un	DET	un
même	ADV	même
n'	ADV	n'
incontrôlables	ADJ	incontrôlable
d'	ADP	de
son	DET	son
arrière	ADJ	arrière
avaient	AUX	avoir
deux	NUM	deux
serviettes	NOUN	serviette
malheureux	ADJ	malheureux
et	CCONJ	et
ans	NOUN	an
groupe	NOUN	groupe
faisaient	AUX	faire
des	ADP	de
avait	AUX	avoir
nom	NOUN	nom
étaient	AUX	être
l'	DET	le
le	DET	le
se	PRON	se
de	ADP	de
Roblet	PROPN	Roblet
pour	ADP	pour
un	DET	un
de	ADP	de
.	PUNCT	.
de	ADP	de
avaient	AUX	avoir
la	DET	le
détenus	NOUN	détenu
.	PUNCT	.
,	PUNCT	,
moellons	NOUN	moellon
affaire	NOUN	affaire
foncer	VERB	foncer
avec	ADP	avec
était	AUX	être
santé	NOUN	santé
Mais	CCONJ	mais
ou	CCONJ	ou
filles	NOUN	fille
Property	PROPN	Property
bah	INTJ	bah
,	PUNCT	,
.	PUNCT	.
de	ADP	de
opéra	NOUN	opéra
avait	AUX	avoir
,	PUNCT	,
et	CCONJ	et
dix	NUM	dix
quelque	DET	quelque
pour	ADP	pour
des	DET	un
un	DET	un
.	PUNCT	.
à	ADV	à
Envahisseur	NOUN	envahisseur
interrogatoire	NOUN	interrogatoire
taule	NOUN	taule
camarades	NOUN	camarade
astucieux	ADJ	astucieux
,	PUNCT	,
C'	PRON	ce
lendemains	NOUN	lendemain
Allait	VERB	aller
faire	VERB	faire
dirigeantes	ADJ	dirigeant
.	PUNCT	.
échapper	VERB	échapper
sirènes	NOUN	sirène
les	DET	le
était	AUX	être
et	CCONJ	et
intérieur	NOUN	intérieur
guerre	NOUN	guerre
un	DET	un
aurait	AUX	avoir
