,	PUNCT	,
que	PRON	que
pas	ADV	pas
.	PUNCT	.
--	PUNCT	--
une	DET	un
de	ADP	de
crétin	ADJ	crétin
.	PUNCT	.
bandes	NOUN	bande
:	PUNCT	:
dans	ADP	dans
chatouilleux	ADJ	chatouilleux
Je	PRON	je
les	DET	le
vérité	NOUN	vérité
.	PUNCT	.
de	ADP	de
au	ADP	au
justesse	NOUN	justesse
ville	NOUN	ville
.	PUNCT	.
gars	NOUN	gars
Dieu	PROPN	Dieu
cracha	VERB	cracher
vernissage	NOUN	vernissage
cria	VERB	crier
tu	PRON	tu
,	PUNCT	,
colère	NOUN	colère
mains	NOUN	main
Saint-Antoine	PROPN	Saint-Antoine
c'	PRON	ce
ça	PRON	cela
veux	VERB	vouloir
-t	PRON	-t
--	PUNCT	--
s'	PRON	se
pleurnicher	VERB	pleurnicher
pluie	NOUN	pluie
à	ADP	à
--	PUNCT	--
le	DET	le
qu'	SCONJ	que
Tu	PRON	tu
eut	VERB	avoir
copains	NOUN	copain
!	PUNCT	!
camp	NOUN	camp
yeux	NOUN	oeil
Gogh	PROPN	Gogh
dinghy	NOUN	dinghy
On	PRON	on
elle	PRON	lui
.	PUNCT	.
va	VERB	aller
homme	NOUN	homme
accrochée	VERB	accrocher
.	PUNCT	.
de	ADP	de
.	PUNCT	.
plein	ADP	plein
,	PUNCT	,
était	AUX	être
n'	ADV	n'
skieuse	NOUN	skieur
faisait	VERB	faire
.	PUNCT	.
mis	VERB	mettre
ferais	VERB	faire
?	PUNCT	?
chiendent	NOUN	chiendent
demain	ADV	demain
dans	ADP	dans
je	PRON	je
!	PUNCT	!
--	PUNCT	--
le	DET	le
son	DET	son
jamais	ADV	jamais
enfantillage	NOUN	enfantillage
-elle	PRON	lui
était	AUX	être
casquette	NOUN	casquette
presque	ADV	presque
la	DET	le
être	AUX	être
fille	NOUN	fille
à	ADP	à
le	PRON	le
revanche	NOUN	revanche
,	PUNCT	,
la	DET	le
de	ADP	de
aime	VERB	aime
ameublement	NOUN	ameublement
négligée	VERB	négliger
