,	PUNCT	,
sur	ADP	sur
bleus	ADJ	bleu
allaient	VERB	aller
,	PUNCT	,
s'	PRON	se
,	PUNCT	,
,	PUNCT	,
.	PUNCT	.
la	DET	le
,	PUNCT	,
ne	ADV	ne
,	PUNCT	,
connaissait	VERB	connaître
mousse	NOUN	mousse
peut-être	ADV	peut-être
une	DET	un
en	ADP	en
raisons	NOUN	raison
,	PUNCT	,
,	PUNCT	,
La	DET	le
sursauta	VERB	sursauter
et	CCONJ	et
quelques	DET	quelque
acier	NOUN	acier
masque	NOUN	masque
lui	PRON	lui
abord	NOUN	abord
Ralph	PROPN	Ralph
eussent	AUX	avoir
dangereux	ADJ	dangereux
,	PUNCT	,
et	CCONJ	et
de	ADP	de
point	ADV	point
main	NOUN	main
vie	NOUN	vie
.	PUNCT	.
Précédant	VERB	précéder
souple	ADJ	souple
,	PUNCT	,
en	PRON	en
mais	CCONJ	mais
front	NOUN	front
presque	ADV	presque
faire	VERB	faire
ni	CCONJ	ni
profondeur	NOUN	profondeur
robustesse	NOUN	robustesse
cela	PRON	cela
que	PRON	que
bois	NOUN	bois
même	ADV	même
reste	NOUN	reste
tard	ADV	tard
s'	PRON	se
parfois	ADV	parfois
compagnon	NOUN	compagnon
en	ADP	en
,	PUNCT	,
ortolans	NOUN	ortolan
la	DET	le
.	PUNCT	.
où	PRON	où
traits	NOUN	trait
des	DET	un
Assez	ADV	assez
:	PUNCT	:
proche	ADJ	proche
abord	NOUN	abord
flèches	NOUN	flèche
,	PUNCT	,
,	PUNCT	,
moyens	NOUN	moyen
et	CCONJ	et
unie	ADJ	uni
?	PUNCT	?
comte	NOUN	comte
était	AUX	être
chaud	ADJ	chaud
Patiemment	ADV	patiemment
arrière	ADJ	arrière
de	ADP	de
quelque	DET	quelque
d'	ADP	de
quoique	ADV	quoique
du	ADP	de
s'	PRON	se
Peut	ADV	peut
détourner	VERB	détourner
mélancolique	ADJ	mélancolique
que	SCONJ	que
le	DET	le
—	PUNCT	—
yeux	NOUN	oeil
volonté	NOUN	volonté
jeune	ADJ	jeune
élément	NOUN	élément
qui	PRON	qui
ont	AUX	avoir
,	PUNCT	,
brusquement	ADV	brusquement
cette	DET	ce
,	PUNCT	,
avait	AUX	avoir
d'	ADP	de
personne	NOUN	personne
dérouiller	VERB	dérouiller
de	ADP	de
davantage	ADV	davantage
que	SCONJ	que
et	CCONJ	et
que	SCONJ	que
,	PUNCT	,
d'	ADP	de
à	ADP	à
clairs	ADJ	clair
tombaient	VERB	tomber
Le	DET	le
à	ADP	à
Les	DET	le
.	PUNCT	.
-il	PRON	il
avec	ADP	avec
bois	NOUN	bois
songer	VERB	songer
dénotait	VERB	dénoter
sorte	NOUN	sorte
que	PRON	que
britannique	ADJ	britannique
très	ADV	très
venue	VERB	venir
l'	DET	le
jeunes	ADJ	jeune
mais	CCONJ	mais
tête	NOUN	tête
,	PUNCT	,
,	PUNCT	,
sur	ADP	sur
,	PUNCT	,
une	DET	un
marches	NOUN	marche
aussi	ADV	aussi
à	ADP	à
contrariété	NOUN	contrariété
sols	NOUN	sol
Seriez	VERB	être
Mombrun	PROPN	Mombrun
qui	PRON	qui
la	DET	le
d'	ADP	de
on	PRON	on
Renaud	PROPN	Renaud
accomplir	VERB	accomplir
la	DET	le
Lord	NOUN	lord
fut	AUX	être
les	PRON	le
,	PUNCT	,
comte	NOUN	comte
.	PUNCT	.
lançant	VERB	lancer
cela	PRON	cela
se	PRON	se
sans	ADP	sans
accusée	VERB	accuser
à	ADP	à
l'	DET	le
sombres	ADJ	sombre
nature	NOUN	nature
.	PUNCT	.
de	ADP	de
passer	VERB	passer
quels	DET	quel
en	PRON	en
de	ADP	de
Eh	INTJ	Eh
faire	VERB	faire
il	PRON	il
particulière	ADJ	particulier
.	PUNCT	.
,	PUNCT	,
un	DET	un
question	NOUN	question
gants	NOUN	gant
les	DET	le
adressa	VERB	adresser
tunnel	NOUN	tunnel
soit	VERB	être
la	DET	le
forcer	VERB	forcer
à	ADP	à
enfin	ADV	enfin
pleine	ADJ	plein
pas	ADV	pas
son	DET	son
lisse	ADJ	lisse
,	PUNCT	,
vos	DET	votre
ailleurs	ADV	ailleurs
que	SCONJ	que
leur	DET	leur
mais	CCONJ	mais
Vincent	PROPN	Vincent
pas	ADV	pas
Renaud	PROPN	Renaud
avançait	VERB	avancer
fraîcheur	NOUN	fraîcheur
regards	NOUN	regard
mer	NOUN	mer
,	PUNCT	,
était	AUX	être
des	DET	un
,	PUNCT	,
Renaud	PROPN	Renaud
brièvement	ADV	brièvement
qui	PRON	qui
une	DET	un
cause	NOUN	cause
ne	ADV	ne
,	PUNCT	,
attendit	VERB	attendre
ceux	PRON	celui
,	PUNCT	,
soleil	NOUN	soleil
démocratique	ADJ	démocratique
Il	PRON	il
justice	NOUN	justice
encore	ADV	encore
Murray	PROPN	Murray
,	PUNCT	,
les	DET	le
si	ADV	si
,	PUNCT	,
chemineau	NOUN	chemineau
des	ADP	de
apparence	NOUN	apparence
,	PUNCT	,
,	PUNCT	,
et	CCONJ	et
ses	DET	son
déjà	ADV	déjà
visage	NOUN	visage
ardente	ADJ	ardent
de	ADP	de
foulé	VERB	fouler
inaperçue	ADJ	inaperçu
jonc	NOUN	jonc
corps	NOUN	corps
humour	NOUN	humour
Oxford	PROPN	Oxford
j'	PRON	je
rapidité	NOUN	rapidité
,	PUNCT	,
s'	PRON	se
nostalgie	NOUN	nostalgie
voiture	NOUN	voiture
—	PUNCT	—
Murray	PROPN	Murray
il	PRON	il
l'	DET	le
tenait	VERB	tenir
ne	ADV	ne
embrasées	VERB	embraser
et	CCONJ	et
qui	PRON	qui
.	PUNCT	.
jeune	ADJ	jeune
-vous	PRON	vous
l'	DET	le
-il	PRON	il
des	ADP	de
et	CCONJ	et
lui	PRON	lui
le	DET	le
rapidement	ADV	rapidement
émanait	VERB	émaner
.	PUNCT	.
pas	ADV	pas
reins	NOUN	rein
forêts	NOUN	forêt
,	PUNCT	,
,	PUNCT	,
trop	ADV	trop
Et	CCONJ	et
sur	ADP	sur
lord	NOUN	lord
d'	ADP	de
dans	ADP	dans
Ralph	PROPN	Ralph
et	CCONJ	et
démarré	VERB	démarrer
se	PRON	se
un	DET	un
forte	ADJ	fort
cassé	VERB	casser
de	ADP	de
immédiat	ADJ	immédiat
,	PUNCT	,
de	ADP	de
cailloux	NOUN	caillou
chant	NOUN	chant
coussins	NOUN	coussin
autant	ADV	autant
gouttes	NOUN	goutte
le	PRON	le
les	DET	le
la	DET	le
