faire	VERB	faire
mon	DET	mon
,	PUNCT	,
vêtu	VERB	vêtir
.	PUNCT	.
l'	DET	le
et	CCONJ	et
que	PRON	que
,	PUNCT	,
de	ADP	de
passer	VERB	passer
y	PRON	y
film	NOUN	film
pour	ADP	pour
émouvoir	VERB	émouvoir
qui	PRON	qui
espoir	NOUN	espoir
dit	VERB	dire
été	AUX	être
nom	NOUN	nom
!	PUNCT	!
,	PUNCT	,
Matthieu	PROPN	Matthieu
acteur	NOUN	acteur
de	ADP	de
parmi	ADP	parmi
,	PUNCT	,
,	PUNCT	,
que	ADV	que
qui	PRON	qui
vingt-cinq	NUM	vingt-cinq
plan	NOUN	plan
Le	DET	le
,	PUNCT	,
acteur	NOUN	acteur
permis	VERB	permettre
avait	AUX	avoir
de	ADP	de
Matthieu	PROPN	Matthieu
-je	PRON	je
,	PUNCT	,
Un	DET	un
?	PUNCT	?
Il	PRON	il
la	DET	le
n'	ADV	n'
pas	ADV	pas
le	DET	le
smoking	NOUN	smoking
avait	VERB	avoir
disques	NOUN	disque
était	AUX	être
émue	VERB	émouvoir
les	DET	le
la	DET	le
c'	PRON	ce
notre	DET	notre
gens	NOUN	gens
été	AUX	être
agent	NOUN	agent
la	PRON	le
—	PUNCT	—
meilleur	ADJ	meilleur
Capitole	PROPN	Capitole
,	PUNCT	,
réalisateurs	NOUN	réalisateur
cher	ADJ	cher
onze	NUM	onze
—	PUNCT	—
retentirent	VERB	retentir
très	ADV	très
—	PUNCT	—
objet	NOUN	objet
,	PUNCT	,
secondes	NOUN	seconde
une	DET	un
qui	PRON	qui
je	PRON	je
avec	ADP	avec
de	ADP	de
tous	PRON	tout
—	PUNCT	—
«	PUNCT	«
pas	ADV	pas
rire	VERB	rire
rires	NOUN	rire
cheveux	NOUN	cheveu
aviez	AUX	avoir
Maître	NOUN	maître
ne	ADV	ne
et	CCONJ	et
coupés	VERB	couper
vous	PRON	vous
grand	ADJ	grand
!	PUNCT	!
un	DET	un
Comment	ADV	comment
l'	DET	le
courts	ADJ	court
—	PUNCT	—
capables	ADJ	capable
et	CCONJ	et
une	DET	un
main	NOUN	main
forages	NOUN	forage
L'	DET	le
actrice	NOUN	acteur
était	AUX	être
La	DET	le
à	ADP	à
tenait	VERB	tenir
conçue	VERB	concevoir
semblait	VERB	sembler
filmait	VERB	filmer
,	PUNCT	,
je	PRON	je
même	ADJ	même
chuchoter	VERB	chuchoter
angoissés	ADJ	angoissé
comique	ADJ	comique
permettait	VERB	permettre
Césars	NOUN	césar
J'	PRON	je
avait	AUX	avoir
minute	NOUN	minute
épaules	NOUN	épaule
d'	ADP	de
tennis	NOUN	tennis
moyenne	NOUN	moyenne
répondit	VERB	répondre
voté	VERB	voter
.	PUNCT	.
image	NOUN	image
une	DET	un
