Votre	DET	votre
,	PUNCT	,
à	ADP	à
pour	ADP	pour
.	PUNCT	.
presse	NOUN	presse
la	DET	le
malgré	ADP	malgré
qu'	SCONJ	que
d'	ADP	de
la	DET	le
affaire	NOUN	affaire
au	ADP	au
n'	ADV	n'
sa	DET	son
de	ADP	de
des	DET	un
le	PRON	le
victime	NOUN	victime
,	PUNCT	,
est	AUX	être
et	CCONJ	et
étaient	AUX	être
conférences	NOUN	conférence
ailleurs	ADV	ailleurs
pincer	VERB	pincer
essaierai	VERB	essayer
la	DET	le
n'	ADV	n'
presse	NOUN	presse
ridiculiser	VERB	ridiculiser
astronomique	ADJ	astronomique
Pour	ADP	pour
d'	ADP	de
son	DET	son
,	PUNCT	,
naturellement	ADV	naturellement
meurtres	NOUN	meurtre
—	PUNCT	—
,	PUNCT	,
,	PUNCT	,
élite	NOUN	élite
au	ADP	au
inexplicablement	ADV	inexplicablement
s'	PRON	se
contre	ADP	contre
ordinaires	ADJ	ordinaire
bien	ADV	bien
,	PUNCT	,
dire	VERB	dire
il	PRON	il
intéressés	VERB	intéresser
général	ADJ	général
brillant	ADJ	brillant
place	NOUN	place
avait	AUX	avoir
de	ADP	de
conviction	NOUN	conviction
d'	ADP	de
pervers	ADJ	pervers
les	DET	le
.	PUNCT	.
flic	NOUN	flic
il	PRON	il
suis	AUX	être
Six	NUM	Six
vie	NOUN	vie
,	PUNCT	,
police	NOUN	police
au	ADP	au
,	PUNCT	,
,	PUNCT	,
été	AUX	être
d'	ADP	de
Devane	PROPN	Devane
le	PRON	le
résultats	NOUN	résultat
la	DET	le
.	PUNCT	.
et	CCONJ	et
.	PUNCT	.
habituellement	ADV	habituellement
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
tuer	VERB	tuer
.	PUNCT	.
les	DET	le
est	AUX	être
»	PUNCT	»
dirai	VERB	dire
défier	VERB	défier
—	PUNCT	—
jouer	VERB	jouer
.	PUNCT	.
et	CCONJ	et
n'	ADV	n'
génie	NOUN	génie
.	PUNCT	.
pas	ADV	pas
exagérée	ADJ	exagéré
.	PUNCT	.
il	PRON	il
exagérez	VERB	exagérer
fait	NOUN	fait
aucune	DET	aucun
Nous	PRON	nous
une	DET	un
Devane	PROPN	Devane
réintégré	VERB	réintégrer
mais	CCONJ	mais
histoire	NOUN	histoire
de	ADP	de
s'	SCONJ	s'
ne	ADV	ne
à	ADP	à
journaux	NOUN	journal
digne	ADJ	digne
et	CCONJ	et
d'	DET	d'
agit	VERB	agir
la	DET	le
rendait	VERB	rendre
le	DET	le
.	PUNCT	.
jusqu'	ADP	jusque
même	ADV	même
il	PRON	il
avons	VERB	avoir
Il	PRON	il
rangs	NOUN	rang
,	PUNCT	,
progressons	VERB	progresser
de	ADP	de
Whit	PROPN	Whit
de	ADP	de
aucun	DET	aucun
maniaque	NOUN	maniaque
s'	PRON	se
le	DET	le
Vous	PRON	vous
Alex	PROPN	Alex
—	PUNCT	—
sa	DET	son
novembre	NOUN	novembre
.	PUNCT	.
étaient	AUX	être
parlez	VERB	parler
.	PUNCT	.
en	ADP	en
était	AUX	être
venait	VERB	venir
étaient	AUX	être
jour	NOUN	jour
avec	ADP	avec
frapper	VERB	frapper
Eversall	PROPN	Eversall
équipe	NOUN	équipe
temps	ADJ	temp
veux	VERB	vouloir
pas	ADV	pas
tenta	VERB	tenter
pas	ADV	pas
se	PRON	se
progrès	NOUN	progrès
est	AUX	être
le	PRON	le
—	PUNCT	—
.	PUNCT	.
—	PUNCT	—
à	ADP	à
.	PUNCT	.
net	ADJ	net
,	PUNCT	,
le	DET	le
a	AUX	avoir
essayer	VERB	essayer
journaux	NOUN	journal
tout	ADV	tout
déciderait	VERB	décider
joue	VERB	joue
724	DET	724
grande	ADJ	grand
QI	NOUN	qi
un	DET	un
calvitie	NOUN	calvitie
C'	PRON	ce
des	ADP	de
fauteuil	NOUN	fauteuil
vrai	ADJ	vrai
cas	NOUN	cas
Devane	PROPN	Devane
incompréhensibles	ADJ	incompréhensible
son	DET	son
un	DET	un
je	PRON	je
sûr	ADJ	sûr
n'	ADV	n'
cette	DET	ce
Elle	PRON	lui
fait	VERB	faire
une	DET	un
au	ADP	au
dans	ADP	dans
disaient	VERB	dire
parvint	VERB	parvenir
chose	NOUN	chose
continuait	VERB	continuer
.	PUNCT	.
dans	ADP	dans
avoisinant	VERB	avoisiner
question	NOUN	question
savoir	VERB	savoir
.	PUNCT	.
classique	ADJ	classique
sérieusement	ADV	sérieusement
autorité	NOUN	autorité
je	PRON	je
de	ADP	de
tout	ADV	tout
leur	DET	leur
sergents	NOUN	sergent
perdre	VERB	perdre
maire	NOUN	maire
au	ADP	au
s'	PRON	se
il	PRON	il
situation	NOUN	situation
hiver	NOUN	hiver
.	PUNCT	.
sa	DET	son
,	PUNCT	,
démissionner	VERB	démissionner
nerveuse	ADJ	nerveux
la	DET	le
je	PRON	je
,	PUNCT	,
?	PUNCT	?
le	PRON	le
par	ADP	par
un	DET	un
joie	NOUN	joie
Et	CCONJ	et
pression	NOUN	pression
arborant	VERB	arborer
seule	ADJ	seul
respect	NOUN	respect
-il	PRON	il
je	PRON	je
été	AUX	être
et	CCONJ	et
.	PUNCT	.
constituée	VERB	constituer
jolie	ADJ	joli
l'	DET	le
mais	CCONJ	mais
cyclique	ADJ	cyclique
ni	CCONJ	ni
l'	DET	le
de	ADP	de
mienne	PRON	mienne
à	ADP	à
serait	AUX	être
ton	NOUN	ton
impunis	ADJ	impuni
—	PUNCT	—
la	DET	le
cheveux	NOUN	cheveu
aurait	VERB	avoir
,	PUNCT	,
.	PUNCT	.
ville	NOUN	ville
premier	ADJ	premier
meurtre	NOUN	meurtre
savez	VERB	savoir
Whit	PROPN	Whit
pas	ADV	pas
.	PUNCT	.
pourrais	VERB	pouvoir
était	AUX	être
la	PRON	le
,	PUNCT	,
,	PUNCT	,
Len	PROPN	Len
la	DET	le
ses	DET	son
Lorsque	SCONJ	lorsque
,	PUNCT	,
avait	AUX	avoir
Hormis	ADP	hormis
les	DET	le
difficiles	ADJ	difficile
élection	NOUN	élection
passa	VERB	passer
à	ADP	à
les	DET	le
une	DET	un
six	NUM	six
Len	PROPN	Len
harcelèrent	VERB	harceler
mais	CCONJ	mais
tut	VERB	taire
Whit	PROPN	Whit
de	ADP	de
crois	VERB	croire
force	NOUN	force
commença	VERB	commencer
fit	VERB	faire
souvint	VERB	souvenir
des	ADP	de
fut	AUX	être
Il	PRON	il
,	PUNCT	,
Chaque	DET	chaque
de	ADP	de
cette	DET	ce
.	PUNCT	.
et	CCONJ	et
monta	VERB	monter
s'	PRON	se
locaux	ADJ	local
La	DET	le
essayiez	VERB	essayer
attaqués	VERB	attaquer
de	ADP	de
mais	CCONJ	mais
parlèrent	VERB	parler
bras	NOUN	bras
chose	NOUN	chose
veux	VERB	vouloir
suspect	NOUN	suspect
à	ADP	à
Mais	CCONJ	mais
faut	VERB	falloir
étaient	AUX	être
sourire	NOUN	sourire
la	DET	le
,	PUNCT	,
s'	PRON	se
il	PRON	il
ils	PRON	il
délibérément	ADV	délibérément
se	PRON	se
conflits	NOUN	conflit
un	DET	un
de	ADP	de
contrant	VERB	contrer
une	DET	un
—	PUNCT	—
de	ADP	de
victime	NOUN	victime
comme	ADP	comme
terreur	NOUN	terreur
Jablonski	PROPN	Jablonski
Devane	PROPN	Devane
pas	ADV	pas
d'	ADP	de
été	AUX	être
mobile	NOUN	mobile
ans	NOUN	an
D'	ADP	de
refusa	VERB	refuser
affaire	NOUN	affaire
pas	ADV	pas
agents	NOUN	agent
que	PRON	que
découverte	VERB	découvrir
dans	ADP	dans
plongeaient	VERB	plonger
des	DET	un
Je	PRON	je
humeur	NOUN	humeur
décidé	VERB	décider
,	PUNCT	,
laissés	VERB	laisser
de	ADP	de
et	CCONJ	et
.	NUM	.
,	PUNCT	,
,	PUNCT	,
Excellent	ADJ	excellent
.	PUNCT	.
-t	PRON	-t
Devane	PROPN	Devane
,	PUNCT	,
sur	ADP	sur
en	ADP	en
printemps	NOUN	printemps
les	DET	le
en	PRON	en
j'	PRON	je
aussi	ADV	aussi
habitants	NOUN	habitant
rapidement	ADV	rapidement
hiérarchie	NOUN	hiérarchie
promit	VERB	promettre
en	PRON	en
de	ADP	de
tuée	VERB	tuer
tiroir	NOUN	tiroir
l'	DET	le
que	PRON	que
-vous	PRON	vous
le	DET	le
sa	DET	son
,	PUNCT	,
.	PUNCT	.
balayeurs	NOUN	balayeur
Mais	CCONJ	mais
le	DET	le
élu	VERB	élire
«	PUNCT	«
Je	PRON	je
conversations	NOUN	conversation
En	ADP	en
aucun	DET	aucun
c'	PRON	ce
pastué	VERB	pastuer
cœur	NOUN	cœur
autre	ADJ	autre
principal	ADJ	principal
nous	PRON	nous
Bien	ADV	bien
suite	NOUN	suite
en	ADP	en
mais	PRON	mais
expression	NOUN	expression
même	ADJ	même
vivait	VERB	vivre
ville	NOUN	ville
En	ADP	en
que	PRON	que
.	PUNCT	.
le	DET	le
bras	NOUN	bras
meurtre	NOUN	meurtre
n'	ADV	n'
génie	NOUN	génie
ne	ADV	ne
