lorsque	SCONJ	lorsque
.	PUNCT	.
attira	VERB	attirer
rococo	ADJ	rococo
George	PROPN	George
le	DET	le
puis	CCONJ	puis
découvert	VERB	découvrir
canapés	NOUN	canapé
sa	DET	son
tourner	VERB	tourner
,	PUNCT	,
un	DET	un
sa	DET	son
ni	CCONJ	ni
la	DET	le
du	ADP	de
en	PRON	en
menton	NOUN	menton
.	PUNCT	.
journal	NOUN	journal
Il	PRON	il
éponger	VERB	éponger
écharpe	NOUN	écharpe
tout	ADV	tout
ouvrit	VERB	ouvrir
liberté	NOUN	liberté
.	PUNCT	.
22	NUM	22
son	DET	son
était	VERB	être
,	PUNCT	,
spectacle	NOUN	spectacle
Il	PRON	il
un	DET	un
sa	DET	son
sur	ADP	sur
de	ADP	de
cigare	NOUN	cigare
tour	NOUN	tour
dans	ADP	dans
Du	ADP	de
s'	PRON	se
il	PRON	il
faisait	VERB	faire
d'	ADP	de
cadavre	NOUN	cadavre
qui	PRON	qui
verte	ADJ	vert
trait	NOUN	trait
un	PRON	un
œil	NOUN	œil
règle	NOUN	règle
retraite	NOUN	retraite
-	PUNCT	-
l'	DET	le
à	ADP	à
lettres	NOUN	lettre
main	NOUN	main
et	CCONJ	et
trait	NOUN	trait
,	PUNCT	,
,	PUNCT	,
main	NOUN	main
grommellements	NOUN	grommellement
s'	PRON	se
prit	VERB	prendre
à	ADP	à
chaussée	NOUN	chaussée
et	CCONJ	et
George	PROPN	George
Stoner	PROPN	Stoner
son	DET	son
il	PRON	il
.	PUNCT	.
famille	NOUN	famille
même	ADJ	même
homme	NOUN	homme
Heap	PROPN	Heap
blême	ADJ	blême
miroir	NOUN	miroir
la	DET	le
mit	VERB	mettre
jour	NOUN	jour
,	PUNCT	,
lisaient	VERB	lire
l'	DET	le
fermés	ADJ	fermé
Tribling	PROPN	Tribling
chaude	ADJ	chaud
.	PUNCT	.
passait	VERB	passer
changea	VERB	changer
se	PRON	se
était	AUX	être
.	PUNCT	.
Sukie	PROPN	Sukie
George	PROPN	George
ennui	NOUN	ennui
de	ADP	de
pensait	VERB	penser
bête	NOUN	bête
en	ADP	en
spectacle	NOUN	spectacle
une	DET	un
il	PRON	il
la	DET	le
Il	PRON	il
cet	DET	ce
,	PUNCT	,
le	DET	le
.	PUNCT	.
°	NOUN	degré
vêtu	VERB	vêtir
