la	DET	le
parée	VERB	parer
Gato	PROPN	Gato
Tia	PROPN	Tia
et	CCONJ	et
millier	NOUN	millier
,	PUNCT	,
Negroarrive	PROPN	Negroarrive
qui	PRON	qui
serait	AUX	être
Tubac	PROPN	Tubac
comptait	VERB	compter
Negroarrive	PROPN	Negroarrive
ses	DET	son
,	PUNCT	,
Lorca	PROPN	Lorca
dehors	ADV	dehors
pouvaient	VERB	pouvoir
ici	ADV	ici
le	DET	le
son	DET	son
passe	VERB	passer
propriétaire	NOUN	propriétaire
—	PUNCT	—
mèche	NOUN	mèche
.	PUNCT	.
sa	DET	son
Tia	PROPN	Tia
furieux	ADJ	furieux
réfugier	VERB	réfugier
qui	PRON	qui
,	PUNCT	,
main	NOUN	main
avait	AUX	avoir
.	PUNCT	.
à	ADP	à
vitre	NOUN	vitre
dans	ADP	dans
cavaliers	NOUN	cavalier
parmi	ADP	parmi
avec	ADP	avec
la	DET	le
par	ADP	par
'	PROPN	'
les	DET	le
n'	ADV	n'
les	DET	le
leurs	DET	leur
masquaient	VERB	masquer
,	PUNCT	,
séduire	VERB	séduire
merveilleux	ADJ	merveilleux
formidables	ADJ	formidable
,	PUNCT	,
amoureux	ADJ	amoureux
,	PUNCT	,
regard	NOUN	regard
économies	NOUN	économie
taffetas	NOUN	taffetas
parader	VERB	parader
remarque	VERB	remarque
un	DET	un
,	PUNCT	,
le	DET	le
tout	ADV	tout
creusée	VERB	creuser
.	PUNCT	.
babil	NOUN	babil
.	PUNCT	.
Parmi	ADP	parmi
et	CCONJ	et
une	DET	un
de	ADP	de
.	PUNCT	.
envie	NOUN	envie
venir	VERB	venir
de	ADP	de
du	ADP	de
Ce	PRON	ce
porte	NOUN	porte
mains	NOUN	main
est	VERB	être
!	PUNCT	!
Negro	PROPN	Negro
était	AUX	être
jamais	ADV	jamais
nuage	NOUN	nuage
l'	DET	le
—	PUNCT	—
défendre	VERB	défendre
de	ADP	de
Je	PRON	je
par	ADP	par
Tia	PROPN	Tia
la	DET	le
Arizona	PROPN	Arizona
vu	VERB	voir
unique	ADJ	unique
milieu	NOUN	milieu
Tubac	PROPN	Tubac
regards	NOUN	regard
les	DET	le
,	PUNCT	,
Mexicains	NOUN	mexicain
facilement	ADV	facilement
bordel	NOUN	bordel
plus	ADV	plus
entre	ADP	entre
la	DET	le
en	ADP	en
