traits	NOUN	trait
la	DET	le
Nous	PRON	nous
subespace	NOUN	subespace
des	DET	un
,	PUNCT	,
,	PUNCT	,
avait	AUX	avoir
seconde	NOUN	seconde
emplacement	NOUN	emplacement
minutieux	ADJ	minutieux
le	DET	le
un	DET	un
après	ADP	après
modifiait	VERB	modifier
traits	NOUN	trait
de	ADP	de
.	PUNCT	.
maigre	ADJ	maigre
un	DET	un
votre	DET	votre
une	DET	un
remarque	NOUN	remarque
froide	ADJ	froid
vers	ADP	vers
changeait	VERB	changer
ne	ADV	ne
dans	ADP	dans
,	PUNCT	,
taille	NOUN	taille
roux	ADJ	roux
à	ADP	à
fixe	ADJ	fixe
astronef	NOUN	astronef
géologues	NOUN	géologue
Qu'	PRON	qu'
un	DET	un
de	ADP	de
visage	NOUN	visage
les	DET	le
,	PUNCT	,
du	ADP	de
d'	ADP	de
la	DET	le
moins	ADV	moins
les	DET	le
—	PUNCT	—
explications	NOUN	explication
distance	NOUN	distance
-je	PRON	je
Mahil	PROPN	Mahil
Il	PRON	il
plus	ADV	plus
dit	VERB	dire
la	DET	le
indiscernable	ADJ	indiscernable
dans	ADP	dans
avait	VERB	avoir
,	PUNCT	,
familier	ADJ	familier
j'	PRON	je
le	PRON	le
bras	NOUN	bras
précise	ADJ	précis
doté	VERB	doter
devait	VERB	devoir
tout	ADV	tout
yeux	NOUN	oeil
est	AUX	être
absolument	ADV	absolument
VAISSEAU	NOUN	vaisseau
,	PUNCT	,
d'	ADP	de
puis	CCONJ	puis
nef	NOUN	nef
Quand	SCONJ	quand
service	NOUN	service
lumineux	ADJ	lumineux
quinze	NUM	quinze
«	PUNCT	«
faisait	VERB	faire
jaune	ADJ	jaune
milieu	NOUN	milieu
,	PUNCT	,
étions	VERB	être
devions	VERB	devoir
hublot	NOUN	hublot
,	PUNCT	,
trois	NUM	trois
mais	CCONJ	mais
brosse	NOUN	brosse
planètes	NOUN	planète
et	CCONJ	et
navigation	NOUN	navigation
salle	NOUN	salle
il	PRON	il
nous	PRON	nous
proche	ADJ	proche
ne	ADV	ne
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
des	ADP	de
toujours	ADV	toujours
un	DET	un
ignorais	VERB	ignorer
solaire	ADJ	solaire
sous	ADP	sous
d'	ADP	de
nous	PRON	nous
,	PUNCT	,
ne	ADV	ne
cinq	NUM	cinq
,	PUNCT	,
tous	ADJ	tout
était	AUX	être
petite	ADJ	petit
Il	PRON	il
l'	DET	le
...	PUNCT	...
quarante	NUM	quarante
son	DET	son
voix	NOUN	voix
,	PUNCT	,
médecin	NOUN	médecin
tic	NOUN	tic
salle	NOUN	salle
déjà	ADV	déjà
dernières	ADJ	dernier
aurions	AUX	avoir
un	DET	un
des	DET	un
procédé	NOUN	procédé
accomplir	VERB	accomplir
,	PUNCT	,
discerner	VERB	discerner
un	DET	un
blonde	ADJ	blond
Je	PRON	je
Rane	PROPN	Rane
lui	PRON	lui
quitter	VERB	quitter
d'	ADP	de
.	PUNCT	.
droit	ADJ	droit
à	ADP	à
.	PUNCT	.
d'	ADP	de
s'	PRON	se
espace	NOUN	espace
,	PUNCT	,
donner	VERB	donner
ses	DET	son
principalement	ADV	principalement
menant	VERB	mener
de	ADP	de
expédition	NOUN	expédition
,	PUNCT	,
subespace	NOUN	subespace
souvent	ADV	souvent
était	AUX	être
fonctions	NOUN	fonction
des	ADP	de
Depuis	ADP	depuis
—	PUNCT	—
à	ADP	à
le	DET	le
je	PRON	je
visage	NOUN	visage
d'	ADP	de
étaient	AUX	être
touriste	NOUN	touriste
c'	PRON	ce
le	DET	le
ordinateurs	NOUN	ordinateur
bien	ADV	bien
jamais	ADV	jamais
C'	PRON	ce
pas	ADV	pas
mes	DET	mon
des	DET	un
que	SCONJ	que
—	PUNCT	—
que	PRON	que
Mon	DET	mon
étions	VERB	être
travers	NOUN	travers
distincts	ADJ	distinct
quand	SCONJ	quand
qu'	SCONJ	que
personne	PRON	personne
celui	PRON	celui
:	PUNCT	:
une	DET	un
fait	VERB	faire
et	CCONJ	et
