humaine	ADJ	humain
démonstration	NOUN	démonstration
et	CCONJ	et
bureau	NOUN	bureau
capteurs	NOUN	capteur
titre	NOUN	titre
sûr	ADJ	sûr
.	PUNCT	.
autour	ADV	autour
la	DET	le
me	PRON	me
les	DET	le
.	PUNCT	.
,	PUNCT	,
quelques	DET	quelque
Barbara	PROPN	Barbara
bien	ADV	bien
qui	PRON	qui
pour	ADP	pour
regarda	VERB	regarder
compréhension	NOUN	compréhension
la	DET	le
de	ADP	de
se	PRON	se
Car	CCONJ	car
de	ADP	de
,	PUNCT	,
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
Sandi	PROPN	Sandi
le	DET	le
les	DET	le
Dernières	ADJ	dernier
partie	NOUN	partie
Murmures	NOUN	murmure
H.	PROPN	H.
qui	PRON	qui
»	PUNCT	»
autant	ADV	autant
jeune	ADJ	jeune
,	PUNCT	,
nom	NOUN	nom
père	NOUN	père
les	DET	le
sur	ADP	sur
il	PRON	il
contrôle	NOUN	contrôle
communauté	NOUN	communauté
mises	VERB	mettre
.	PUNCT	.
tels	ADJ	tel
L'	DET	le
,	PUNCT	,
Golden	PROPN	Golden
.	PUNCT	.
donnant	VERB	donner
.	PUNCT	.
roman	NOUN	roman
où	PRON	où
leur	DET	leur
mais	CCONJ	mais
Xénocide	PROPN	Xénocide
Peter	PROPN	Peter
«	PUNCT	«
d'	DET	d'
était	AUX	être
devant	ADP	devant
souvenait	VERB	souvenir
qui	PRON	qui
,	PUNCT	,
Emily	PROPN	Emily
un	DET	un
Myrtle	PROPN	Myrtle
autre	PRON	autre
devait	VERB	devoir
repéré	VERB	repérer
agissait	VERB	agir
développer	VERB	développer
mien	PRON	mien
,	PUNCT	,
n'	ADV	n'
humaine	ADJ	humain
inspirés	VERB	inspirer
elle	PRON	lui
ainsi	ADV	ainsi
race	NOUN	race
coin	NOUN	coin
Zina	PROPN	Zina
.	PUNCT	.
la	DET	le
dans	ADP	dans
Hatrack	PROPN	Hatrack
bien	ADV	bien
et	CCONJ	et
remplir	VERB	remplir
:	PUNCT	:
connaître	VERB	connaître
le	DET	le
ont	AUX	avoir
,	PUNCT	,
à	ADP	à
-	PROPN	-
pourtant	ADV	pourtant
prit	VERB	prendre
par	ADP	par
imprécisions	NOUN	imprécision
fatalement	ADV	fatalement
assis	VERB	asseoir
à	ADP	à
frère	NOUN	frère
,	PUNCT	,
murmurait	VERB	murmurer
des	ADP	de
pour	ADP	pour
Mark	PROPN	Mark
de	ADP	de
fait	VERB	faire
de	ADP	de
servant	VERB	servir
était	AUX	être
ont	AUX	avoir
Vessel	PROPN	Vessel
.	PUNCT	.
depuis	ADP	depuis
la	PRON	le
Wiggin	PROPN	Wiggin
de	ADP	de
la	DET	le
de	ADP	de
elle	PRON	lui
philosophies	NOUN	philosophie
bien	ADV	bien
,	PUNCT	,
de	ADP	de
.	PUNCT	.
moi	PRON	moi
ses	DET	son
vite	ADV	vite
Makitka	PROPN	Makitka
ordinateur	NOUN	ordinateur
aiguille	NOUN	aiguille
Rafael	PROPN	Rafael
époque	NOUN	époque
Bellamy	PROPN	Bellamy
chapitre	NOUN	chapitre
Hégémon	PROPN	Hégémon
avait	AUX	avoir
s'	PRON	se
homme	NOUN	homme
River	PROPN	River
chez	ADP	chez
dans	ADP	dans
Los	PROPN	Los
sans	ADP	sans
simple	ADJ	simple
Deep	PROPN	Deep
,	PUNCT	,
qui	PRON	qui
énormes	ADJ	énorme
À	ADP	à
Hatrack	PROPN	Hatrack
.	PUNCT	.
La	DET	le
qu'	SCONJ	que
agit	VERB	agir
salle	NOUN	salle
aussi	ADV	aussi
;	PUNCT	;
l'	DET	le
incarnation	NOUN	incarnation
salle	NOUN	salle
et	CCONJ	et
y	PRON	y
dans	ADP	dans
Qing	PROPN	Qing
le	DET	le
l'	DET	le
un	DET	un
devait	VERB	devoir
pour	ADP	pour
ces	DET	ce
,	PUNCT	,
