L'	DET	le
d'	ADP	de
,	PUNCT	,
.	PUNCT	.
blanches	ADJ	blanc
sage	ADJ	sage
de	ADP	de
maudit	VERB	maudire
je	PRON	je
BITTER	X	BITTER
prenait	VERB	prendre
parfaitement	ADV	parfaitement
:	PUNCT	:
répartie	NOUN	répartie
groupe	NOUN	groupe
CARMICHAEL	PROPN	CARMICHAEL
qu'	SCONJ	que
MOURANT	ADJ	mourant
un	DET	un
de	ADP	de
incapable	ADJ	incapable
à	ADP	à
sourit	VERB	sourire
une	DET	un
l'	DET	le
MASQUE	NOUN	masque
un	DET	un
,	PUNCT	,
résigné	VERB	résigner
veut	VERB	vouloir
raison	NOUN	raison
plut	VERB	pleuvoir
.	PUNCT	.
elle	PRON	lui
AU	ADP	au
agressive	ADJ	agressif
connais	VERB	connaître
—	PUNCT	—
amour	NOUN	amour
,	PUNCT	,
FIRMIN	PROPN	FIRMIN
représentation	NOUN	représentation
de	ADP	de
.	PUNCT	.
Elle	PRON	lui
ni	CCONJ	ni
convient	VERB	convier
qui	PRON	qui
regarder	VERB	regarder
croire	VERB	croire
un	DET	un
anglais	NOUN	anglais
Mais	CCONJ	mais
est	AUX	être
livre	NOUN	livre
charmant	ADJ	charmant
:	PUNCT	:
ne	ADV	ne
et	CCONJ	et
Guère	PROPN	Guère
,	PUNCT	,
comment	ADV	comment
la	DET	le
très	ADV	très
verre	NOUN	verre
:	PUNCT	:
étalage	NOUN	étalage
dit	VERB	dire
jamais	ADV	jamais
?	PUNCT	?
mot	NOUN	mot
-moi	PRON	moi
avez	AUX	avoir
ne	ADV	ne
un	DET	un
me	PRON	me
Les	DET	le
C'	PRON	ce
ne	ADV	ne
,	PUNCT	,
Elle	PRON	lui
vous	PRON	vous
traduction	NOUN	traduction
Déconcerté	VERB	déconcerter
elle	PRON	lui
errait	VERB	errer
qui	PRON	qui
promenait	VERB	promener
la	DET	le
.	PUNCT	.
ce	DET	ce
...	PUNCT	...
pas	ADV	pas
pas	ADV	pas
de	DET	de
arrive	VERB	arrive
plais	VERB	plaire
prendre	VERB	prendre
me	PRON	me
Pas	ADV	pas
-vous	PRON	vous
autant	ADV	autant
,	PUNCT	,
une	DET	un
—	PUNCT	—
,	PUNCT	,
me	PRON	me
femme	NOUN	femme
CARMICIIAEL	PROPN	CARMICIIAEL
Elle	PRON	lui
sujet	NOUN	sujet
—	PUNCT	—
.	PUNCT	.
délibérément	ADV	délibérément
je	PRON	je
du	ADP	de
se	PRON	se
?	PUNCT	?
l'	DET	le
il	PRON	il
Nous	PRON	nous
auxiliaire	NOUN	auxiliaire
—	PUNCT	—
lucide	ADJ	lucide
Ne	ADV	ne
HARRY	PROPN	HARRY
:	PUNCT	:
mon	DET	mon
trouver	VERB	trouver
Mais	CCONJ	mais
notion	NOUN	notion
et	CCONJ	et
)	PUNCT	)
,	PUNCT	,
étiez	AUX	être
de	ADP	de
—	PUNCT	—
des	ADP	de
que	SCONJ	que
de	ADP	de
.	PUNCT	.
cours	NOUN	cours
difficile	ADJ	difficile
—	PUNCT	—
,	PUNCT	,
,	PUNCT	,
PARIS	PROPN	PARIS
meure	VERB	mourir
Marignan	PROPN	Marignan
LUMIÈRE	NOUN	lumière
.	PUNCT	.
arrangerait	VERB	arranger
embrasser	VERB	embrasser
aventures	NOUN	aventure
vérité	NOUN	vérité
TASTE	X	TASTE
voulez	VERB	vouloir
me	PRON	me
de	ADP	de
pozir	VERB	pozir
et	CCONJ	et
approchons	VERB	approcher
même	ADJ	même
dessous	ADV	dessous
qui	PRON	qui
,	PUNCT	,
rythmes	NOUN	rythme
franchement	ADV	franchement
—	PUNCT	—
ÉDITEUR	NOUN	éditeur
pouviez	VERB	pouvoir
de	ADP	de
Après	ADP	après
Laissez	VERB	laisser
vous	PRON	vous
.	PUNCT	.
odeur	NOUN	odeur
qu'	SCONJ	que
la	DET	le
.	PUNCT	.
!	PUNCT	!
elle	PRON	lui
d'	DET	d'
un	DET	un
répondre	VERB	répondre
mon	DET	mon
cet	DET	ce
émerveillait	VERB	émerveiller
prompts	ADJ	prompt
Il	PRON	il
seront	AUX	être
peut	VERB	pouvoir
la	DET	le
d'	ADP	de
le	PRON	le
.	PUNCT	.
Allons	VERB	aller
Parce	SCONJ	parce
enfin	ADV	enfin
.	PUNCT	.
que	SCONJ	que
traitât	VERB	traiter
—	PUNCT	—
vraie	ADJ	vrai
Pourquoi	ADV	pourquoi
peu	ADV	peu
propos	NOUN	propos
et	CCONJ	et
vos	DET	votre
plaisanteries	NOUN	plaisanterie
la	DET	le
Bon	ADJ	bon
ne	ADV	ne
toutes	ADJ	tout
laissa	VERB	laisser
-vous	PRON	vous
BELLE	NOUN	belle
—	PUNCT	—
dira	VERB	dire
personne	PRON	personne
statue	NOUN	statue
se	PRON	se
,	PUNCT	,
-moi	PRON	moi
inhibitions	NOUN	inhibition
,	PUNCT	,
sera	AUX	être
je	PRON	je
Que	PRON	que
je	PRON	je
silence	NOUN	silence
Pourquoi	ADV	pourquoi
collection	NOUN	collection
l'	DET	le
rien	PRON	rien
vrai	ADJ	vrai
consulter	VERB	consulter
réservés	VERB	réserver
résiste	VERB	résiste
que	SCONJ	que
nie	NOUN	nie
pas	ADV	pas
de	ADP	de
.	PUNCT	.
vulgaires	ADJ	vulgaire
semble	VERB	semble
autres	ADJ	autre
?	PUNCT	?
d'	DET	d'
d'	ADP	de
aux	ADP	à
de	ADP	de
je	PRON	je
s'	PRON	se
.	PUNCT	.
de	ADP	de
,	PUNCT	,
ai	AUX	avoir
tapes	NOUN	tape
—	PUNCT	—
là	ADV	là
aller	VERB	aller
désagréable	ADJ	désagréable
Si	SCONJ	si
«	PUNCT	«
toutes	ADJ	tout
NOTE	NOUN	note
.	PUNCT	.
—	PUNCT	—
pas	ADV	pas
volumes	NOUN	volume
yeux	NOUN	oeil
CHAMPS	NOUN	champ
en	ADP	en
malmené	VERB	malmener
psychiatre	NOUN	psychiatre
Je	PRON	je
vous	PRON	vous
plus	ADV	plus
de	ADP	de
changez	VERB	changer
Partons	VERB	partir
comprends	VERB	comprendre
y	PRON	y
?	PUNCT	?
petites	ADJ	petit
il	PRON	il
sens	VERB	sentir
.	PUNCT	.
me	PRON	me
Les	DET	le
que	PRON	que
pays	NOUN	pays
négligemment	ADV	négligemment
,	PUNCT	,
devriez	VERB	devoir
à	ADP	à
qu'	SCONJ	que
produire	VERB	produire
les	DET	le
question	NOUN	question
orchestre	NOUN	orchestre
.	PUNCT	.
tient	VERB	tenir
