répété	VERB	répéter
de	ADP	de
avec	ADP	avec
tenue	NOUN	tenue
une	DET	un
,	PUNCT	,
Un	DET	un
la	PRON	le
.	PUNCT	.
semaine	NOUN	semaine
l'	PRON	l'
pas	NOUN	pas
mettait	VERB	mettre
n'	ADV	n'
impassible	ADJ	impassible
chi	PROPN	chi
—	PUNCT	—
...	PUNCT	...
silhouette	NOUN	silhouette
son	DET	son
,	PUNCT	,
elle	PRON	lui
chiprenait	VERB	chiprener
dans	ADP	dans
facile	ADJ	facile
semblait	VERB	sembler
Cela	PRON	cela
de	ADP	de
bonne	ADJ	bon
technique	NOUN	technique
.	NUM	.
à	ADP	à
aucun	DET	aucun
jamais	ADV	jamais
lui	PRON	lui
évocation	NOUN	évocation
de	ADP	de
petite	ADJ	petit
été	AUX	être
professeur	NOUN	professeur
abord	ADV	abord
inclina	VERB	incliner
présent	NOUN	présent
l'	DET	le
enchaînements	NOUN	enchaînement
.	PUNCT	.
vôtres	NOUN	vôtre
tout	ADV	tout
limitait	VERB	limiter
.	PUNCT	.
vérité	NOUN	vérité
Melody	PROPN	Melody
petit	ADJ	petit
chagrin	NOUN	chagrin
prendre	VERB	prendre
oriental	ADJ	oriental
elle	PRON	lui
qu'	ADV	qu'
étaient	AUX	être
Il	PRON	il
Soudain	ADV	soudain
inconfortables	ADJ	inconfortable
sorte	NOUN	sorte
.	PUNCT	.
Ils	PRON	il
son	DET	son
il	PRON	il
,	PUNCT	,
avait	AUX	avoir
la	PRON	le
sac	NOUN	sac
,	PUNCT	,
coup	NOUN	coup
ans	NOUN	an
refouler	VERB	refouler
de	ADP	de
un	DET	un
perdait	VERB	perdre
aussi	ADV	aussi
à	ADP	à
sa	DET	son
besoin	NOUN	besoin
Benny	PROPN	Benny
Tout	PRON	tout
d'	ADP	de
Son	DET	son
,	PUNCT	,
oubliée	VERB	oublier
,	PUNCT	,
aussi	ADV	aussi
.	PUNCT	.
de	ADP	de
tant	ADV	tant
démonstration	NOUN	démonstration
toute	DET	tout
sans	ADP	sans
Vous	PRON	vous
ses	DET	son
sourd	ADJ	sourd
regard	NOUN	regard
,	PUNCT	,
avait	AUX	avoir
surtout	ADV	surtout
rendu	VERB	rendre
.	PUNCT	.
,	PUNCT	,
esquisser	VERB	esquisser
chez	ADP	chez
admiratif	ADJ	admiratif
Mais	CCONJ	mais
lui	PRON	lui
Se	PRON	se
y	PRON	y
allée	NOUN	allée
les	DET	le
Dès	ADP	dès
empoigna	VERB	empoigner
elle	PRON	lui
à	ADP	à
près	ADV	près
,	PUNCT	,
vous	PRON	vous
fin	NOUN	fin
Suzanne	PROPN	Suzanne
—	PUNCT	—
instant	NOUN	instant
son	DET	son
accepter	VERB	accepter
l'	DET	le
Tiens	VERB	tenir
ses	DET	son
.	PUNCT	.
de	ADP	de
des	ADP	de
bruit	NOUN	bruit
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
ne	ADV	ne
S'	PRON	se
silencieux	ADJ	silencieux
la	DET	le
ses	DET	son
été	AUX	être
de	ADP	de
rue	NOUN	rue
classe	NOUN	classe
l'	DET	le
dans	ADP	dans
se	PRON	se
le	DET	le
.	PUNCT	.
secondes	NOUN	seconde
le	DET	le
.	PUNCT	.
de	ADP	de
parfaits	ADJ	parfait
,	PUNCT	,
maître	NOUN	maître
regardera	VERB	regarder
des	ADP	de
abord	NOUN	abord
,	PUNCT	,
le	DET	le
comme	ADP	comme
Melody	PROPN	Melody
de	ADP	de
à	ADP	à
geste	NOUN	geste
senseil'	NOUN	senseil'
la	DET	le
d'	ADP	de
plus	ADV	plus
endroits	NOUN	endroit
comme	SCONJ	comme
ne	ADV	ne
lointain	NOUN	lointain
Elle	PRON	lui
de	ADP	de
yeux	NOUN	oeil
.	PUNCT	.
laissait	VERB	laisser
sa	DET	son
a	VERB	avoir
,	PUNCT	,
avide	ADJ	avide
pouvoir	VERB	pouvoir
seul	ADJ	seul
.	PUNCT	.
membres	NOUN	membre
nous	PRON	nous
avait	AUX	avoir
la	DET	le
Melody	PROPN	Melody
y	PRON	y
pour	ADP	pour
.	PUNCT	.
en	PRON	en
adolescente	NOUN	adolescent
Suzanne	PROPN	Suzanne
laquelle	PRON	lequel
Suzanne	PROPN	Suzanne
par	ADP	par
lents	ADJ	lent
réussir	VERB	réussir
geste	NOUN	geste
leur	DET	leur
particulièrement	ADV	particulièrement
passé	NOUN	passé
d'	ADP	de
.	PUNCT	.
traversait	VERB	traverser
Un	DET	un
jour	NOUN	jour
entre	ADP	entre
s'	PRON	se
et	CCONJ	et
.	PUNCT	.
.	PUNCT	.
moquait	VERB	moquer
ai	AUX	avoir
élèves	NOUN	élève
,	PUNCT	,
manque	NOUN	manque
une	DET	un
enchaînement	NOUN	enchaînement
.	PUNCT	.
des	DET	un
encouragea	VERB	encourager
-	PRON	-
sa	DET	son
était	AUX	être
camarades	NOUN	camarade
pour	ADP	pour
une	DET	un
.	PUNCT	.
Melody	PROPN	Melody
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
l'	DET	le
alors	ADV	alors
avec	ADP	avec
captive	ADJ	captif
...	PUNCT	...
L'	DET	le
Melody	PROPN	Melody
une	DET	un
dangereux	ADJ	dangereux
elle	PRON	lui
expérience	NOUN	expérience
laisser	VERB	laisser
t'	PRON	te
fallait	VERB	falloir
Puis	CCONJ	puis
recommander	VERB	recommander
Le	DET	le
.	PUNCT	.
immeuble	NOUN	immeuble
calme	ADJ	calme
servir	VERB	servir
était	AUX	être
l'	DET	le
sac	NOUN	sac
que	SCONJ	que
mode	NOUN	mode
naturels	ADJ	naturel
nus	ADJ	nu
avait	AUX	avoir
valeur	NOUN	valeur
son	DET	son
enseignement	NOUN	enseignement
Pourtant	ADV	pourtant
elle	PRON	lui
yeux	NOUN	oeil
ne	ADV	ne
lentement	ADV	lentement
se	PRON	se
est	AUX	être
.	PUNCT	.
hommes	NOUN	homme
.	PUNCT	.
murmura	VERB	murmurer
indifférent	ADJ	indifférent
qu'	PRON	qu'
,	PUNCT	,
à	ADP	à
ne	ADV	ne
évanouit	VERB	évanouir
?	PUNCT	?
et	CCONJ	et
contemporaines	NOUN	contemporaine
obscurité	NOUN	obscurité
sa	DET	son
aussitôt	ADV	aussitôt
que	SCONJ	que
pas	ADV	pas
attendre	VERB	attendre
constatation	NOUN	constatation
ai	AUX	avoir
dirigea	VERB	diriger
était	AUX	être
sur	ADP	sur
le	DET	le
.	PUNCT	.
pour	ADP	pour
son	DET	son
d'	ADP	de
.	PUNCT	.
d'	ADP	de
ai	AUX	avoir
aujourd'hui	ADV	aujourd'hui
.	PUNCT	.
esprit	NOUN	esprit
t'	PRON	te
mobilier	NOUN	mobilier
vers	ADP	vers
sûr	ADJ	sûr
femmes	NOUN	femme
Tu	PRON	tu
cesse	VERB	cesse
.	PUNCT	.
deviner	VERB	deviner
qu'	SCONJ	que
l'	DET	le
Au	ADP	au
,	PUNCT	,
,	PUNCT	,
ballet	NOUN	ballet
de	ADP	de
paix	NOUN	paix
s'	PRON	se
,	PUNCT	,
Elle	PRON	lui
troublé	VERB	troubler
A	ADP	à
qui	PRON	qui
qu'	SCONJ	que
n'	ADV	n'
il	PRON	il
aventures	NOUN	aventure
à	ADP	à
ils	PRON	il
enthousiasme	NOUN	enthousiasme
et	CCONJ	et
contrôler	VERB	contrôler
ses	DET	son
bruit	NOUN	bruit
la	DET	le
,	PUNCT	,
son	DET	son
fortes	ADJ	fort
professeur	NOUN	professeur
élèves	NOUN	élève
murmura	VERB	murmurer
foncé	ADJ	foncé
esprit	NOUN	esprit
si	SCONJ	si
Le	DET	le
forme	NOUN	forme
elle	PRON	lui
imité	VERB	imiter
un	DET	un
,	PUNCT	,
.	PUNCT	.
compagne	NOUN	compagne
regard	NOUN	regard
l'	DET	le
d'	ADP	de
qu'	PRON	qu'
à	ADP	à
...	PUNCT	...
deux	NUM	deux
une	DET	un
martial	ADJ	martial
tous	ADJ	tout
.	PUNCT	.
l'	PRON	l'
envahit	VERB	envahir
,	PUNCT	,
s'	PRON	se
lui	PRON	lui
qui	PRON	qui
Dissipant	VERB	dissiper
son	DET	son
porte	NOUN	porte
.	PUNCT	.
ans	NOUN	an
elle	PRON	lui
...	PUNCT	...
viendra	VERB	venir
active	ADJ	actif
Sa	DET	son
de	ADP	de
Les	DET	le
les	DET	le
par	ADP	par
le	DET	le
,	PUNCT	,
je	PRON	je
sport	NOUN	sport
présent	NOUN	présent
altérer	VERB	altérer
adolescente	NOUN	adolescent
,	PUNCT	,
la	DET	le
petite	ADJ	petit
Ce	PRON	ce
de	ADP	de
—	PUNCT	—
prochaine	ADJ	prochain
elle	PRON	lui
se	PRON	se
d'	ADP	de
Aucun	DET	aucun
sur	ADP	sur
au	ADP	au
à	ADP	à
.	PUNCT	.
des	DET	un
beaucoup	ADV	beaucoup
deux	NUM	deux
pièce	NOUN	pièce
évidentes	ADJ	évident
autre	ADJ	autre
Son	DET	son
niveau	NOUN	niveau
longues	ADJ	long
chercha	VERB	chercher
aptitudes	NOUN	aptitude
ne	ADV	ne
n'	ADV	n'
avec	ADP	avec
leurs	DET	leur
que	SCONJ	que
songeaient	VERB	songer
chagrin	NOUN	chagrin
passage	NOUN	passage
la	DET	le
complète	ADJ	complet
petit	ADJ	petit
était	AUX	être
ciré	VERB	cirer
.	PUNCT	.
Leur	DET	leur
tout	ADV	tout
t'	PRON	te
élancé	ADJ	élancé
mentor	NOUN	mentor
maître	NOUN	maître
ensuite	ADV	ensuite
visage	NOUN	visage
s'	PRON	se
quelques	DET	quelque
compte	NOUN	compte
instinct	NOUN	instinct
,	PUNCT	,
Contrairement	ADV	contrairement
.	PUNCT	.
sur	ADP	sur
son	DET	son
Suzanne	PROPN	Suzanne
vais	VERB	aller
lui	PRON	lui
indispensable	ADJ	indispensable
.	PUNCT	.
découvrir	VERB	découvrir
d'	ADP	de
bois	NOUN	bois
Pourtant	ADV	pourtant
compris	VERB	comprendre
soudain	ADV	soudain
la	DET	le
un	DET	un
la	DET	le
et	CCONJ	et
épuisants	ADJ	épuisant
Sa	DET	son
Frazier	PROPN	Frazier
que	PRON	que
