»	PUNCT	»
.	PUNCT	.
carte	NOUN	carte
Carmen	PROPN	Carmen
violence	NOUN	violence
—	PUNCT	—
m'	PRON	me
que	ADV	que
-je	PRON	je
.	PUNCT	.
pied	NOUN	pied
la	DET	le
dans	ADP	dans
Ouest	NOUN	ouest
Pittsburg	PROPN	Pittsburg
,	PUNCT	,
Steiner	PROPN	Steiner
un	DET	un
long	ADV	long
Et	CCONJ	et
la	DET	le
sans	ADP	sans
vous	PRON	vous
quelques	PRON	quelques
.	PUNCT	.
était	AUX	être
temps	NOUN	temps
de	DET	de
en	PRON	en
Camionneur	NOUN	camionneur
Il	PRON	il
M.	NOUN	m.
—	PUNCT	—
Peut	ADV	peut
d'	ADP	de
est	VERB	être
de	ADP	de
Ses	DET	son
ne	ADV	ne
El	PROPN	El
écho	NOUN	écho
.	PUNCT	.
,	PUNCT	,
puissante	ADJ	puissant
.	PUNCT	.
affectant	VERB	affecter
et	CCONJ	et
Fait	VERB	faire
visage	NOUN	visage
sur	ADP	sur
il	PRON	il
promena	VERB	promener
-	ADV	-
en	PRON	en
attention	NOUN	attention
les	DET	le
il	PRON	il
Il	PRON	il
.	PUNCT	.
épaisses	ADJ	épais
à	ADP	à
Je	PRON	je
pipe	NOUN	pipe
du	ADP	de
feu	NOUN	feu
imperméable	NOUN	imperméable
dont	PRON	dont
au	ADP	au
si	SCONJ	si
fis	VERB	faire
.	PUNCT	.
Origine	NOUN	origine
un	DET	un
—	PUNCT	—
de	ADP	de
qu'	PRON	qu'
dedans	ADV	dedans
jusque-là	ADV	jusque-là
Des	DET	un
passer	VERB	passer
Je	PRON	je
et	CCONJ	et
chez	ADP	chez
en	ADP	en
Steiner	PROPN	Steiner
légèrement	ADV	légèrement
vous	PRON	vous
professionnel	ADJ	professionnel
,	PUNCT	,
dette	NOUN	dette
le	DET	le
d'	ADP	de
et	CCONJ	et
,	PUNCT	,
entre	ADP	entre
poche	NOUN	poche
caractères	NOUN	caractère
Steiner	PROPN	Steiner
dollars	NOUN	dollar
large	ADJ	large
floc	NOUN	floc
ça	PRON	cela
pour	ADP	pour
cette	DET	ce
et	CCONJ	et
Violets	PROPN	Violets
m'	PRON	me
puits	NOUN	puits
yeux	NOUN	oeil
tête	NOUN	tête
tirade	NOUN	tirade
Compris	VERB	comprendre
pas	ADV	pas
une	DET	un
le	DET	le
«	PUNCT	«
.	PUNCT	.
était	AUX	être
.	PUNCT	.
brune	ADJ	brun
