:	PUNCT	:
dans	ADP	dans
d'	ADP	de
La	DET	le
2936/6	NOUN	2936/6
Hydre	PROPN	Hydre
.	PUNCT	.
impossible	ADJ	impossible
importation	NOUN	importation
vigueur	NOUN	vigueur
consulter	VERB	consulter
DE	ADP	de
en	ADP	en
compagnie	NOUN	compagnie
-	PRON	-
,	PUNCT	,
QUARANTAINE	NOUN	quarantaine
labos	NOUN	laboratoire
de	ADP	de
composaient	VERB	composer
qui	PRON	qui
dirigée	VERB	diriger
.	PUNCT	.
de	ADP	de
L'	DET	le
les	DET	le
ne	ADV	ne
lu	VERB	lire
informations	NOUN	information
telles	ADJ	tel
relatives	ADJ	relatif
Eph	PROPN	Eph
.	PUNCT	.
des	ADP	de
l'	DET	le
1354/3	NOUN	1354/3
des	DET	un
méticuleusement	ADV	méticuleusement
premier	ADJ	premier
J'	PRON	je
produits	NOUN	produit
une	DET	un
DTVREL	PROPN	DTVREL
sur	ADP	sur
les	DET	le
J'	PRON	je
un	DET	un
ses	DET	son
mesure	NOUN	mesure
largeur	NOUN	largeur
relative	ADJ	relatif
1983	NUM	1983
Ses	DET	son
long	ADV	long
:	PUNCT	:
J'	PRON	je
CYTEEN	PROPN	CYTEEN
,	PUNCT	,
VENGEANCE	NOUN	vengeance
Sadoul	PROPN	Sadoul
cadre	NOUN	cadre
titre	NOUN	titre
traduction	NOUN	traduction
ses	DET	son
Cerdin	PROPN	Cerdin
l'	DET	le
étaient	AUX	être
le	DET	le
des	ADP	de
une	DET	un
de	ADP	de
la	DET	le
lu	VERB	lire
SOLEIL	NOUN	soleil
opportunité	NOUN	opportunité
C.J.	PROPN	C.J.
ce	PRON	ce
Nav	NOUN	nav
échanges	NOUN	échange
les	DET	le
.	PUNCT	.
à	ADP	à
élevaient	VERB	élever
le	DET	le
PUITS	NOUN	puits
informés	VERB	informer
.	PROPN	.
garantissent	VERB	garantir
,	PUNCT	,
paisible	ADJ	paisible
sur	ADP	sur
moins	ADV	moins
l'	DET	le
J'	PRON	je
,	PUNCT	,
«	PUNCT	«
collines	NOUN	colline
toute	DET	tout
alpha	NOUN	alpha
et	CCONJ	et
Raen	PROPN	Raen
seigneurs	NOUN	seigneur
la	DET	le
d'	ADP	de
Les	DET	le
.	PUNCT	.
des	ADP	de
DE	ADP	de
privilège	NOUN	privilège
LES	DET	le
fibres	NOUN	fibre
a	AUX	avoir
heureuse	ADJ	heureux
J'	PRON	je
tout	DET	tout
considérablement	ADV	considérablement
et	CCONJ	et
publics	ADJ	public
pas	ADV	pas
ces	DET	ce
une	DET	un
conseillé	VERB	conseiller
Cor	PROPN	Cor
et	CCONJ	et
hommes	NOUN	homme
constellation	NOUN	constellation
le	DET	le
l'	DET	le
nulle	ADV	nulle
l'	DET	le
HYDRE	PROPN	HYDRE
comptoir	NOUN	comptoir
ce	DET	ce
les	PRON	le
La	DET	le
ai	AUX	avoir
Cette	DET	ce
sur	ADP	sur
humains	NOUN	humain
et	CCONJ	et
lu	PROPN	lire
écart	NOUN	écart
Il	PRON	il
possédait	VERB	posséder
vain	ADJ	vain
appliquer	VERB	appliquer
Car	CCONJ	car
,	PUNCT	,
—	PUNCT	—
Jacques	PROPN	Jacques
connaître	VERB	connaître
que	SCONJ	que
part	ADV	part
champs	NOUN	champ
J'	PRON	je
mesuraient	VERB	mesurer
par	ADP	par
Ce	DET	ce
uniques	ADJ	unique
et	CCONJ	et
effectuer	VERB	effectuer
ai	AUX	avoir
LES	DET	le
que	SCONJ	que
Eph	PROPN	Eph
.	PUNCT	.
un	DET	un
Il	PRON	il
autre	NOUN	autre
initial	ADJ	initial
confidentiel	ADJ	confidentiel
semble	VERB	semble
ai	AUX	avoir
