alors	ADV	alors
-là	NOUN	-là
au	ADP	au
te	PRON	te
villes	NOUN	ville
,	PUNCT	,
un	DET	un
incroyable	ADJ	incroyable
s'	PRON	se
distribuer	VERB	distribuer
l'	DET	le
gens	NOUN	gens
à	ADP	à
et	CCONJ	et
soutenu	VERB	soutenir
comment	ADV	comment
devrions	VERB	devoir
insatisfaction	NOUN	insatisfaction
urbaine	ADJ	urbain
une	DET	un
avenir	NOUN	avenir
de	ADP	de
avaient	AUX	avoir
avenir	NOUN	avenir
la	PRON	le
ma	DET	mon
,	PUNCT	,
quand	SCONJ	quand
air	NOUN	air
ton	DET	ton
disait	VERB	dire
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
coupés	VERB	couper
le	PRON	le
J'	PRON	je
est	AUX	être
pas	ADV	pas
ces	DET	ce
il	PRON	il
?	PUNCT	?
rencontré	VERB	rencontrer
-je	PRON	je
...	PUNCT	...
...	PUNCT	...
déjà	ADV	déjà
«	PUNCT	«
complètement	ADV	complètement
whisky	NOUN	whisky
fonctionne	VERB	fonctionne
et	CCONJ	et
locales	ADJ	local
cela	PRON	cela
il	PRON	il
J'	PRON	je
s'	PRON	se
histoire	NOUN	histoire
affaire	NOUN	affaire
journée	NOUN	journée
des	ADP	de
Officiellement	ADV	officiellement
Entre	ADP	entre
-	ADV	-
fenêtre	NOUN	fenêtre
attention	NOUN	attention
il	PRON	il
.	PUNCT	.
plus	ADV	plus
cela	PRON	cela
de	ADP	de
dans	ADP	dans
recelaient	VERB	receler
ans	NOUN	an
,	PUNCT	,
tôt	ADV	tôt
te	PRON	te
comment	ADV	comment
faire	VERB	faire
delà	ADP	delà
.	PUNCT	.
preuve	NOUN	preuve
—	PUNCT	—
de	ADP	de
poser	VERB	poser
.	PUNCT	.
la	DET	le
Bien	ADV	bien
Ce	PRON	ce
yeux	NOUN	oeil
sur	ADP	sur
la	DET	le
prévoir	VERB	prévoir
j'	PRON	je
Ce	DET	ce
mieux	ADV	mieux
égoïsme	NOUN	égoïsme
intensité	NOUN	intensité
ne	ADV	ne
avait	AUX	avoir
-là	NOUN	-là
précipiter	VERB	précipiter
de	ADP	de
ai	VERB	avoir
Maintenant	ADV	maintenant
était	AUX	être
du	ADP	de
Eric	PROPN	Eric
vie	NOUN	vie
des	ADP	de
une	DET	un
des	ADP	de
du	ADP	de
que	SCONJ	que
on	PRON	on
air	NOUN	air
dans	ADP	dans
étais	AUX	être
,	PUNCT	,
spécialiste	NOUN	spécialiste
,	PUNCT	,
doute	NOUN	doute
il	PRON	il
faudrait	VERB	falloir
voir	VERB	voir
doigts	NOUN	doigt
toujours	ADV	toujours
—	PUNCT	—
sur	ADP	sur
souviens	VERB	souvenir
là	ADV	là
de	ADP	de
.	PUNCT	.
répondis	VERB	répondre
je	PRON	je
mort	VERB	mourir
la	DET	le
cela	PRON	cela
crois	VERB	croire
,	PUNCT	,
une	DET	un
Il	PRON	il
prévu	VERB	prévoir
Ensuite	ADV	ensuite
était	AUX	être
2256	NUM	2256
merci	NOUN	merci
ton	DET	ton
passions	VERB	passer
à	ADP	à
gens	NOUN	gens
vivre	VERB	vivre
et	CCONJ	et
intéresser	VERB	intéresser
une	DET	un
-là	NOUN	-là
plus	ADV	plus
.	PUNCT	.
plutôt	ADV	plutôt
rendus	VERB	rendre
un	DET	un
et	CCONJ	et
...	PUNCT	...
les	DET	le
reste	NOUN	reste
sans	ADP	sans
lui	PRON	lui
des	DET	un
—	PUNCT	—
avait	AUX	avoir
arrivera	VERB	arriver
.	PUNCT	.
,	PUNCT	,
est	AUX	être
...	PUNCT	...
un	DET	un
dont	PRON	dont
maison	NOUN	maison
.	PUNCT	.
Times	X	Times
aux	ADP	à
Rock	PROPN	Rock
à	ADP	à
indifférence	NOUN	indifférence
sûr	ADJ	sûr
détruit	VERB	détruire
être	AUX	être
du	ADP	de
puisque	SCONJ	puisque
sale	ADJ	sale
petit	ADJ	petit
dit	VERB	dire
.	PUNCT	.
frappe	VERB	frappe
l'	DET	le
soupçonne	VERB	soupçonne
,	PUNCT	,
quelque	DET	quelque
l'	DET	le
Je	PRON	je
obligatoire	ADJ	obligatoire
j'	PRON	je
,	PUNCT	,
il	PRON	il
murmura	VERB	murmurer
heureux	ADJ	heureux
de	ADP	de
tu	PRON	tu
l'	DET	le
Il	PRON	il
ce	PRON	ce
posséder	VERB	posséder
c'	PRON	ce
grise	ADJ	gris
était	AUX	être
.	PUNCT	.
dernière	ADJ	dernier
et	CCONJ	et
l'	DET	le
est	AUX	être
rire	NOUN	rire
une	DET	un
On	PRON	on
petit	ADJ	petit
aura	VERB	avoir
imagine	VERB	imagine
y	PRON	y
se	PRON	se
dans	ADP	dans
tout	PRON	tout
ces	DET	ce
de	ADP	de
-t	PRON	-t
et	CCONJ	et
il	PRON	il
il	PRON	il
Tu	PRON	tu
...	PUNCT	...
il	PRON	il
jour	NOUN	jour
diffuse	ADJ	diffus
rester	VERB	rester
ans	NOUN	an
tout	ADV	tout
interventions	NOUN	intervention
campagne	NOUN	campagne
moindre	ADJ	moindre
septembre	NOUN	septembre
Ni	CCONJ	ni
à	ADP	à
mais	CCONJ	mais
l'	DET	le
chose	NOUN	chose
monde	NOUN	monde
brillaient	VERB	briller
.	PUNCT	.
l'	DET	le
aimerais	VERB	aimer
il	PRON	il
Etendu	VERB	etendu
aurait	AUX	avoir
furent	AUX	être
jamais	ADV	jamais
et	CCONJ	et
je	PRON	je
nous	PRON	nous
.	PUNCT	.
d'	ADP	de
de	ADP	de
de	ADP	de
pu	VERB	pouvoir
une	DET	un
trente-quatre	NUM	trente-quatre
qui	PRON	qui
lieu	NOUN	lieu
vite	ADV	vite
quant	ADV	quant
inquiet	ADJ	inquiet
m'	PRON	me
un	DET	un
.	PUNCT	.
malheureux	ADJ	malheureux
Codes	NOUN	code
se	PRON	se
Le	DET	le
—	PUNCT	—
.	PUNCT	.
répondis	VERB	répondre
état	NOUN	état
éteint	VERB	éteindre
peu	ADV	peu
par	ADP	par
Haytor	PROPN	Haytor
—	PUNCT	—
les	DET	le
étouffa	VERB	étouffer
la	DET	le
que	SCONJ	que
.	PUNCT	.
eut	VERB	avoir
ici	ADV	ici
années	NOUN	année
,	PUNCT	,
Parfait	ADJ	parfait
J'	PRON	je
jour	NOUN	jour
tranquille	ADJ	tranquille
ne	ADV	ne
Bovey	PROPN	Bovey
con	NOUN	con
...	PUNCT	...
tu	PRON	tu
personnelle	ADJ	personnel
cela	PRON	cela
.	PUNCT	.
aimerais	VERB	aimer
événements	NOUN	événement
son	DET	son
en	PRON	en
me	PRON	me
,	PUNCT	,
connu	VERB	connaître
quand	SCONJ	quand
soixante-dix	NUM	soixante-dix
l'	DET	le
sur	ADP	sur
faudrait	VERB	falloir
,	PUNCT	,
jour	NOUN	jour
écrire	VERB	écrire
essayait	VERB	essayer
underground	ADJ	underground
squelettiques	ADJ	squelettique
civilisation	NOUN	civilisation
que	SCONJ	que
apercevait	VERB	apercevoir
un	DET	un
ne	ADV	ne
que	SCONJ	que
nous	PRON	nous
par	ADV	par
âge	NOUN	âge
—	PUNCT	—
sais	VERB	savoir
:	PUNCT	:
sans	ADP	sans
fut	AUX	être
hebdomadaire	NOUN	hebdomadaire
contre	ADP	contre
cela	PRON	cela
l'	DET	le
un	DET	un
jour	NOUN	jour
on	PRON	on
de	ADP	de
vingt-huit	NUM	vingt-huit
qu'	PRON	qu'
mettait	VERB	mettre
Bon	ADJ	bon
de	ADP	de
ça	PRON	cela
le	PRON	le
des	DET	un
qui	PRON	qui
nous	PRON	nous
se	PRON	se
Dieu	NOUN	dieu
la	DET	le
,	PUNCT	,
qui	PRON	qui
délit	NOUN	délit
physique	ADJ	physique
