ménage	NOUN	ménage
plages	NOUN	plage
Derrière	ADP	derrière
Tu	PRON	tu
était	AUX	être
sa	DET	son
répondit	VERB	répondre
,	PUNCT	,
et	CCONJ	et
de	ADP	de
—	PUNCT	—
l'	DET	le
dit	VERB	dire
,	PUNCT	,
,	PUNCT	,
la	PRON	le
j'	PRON	je
moi	PRON	moi
maigre	ADJ	maigre
.	PUNCT	.
pour	ADP	pour
petite	ADJ	petit
que	SCONJ	que
derrière	ADP	derrière
DE	ADP	de
se	PRON	se
moto	NOUN	moto
était	AUX	être
toutes	ADJ	tout
©	PROPN	©
?	PUNCT	?
chagrin	NOUN	chagrin
du	ADP	de
papa	NOUN	papa
relâchant	VERB	relâcher
,	PUNCT	,
avança	VERB	avancer
.	PUNCT	.
LIBRAIRIE	NOUN	librairie
tendrement	ADV	tendrement
J'	PRON	je
.	PUNCT	.
voie	NOUN	voie
frais	NOUN	frais
.	PUNCT	.
s'	PRON	se
nouveau	ADJ	nouveau
la	DET	le
—	PUNCT	—
mirent	VERB	mettre
.	PUNCT	.
qui	PRON	qui
très	ADV	très
Les	DET	le
en	PRON	en
NOTE	NOUN	note
la	DET	le
série	NOUN	série
Dave	PROPN	Dave
assurait	VERB	assurer
Et	CCONJ	et
,	PUNCT	,
créée	VERB	créer
—	PUNCT	—
comme	SCONJ	comme
femme	NOUN	femme
,	PUNCT	,
services	NOUN	service
six	NUM	six
à	ADP	à
prendre	VERB	prendre
panier	NOUN	panier
Maude	PROPN	Maude
Il	PRON	il
n'	ADV	n'
jusqu'	ADP	jusque
dans	ADP	dans
un	DET	un
compris	ADJ	compris
.	PUNCT	.
y	PRON	y
de	ADP	de
veux	VERB	vouloir
tombée	NOUN	tombée
adaptation	NOUN	adaptation
?	PUNCT	?
moto	NOUN	moto
demanda	VERB	demander
de	ADP	de
et	CCONJ	et
manœuvrer	VERB	manœuvrer
et	CCONJ	et
tandis	ADV	tandis
en	PRON	en
.	PUNCT	.
aventures	NOUN	aventure
niveau	NOUN	niveau
d'	ADP	de
,	PUNCT	,
SUR	ADP	sur
19?O.	NOUN	19?o.
embrasser	VERB	embrasser
,	PUNCT	,
ce	DET	ce
direction	NOUN	direction
route	NOUN	route
l'	PRON	l'
fleurissaient	VERB	fleurir
trains	NOUN	train
traduction	NOUN	traduction
R	NOUN	r
.	PUNCT	.
jeune	ADJ	jeune
il	PRON	il
moto	NOUN	moto
baiser	NOUN	baiser
vaste	ADJ	vaste
Bien	ADV	bien
qui	PRON	qui
veux	VERB	vouloir
quelques	DET	quelque
guérite	NOUN	guérite
