,	PUNCT	,
périr	VERB	périr
formation	NOUN	formation
se	PRON	se
maîtriser	VERB	maîtriser
mettait	VERB	mettre
la	DET	le
autres	ADJ	autre
compte	PUNCT	compte
guère	ADV	guère
et	CCONJ	et
être	AUX	être
femme	NOUN	femme
hublot	NOUN	hublot
dû	VERB	devoir
qu'	SCONJ	que
peut-être	ADV	peut-être
le	DET	le
les	DET	le
devaient	VERB	devoir
d'	ADP	de
Un	DET	un
siège	NOUN	siège
pipi	NOUN	pipi
de	ADP	de
il	PRON	il
,	PUNCT	,
d'	ADP	de
John	PROPN	John
de	ADP	de
il	PRON	il
son	DET	son
lui	PRON	lui
la	DET	le
Carré	PROPN	Carré
dire	VERB	dire
ne	ADV	ne
seules	ADJ	seul
ces	DET	ce
réponse	NOUN	réponse
de	ADP	de
avait	VERB	avoir
d'	ADP	de
vous	PRON	vous
haut	NOUN	haut
se	PRON	se
calmement	ADV	calmement
sa	DET	son
,	PUNCT	,
compagnie	NOUN	compagnie
excuses	NOUN	excuse
il	PRON	il
avait	VERB	avoir
ignorait	VERB	ignorer
,	PUNCT	,
visage	NOUN	visage
de	ADP	de
revanche	NOUN	revanche
il	PRON	il
lui	PRON	lui
par	ADP	par
bonnes	ADJ	bon
il	PRON	il
d'	ADP	de
besoin	NOUN	besoin
fastidieuses	ADJ	fastidieux
vol	NOUN	vol
ley	PROPN	ley
opté	VERB	opter
taille	NOUN	taille
se	PRON	se
pas	ADV	pas
pendant	ADP	pendant
qu'	PRON	qu'
rire	VERB	rire
filet	NOUN	filet
?	PUNCT	?
raison	NOUN	raison
le	DET	le
un	DET	un
-il	PRON	il
un	DET	un
coupe	NOUN	coupe
.	PUNCT	.
seules	ADJ	seul
repas	NOUN	repas
que	SCONJ	que
elle	PRON	lui
bœuf	NOUN	bœuf
le	DET	le
,	PUNCT	,
l'	PRON	l'
les	DET	le
,	PUNCT	,
car	CCONJ	car
bouquin	NOUN	bouquin
Carré	PROPN	Carré
Elle	PRON	lui
soupir	NOUN	soupir
,	PUNCT	,
Il	PRON	il
de	ADP	de
poindre	VERB	poindre
plusieurs	DET	plusieurs
une	DET	un
subir	VERB	subir
elle	PRON	lui
ouvrage	NOUN	ouvrage
Comment	ADV	comment
silhouette	NOUN	silhouette
.	PUNCT	.
Resnik	PROPN	Resnik
s'	PRON	se
cape	NOUN	cape
-il	PRON	il
était	AUX	être
entrevoir	VERB	entrevoir
de	ADP	de
trouvaient	VERB	trouver
attentions	NOUN	attention
et	CCONJ	et
et	CCONJ	et
l'	DET	le
à	ADP	à
n'	ADV	n'
repassant	VERB	repasser
plus	ADV	plus
frustration	NOUN	frustration
interminables	ADJ	interminable
.	PUNCT	.
encore	ADV	encore
qu'	SCONJ	que
place	NOUN	place
le	DET	le
sur	ADP	sur
travail	NOUN	travail
racontaient	VERB	raconter
serviette	NOUN	serviette
bien	ADV	bien
Lui	PRON	lui
,	PUNCT	,
grossièreté	NOUN	grossièreté
l'	PRON	l'
sous	ADP	sous
sympathique	ADJ	sympathique
.	PUNCT	.
Le	DET	le
avait	AUX	avoir
mais	CCONJ	mais
lire	VERB	lire
qui	PRON	qui
servi	VERB	servir
intérieurement	ADV	intérieurement
saisir	VERB	saisir
divertissant	ADJ	divertissant
New	PROPN	New
toutes	ADJ	tout
est	VERB	être
classe	NOUN	classe
proposa	VERB	proposer
aimait	VERB	aimer
A	ADP	à
alourdie	VERB	alourdir
ignorer	VERB	ignorer
ce	DET	ce
,	PUNCT	,
se	PRON	se
donc	ADV	donc
un	DET	un
déductions	NOUN	déduction
Une	DET	un
arrivait	VERB	arriver
vieilles	NOUN	vieux
.	PUNCT	.
bord	NOUN	bord
la	DET	le
tenait	VERB	tenir
visiblement	ADV	visiblement
il	PRON	il
grand	ADJ	grand
trouver	VERB	trouver
,	PUNCT	,
intolérable	ADJ	intolérable
faire	VERB	faire
corps	NOUN	corps
siège	NOUN	siège
;	PUNCT	;
comme	SCONJ	comme
voilà	VERB	voilà
confondant	VERB	confondre
contre	ADP	contre
sa	DET	son
sous	ADP	sous
;	PUNCT	;
nom	NOUN	nom
elles	PRON	lui
droite	NOUN	droite
les	DET	le
chose	NOUN	chose
de	ADP	de
Puis	CCONJ	puis
N'	ADV	n'
les	DET	le
pas	ADV	pas
d'	ADP	de
maximum	NOUN	maximum
,	PUNCT	,
et	CCONJ	et
qu'	SCONJ	que
blanc	ADJ	blanc
avec	ADP	avec
tandis	ADV	tandis
hôtesse	NOUN	hôtesse
vrai	ADJ	vrai
que	SCONJ	que
l'	PRON	l'
devait	VERB	devoir
du	ADP	de
monta	VERB	monter
-t	PRON	-t
se	PRON	se
leur	PRON	leur
viande	NOUN	viande
fait	VERB	faire
la	DET	le
était	AUX	être
laissaient	VERB	laisser
pourquoi	ADV	pourquoi
mais	CCONJ	mais
était	AUX	être
de	ADP	de
l'	DET	le
frivole	ADJ	frivole
propre	NOUN	propre
sorte	NOUN	sorte
elle	PRON	lui
ouf	NOUN	ouf
papoter	VERB	papoter
déplaça	VERB	déplacer
minces	ADJ	mince
.	PUNCT	.
le	DET	le
ébouriffée	VERB	ébouriffer
étirer	VERB	étirer
songea	VERB	songer
Gens	NOUN	gens
Le	DET	le
assise	VERB	asseoir
,	PUNCT	,
avait	VERB	avoir
le	DET	le
de	ADP	de
femmes	NOUN	femme
mit	VERB	mettre
il	PRON	il
savait	VERB	savoir
elle	PRON	lui
troqué	VERB	troquer
à	ADP	à
était	AUX	être
un	DET	un
d'	ADP	de
pour	ADP	pour
un	DET	un
Freud	PROPN	Freud
pas	ADV	pas
inoccupé	VERB	inoccuper
en	PRON	en
Elle	PRON	lui
agissait	VERB	agir
ou	CCONJ	ou
;	PUNCT	;
apprendre	VERB	apprendre
femmes	NOUN	femme
sa	DET	son
livra	VERB	livrer
l'	DET	le
Gens	NOUN	gens
York	PROPN	York
patiemment	ADV	patiemment
première	ADJ	premier
sans	ADP	sans
le	PRON	le
de	ADP	de
ailleurs	ADV	ailleurs
s'	PRON	se
au	ADP	au
pas	ADV	pas
,	PUNCT	,
tout	ADV	tout
accompagner	VERB	accompagner
quand	SCONJ	quand
en	ADP	en
avec	ADP	avec
sous	ADP	sous
femme	NOUN	femme
en	ADP	en
devant	ADP	devant
besoin	NOUN	besoin
identité	NOUN	identité
que	SCONJ	que
son	DET	son
le	PRON	le
de	ADP	de
petites	ADJ	petit
une	DET	un
qu'	SCONJ	que
Dieu	NOUN	dieu
;	PUNCT	;
agissait	VERB	agir
,	PUNCT	,
l'	PRON	l'
,	PUNCT	,
première	ADJ	premier
était	AUX	être
,	PUNCT	,
réservées	VERB	réserver
toute	DET	tout
.	PUNCT	.
gouines	NOUN	gouine
Les	DET	le
l'	PRON	l'
manifestait	VERB	manifester
intérêt	NOUN	intérêt
impossibles	ADJ	impossible
préparé	VERB	préparer
,	PUNCT	,
et	CCONJ	et
la	DET	le
livre	NOUN	livre
souhaitait	VERB	souhaiter
elle	PRON	lui
de	ADP	de
plus	ADV	plus
en	PRON	en
tout	ADV	tout
sa	DET	son
puis	CCONJ	puis
sa	DET	son
classe	NOUN	classe
prétexte	NOUN	prétexte
tout	DET	tout
d'	ADP	de
de	ADP	de
un	DET	un
un	DET	un
intellectuelle	NOUN	intellectuel
En	ADP	en
pas	ADV	pas
à	ADP	à
,	PUNCT	,
Smi	PROPN	Smi
tous	ADJ	tout
la	DET	le
,	PUNCT	,
courant	NOUN	courant
avant	ADP	avant
mangeant	VERB	manger
fût	AUX	être
Il	PRON	il
pas	ADV	pas
du	ADP	de
était	AUX	être
Qui	PRON	qui
l'	DET	le
ne	ADV	ne
,	PUNCT	,
du	ADP	de
véritable	ADJ	véritable
.	PUNCT	.
homme	NOUN	homme
portait	VERB	porter
.	PUNCT	.
à	ADP	à
;	PUNCT	;
minute	NOUN	minute
parole	NOUN	parole
noter	VERB	noter
spécimen	NOUN	spécimen
convenait	VERB	convenir
aussi	ADV	aussi
aller	VERB	aller
,	PUNCT	,
pour	ADP	pour
cette	DET	ce
toutes	ADJ	tout
les	PRON	le
Les	DET	le
grand	ADJ	grand
phrase	NOUN	phrase
pas	ADV	pas
De	ADP	de
boucla	VERB	boucler
de	ADP	de
elles	PRON	lui
avec	ADP	avec
du	ADP	de
vieilles	NOUN	vieux
n'	ADV	n'
histoires	NOUN	histoire
en	ADP	en
arrêta	VERB	arrêter
première	ADJ	premier
un	DET	un
le	DET	le
maître	NOUN	maître
et	CCONJ	et
siège	NOUN	siège
,	PUNCT	,
,	PUNCT	,
chapitres	NOUN	chapitre
têtes	NOUN	tête
de	ADP	de
lui	PRON	lui
un	DET	un
s'	PRON	se
regardait	VERB	regarder
n'	ADV	n'
regarder	VERB	regarder
air	NOUN	air
lui	PRON	lui
il	PRON	il
Smiley	PROPN	Smiley
ne	ADV	ne
On	PRON	on
lesbienne	NOUN	lesbienne
-ce	PRON	-ce
par	ADP	par
intention	NOUN	intention
embarrasser	VERB	embarrasser
faire	VERB	faire
les	DET	le
université	NOUN	université
la	DET	le
son	DET	son
à	ADP	à
.	PUNCT	.
,	PUNCT	,
continua	VERB	continuer
.	PUNCT	.
elle	PRON	lui
pas	ADV	pas
les	DET	le
pu	VERB	pouvoir
elle	PRON	lui
,	PUNCT	,
,	PUNCT	,
vieillissant	VERB	vieillir
sans	ADP	sans
Sa	DET	son
,	PUNCT	,
