le	DET	le
manche	NOUN	manche
de	ADP	de
de	ADP	de
courrier	NOUN	courrier
manœuvres	NOUN	manœuvre
,	PUNCT	,
pour	ADP	pour
figurait	VERB	figurer
la	DET	le
la	DET	le
la	DET	le
s'	PRON	se
était	AUX	être
vertige	NOUN	vertige
givre	NOUN	givre
rue	NOUN	rue
le	DET	le
gauche	NOUN	gauche
style	NOUN	style
un	PRON	un
passage	NOUN	passage
des	DET	un
de	ADP	de
dans	ADP	dans
croyait	VERB	croire
était	AUX	être
d'	ADP	de
grimpait	VERB	grimper
strasbourgeois	ADJ	strasbourgeois
la	DET	le
rythme	NOUN	rythme
politesse	NOUN	politesse
à	ADP	à
le	DET	le
l'	DET	le
policiers	NOUN	policier
est	AUX	être
BOUCHES	NOUN	bouche
se	PRON	se
Strasbourg	PROPN	Strasbourg
cours	NOUN	cours
élections	NOUN	élection
scène	NOUN	scène
les	DET	le
-	NOUN	-
réalité	NOUN	réalité
des	ADP	de
les	DET	le
Kro	PROPN	Kro
Il	PRON	il
les	DET	le
J'	PRON	je
éprouver	VERB	éprouver
vraiment	ADV	vraiment
près	ADV	près
était	AUX	être
avertissait	VERB	avertir
gardien	NOUN	gardien
vapeurs	NOUN	vapeur
des	ADP	de
pour	ADP	pour
Mars	NOUN	mars
surface	NOUN	surface
et	CCONJ	et
mais	CCONJ	mais
à	ADP	à
relut	VERB	relire
qui	PRON	qui
Diable	NOUN	diable
précède	VERB	précéder
souvenait	VERB	souvenir
à	ADP	à
relation	NOUN	relation
candélabre	NOUN	candélabre
immeuble	NOUN	immeuble
1	NUM	1
au	ADP	au
au	ADP	au
Saint-Omer	PROPN	Saint-Omer
régiment	NOUN	régiment
autre	ADJ	autre
comprendre	VERB	comprendre
dont	PRON	dont
les	DET	le
.	PUNCT	.
à	ADP	à
la	DET	le
,	PUNCT	,
inspecteur	NOUN	inspecteur
des	ADP	de
relevé	VERB	relever
de	ADP	de
grouillaient	VERB	grouiller
Strasbourg	PROPN	Strasbourg
c'	PRON	ce
de	ADP	de
.	PUNCT	.
sur	ADP	sur
.	PUNCT	.
ils	PRON	il
Vauban	PROPN	Vauban
dans	ADP	dans
racontait	VERB	raconter
soupiraux	NOUN	soupirail
.	PUNCT	.
-	PROPN	-
émanait	VERB	émaner
manchot	NOUN	manchot
obligea	VERB	obliger
d'	ADP	de
cours	NOUN	cours
quelques	ADJ	quelque
qu'	SCONJ	que
Le	DET	le
qui	PRON	qui
avait	AUX	avoir
avec	ADP	avec
de	ADP	de
caserne	NOUN	caserne
la	DET	le
envie	NOUN	envie
première	ADJ	premier
près	ADV	près
attention	NOUN	attention
mais	CCONJ	mais
de	ADP	de
.	PUNCT	.
l'	DET	le
faire	VERB	faire
généreusement	ADV	généreusement
Il	PRON	il
voix	NOUN	voix
sur	ADP	sur
en	ADP	en
rosace	NOUN	rosace
autres	ADJ	autre
troupeau	NOUN	troupeau
de	ADP	de
traversa	VERB	traverser
,	PUNCT	,
à	ADP	à
le	DET	le
.	PUNCT	.
passait	VERB	passer
tendre	ADJ	tendre
cabestan	NOUN	cabestan
sur	ADP	sur
l'	DET	le
serait	AUX	être
figurant	VERB	figurer
posé	VERB	poser
.	PUNCT	.
sur	ADP	sur
klaxons	NOUN	klaxon
cloches	NOUN	cloche
le	DET	le
animaux	NOUN	animal
lumière	NOUN	lumière
puis	CCONJ	puis
même	ADV	même
de	ADP	de
détachait	VERB	détacher
d'	ADP	de
rouages	NOUN	rouage
Il	PRON	il
