comme	ADP	comme
aux	ADP	à
pesante	ADJ	pesant
planta	VERB	planter
avantage	NOUN	avantage
le	DET	le
au	ADP	au
serait	AUX	être
dans	ADP	dans
lèvres	NOUN	lèvre
mais	CCONJ	mais
Alexandre	PROPN	Alexandre
impétuosité	NOUN	impétuosité
est	AUX	être
!	PUNCT	!
l'	DET	le
le	DET	le
arborait	VERB	arborer
!	PUNCT	!
La	DET	le
--	PUNCT	--
d'	ADP	de
de	ADP	de
réputée	VERB	réputer
rien	PRON	rien
folâtres	ADJ	folâtre
aimable	ADJ	aimable
pendant	ADP	pendant
,	PUNCT	,
à	ADP	à
plaisant	ADJ	plaisant
préside	VERB	préside
à	ADP	à
AINSI	SYM	AINSI
lui	PRON	lui
pantalon	NOUN	pantalon
pas	ADV	pas
Lipp	PROPN	Lipp
ou	CCONJ	ou
béruréen	ADJ	béruréen
le	DET	le
sur	ADP	sur
des	ADP	de
admirative	ADJ	admiratif
plus	ADV	plus
le	PRON	le
sous-vêtir	VERB	sous-vêtir
inaugurer	VERB	inaugurer
quarts	NOUN	quart
et	CCONJ	et
droite	NOUN	droite
implacabilité	NOUN	implacabilité
s'	PRON	se
sa	DET	son
FUT	VERB	être
notion	NOUN	notion
,	PUNCT	,
donnant	VERB	donner
longs	ADJ	long
conditionnée	VERB	conditionner
plat	ADJ	plat
grave	ADJ	grave
En	ADP	en
de	ADP	de
qui	PRON	qui
une	DET	un
laissa	VERB	laisser
se	PRON	se
,	PUNCT	,
ferry	NOUN	ferry
se	PRON	se
une	DET	un
préparait	VERB	préparer
être	AUX	être
,	PUNCT	,
engager	VERB	engager
en	ADP	en
Queue	PROPN	Queue
,	PUNCT	,
se	PRON	se
béanture	NOUN	béanture
d'	ADP	de
se	PRON	se
y	PRON	y
L'	DET	le
«	PUNCT	«
certitude	NOUN	certitude
instar	NOUN	instar
toilettes	NOUN	toilette
il	PRON	il
possède	VERB	posséder
.	PUNCT	.
dans	ADP	dans
à	ADP	à
il	PRON	il
le	PRON	le
les	DET	le
distendue	VERB	distendre
opération	NOUN	opération
Bérurier	PROPN	Bérurier
que	ADV	que
!	PUNCT	!
,	PUNCT	,
que	PRON	que
dis	VERB	dire
dégueulasse	ADJ	dégueulasse
en	ADP	en
uriblancs	PROPN	uriblancs
certitude	NOUN	certitude
!	PUNCT	!
fut	AUX	être
.	PUNCT	.
sa	DET	son
notre	DET	notre
,	PUNCT	,
sobriquet	NOUN	sobriquet
libérer	VERB	libérer
déculotter	VERB	déculotter
impétueux	ADJ	impétueux
violet	ADJ	violet
la	DET	le
bas	NOUN	bas
vessie	NOUN	vessie
après	ADP	après
,	PUNCT	,
en	ADP	en
d'	ADP	de
,	PUNCT	,
