n'	ADV	n'
Celui	PRON	celui
ouverts	ADJ	ouvert
ouvriers	NOUN	ouvrier
.	PUNCT	.
—	PUNCT	—
c'	PRON	ce
aquatique	ADJ	aquatique
close	ADJ	clos
avança	VERB	avancer
qui	PRON	qui
plus	ADV	plus
protéger	VERB	protéger
hors	ADP	hors
comme	ADP	comme
le	PRON	le
-il	PRON	il
d'	ADP	de
du	ADP	de
son	DET	son
,	PUNCT	,
de	ADP	de
chance	NOUN	chance
Inc	PROPN	Inc
équipe	NOUN	équipe
d'	ADP	de
moyens	NOUN	moyen
reprendre	VERB	reprendre
l'	DET	le
détendit	VERB	détendre
herbe	NOUN	herbe
emportait	VERB	emporter
large	ADJ	large
un	DET	un
Chandlier	PROPN	Chandlier
implacable	ADJ	implacable
distorsion	NOUN	distorsion
pulvérisateur	NOUN	pulvérisateur
nervosité	NOUN	nervosité
tourbillons	NOUN	tourbillon
,	PUNCT	,
si	SCONJ	si
ennemi	NOUN	ennemi
.	PUNCT	.
champ	NOUN	champ
,	PUNCT	,
d'	ADP	de
,	PUNCT	,
par	ADP	par
vraisemblablement	ADV	vraisemblablement
quand	SCONJ	quand
vivement	ADV	vivement
le	DET	le
»	PUNCT	»
suivant	PRON	suivant
le	DET	le
digitales	ADJ	digital
lui	PRON	lui
résisté	VERB	résister
l'	DET	le
,	PUNCT	,
que	SCONJ	que
était	AUX	être
peu	ADV	peu
à	ADP	à
mode	NOUN	mode
en	ADP	en
contrôlée	VERB	contrôler
,	PUNCT	,
de	ADP	de
détruisait	VERB	détruire
Un	DET	un
vers	ADP	vers
plus	ADV	plus
télétrans	ADJ	télétran
toutes	ADJ	tout
les	DET	le
dans	ADP	dans
dans	ADP	dans
qu'	PRON	qu'
glissa	VERB	glisser
de	ADP	de
les	DET	le
.	PUNCT	.
porte	NOUN	porte
par	ADP	par
de	ADP	de
approprié	ADJ	approprié
le	PRON	le
passer	VERB	passer
sans	ADP	sans
dessus	ADP	dessus
sécurité	NOUN	sécurité
par	ADP	par
amenèrent	VERB	amener
voyaient	VERB	voir
privé	VERB	priver
bout	NOUN	bout
pente	NOUN	pente
une	DET	un
dont	PRON	dont
type	NOUN	type
mort	NOUN	mort
qui	PRON	qui
Dans	ADP	dans
tard	ADV	tard
pièce	NOUN	pièce
plupart	NOUN	plupart
résultat	NOUN	résultat
déclenchait	VERB	déclencher
suivit	VERB	suivre
des	ADP	de
à	ADP	à
la	DET	le
sonder	VERB	sonder
-il	PRON	il
et	CCONJ	et
présent	NOUN	présent
de	ADP	de
la	DET	le
passer	VERB	passer
psycho	NOUN	psycho
lui	PRON	lui
au	ADP	au
d'	ADP	de
qui	PRON	qui
le	DET	le
l'	DET	le
interdisant	VERB	interdire
homme	NOUN	homme
un	DET	un
se	PRON	se
.	PUNCT	.
carbone	NOUN	carbone
plaqua	VERB	plaquer
mètres	NOUN	mètre
dix	NUM	dix
avait	AUX	avoir
firme	NOUN	firme
rapport	NOUN	rapport
de	ADP	de
Thêta-36	PROPN	Thêta-36
distorsion	NOUN	distorsion
vestiaire	NOUN	vestiaire
venu	VERB	venir
lui	PRON	lui
pour	ADP	pour
dizaines	NOUN	dizaine
lumière	NOUN	lumière
.	PUNCT	.
des	ADP	de
jusqu'	ADP	jusque
Il	PRON	il
Seul	ADJ	seul
il	PRON	il
au	ADP	au
Wray	PROPN	Wray
secrets	NOUN	secret
Crystal	PROPN	Crystal
maison	NOUN	maison
aurait	AUX	avoir
cadres	NOUN	cadre
agissait	VERB	agir
qui	PRON	qui
Inc	X	Inc
...	PUNCT	...
raison	NOUN	raison
un	DET	un
se	PRON	se
quittèrent	VERB	quitter
sens	NOUN	sens
le	DET	le
parées	VERB	parer
conduit	NOUN	conduit
.	PUNCT	.
devant	ADP	devant
place	NOUN	place
suivait	VERB	suivre
Ce	DET	ce
entourait	VERB	entourer
lecteur	NOUN	lecteur
était	AUX	être
Un	DET	un
apporté	VERB	apporter
suffisamment	ADV	suffisamment
Le	DET	le
,	PUNCT	,
premier	ADJ	premier
quatre	NUM	quatre
complexe	ADJ	complexe
Chandlier	PROPN	Chandlier
refusé	VERB	refuser
éloignée	VERB	éloigner
Il	PRON	il
à	ADP	à
malheureusement	ADV	malheureusement
franchie	VERB	franchir
sauf	ADP	sauf
son	DET	son
où	PRON	où
tous	ADJ	tout
pour	ADP	pour
chances	NOUN	chance
inutilisables	ADJ	inutilisable
étaient	AUX	être
entre	ADP	entre
,	PUNCT	,
garde	NOUN	garde
à	ADP	à
de	ADP	de
la	DET	le
s'	PRON	se
sans	ADP	sans
amoks	NOUN	amok
la	DET	le
venait	VERB	venir
couloir	NOUN	couloir
qu'	SCONJ	que
autant	ADV	autant
