soulagé	VERB	soulager
,	PUNCT	,
terrible	ADJ	terrible
ne	ADV	ne
parka	NOUN	parka
sa	DET	son
de	ADP	de
dans	ADP	dans
à	ADP	à
trop	ADV	trop
abandonné	VERB	abandonner
se	PRON	se
relevait	VERB	relever
il	PRON	il
le	DET	le
bête	NOUN	bête
efforts	NOUN	effort
avalé	VERB	avaler
d'	ADP	de
l'	PRON	l'
,	PUNCT	,
sur	ADP	sur
.	PUNCT	.
efforça	VERB	efforcer
Il	PRON	il
force	NOUN	force
.	PUNCT	.
générer	VERB	générer
qu'	ADV	qu'
sur	ADP	sur
l'	DET	le
vu	VERB	voir
roulèrent	VERB	rouler
quelques	DET	quelque
constatation	NOUN	constatation
ne	ADV	ne
.	PUNCT	.
le	PRON	le
cheveux	NOUN	cheveu
ne	ADV	ne
Jamais	ADV	jamais
Deux	NUM	Deux
avait	AUX	avoir
pas	ADV	pas
frigorifiées	VERB	frigorifier
rêve	NOUN	rêve
de	ADP	de
les	DET	le
ange	NOUN	ange
tout	ADV	tout
de	ADP	de
avec	ADP	avec
lourdes	ADJ	lourd
il	PRON	il
,	PUNCT	,
.	PUNCT	.
aux	ADP	à
il	PRON	il
humain	ADJ	humain
de	ADP	de
surgit	VERB	surgir
presque	ADV	presque
,	PUNCT	,
et	CCONJ	et
impatience	NOUN	impatience
il	PRON	il
,	PUNCT	,
de	ADP	de
Le	DET	le
regard	NOUN	regard
s'	PRON	se
assez	ADV	assez
la	PRON	le
une	PRON	un
lever	VERB	lever
un	DET	un
yeux	NOUN	oeil
les	DET	le
au	ADP	au
,	PUNCT	,
il	PRON	il
La	DET	le
propre	ADJ	propre
immobile	ADJ	immobile
la	DET	le
de	ADP	de
qui	PRON	qui
détachement	NOUN	détachement
laissa	VERB	laisser
or	NOUN	or
son	DET	son
,	PUNCT	,
,	PUNCT	,
en	ADP	en
ses	DET	son
...	PUNCT	...
,	PUNCT	,
.	PUNCT	.
vivant	ADJ	vivant
grève	NOUN	grève
De	DET	de
.	PUNCT	.
,	PUNCT	,
n'	ADV	n'
elle	PRON	lui
bras	NOUN	bras
toute	DET	tout
retira	VERB	retirer
dernières	ADJ	dernier
langue	NOUN	langue
Il	PRON	il
devant	ADP	devant
jambes	NOUN	jambe
d'	ADP	de
déchirés	VERB	déchirer
sang	NOUN	sang
sinistre	ADJ	sinistre
ses	DET	son
en	ADP	en
une	DET	un
que	ADV	que
,	PUNCT	,
lui	PRON	lui
et	CCONJ	et
ses	DET	son
dans	ADP	dans
aggraver	VERB	aggraver
humides	ADJ	humide
sentit	VERB	sentir
faire	VERB	faire
Pour	ADP	pour
tenta	VERB	tenter
lui	PRON	lui
l'	DET	le
homme	NOUN	homme
figèrent	VERB	figer
ange	NOUN	ange
était	AUX	être
.	PUNCT	.
ours	NOUN	ours
posa	VERB	poser
toucher	VERB	toucher
si	ADV	si
et	CCONJ	et
une	DET	un
peu	ADV	peu
petite	ADJ	petit
avait	AUX	avoir
;	PUNCT	;
visage	NOUN	visage
bête	NOUN	bête
animal	NOUN	animal
plus	ADV	plus
y	PRON	y
était	AUX	être
sur	ADP	sur
étreinte	NOUN	étreinte
autre	ADJ	autre
Seul	ADJ	seul
Peu	ADV	peu
un	DET	un
lointain	ADJ	lointain
abandonnaient	VERB	abandonner
supplier	VERB	supplier
,	PUNCT	,
glacée	ADJ	glacé
Malgré	ADP	malgré
aux	ADP	à
les	DET	le
pour	ADP	pour
les	DET	le
sentit	VERB	sentir
vue	NOUN	vue
et	CCONJ	et
verts	ADJ	vert
,	PUNCT	,
éprouva	VERB	éprouver
résigna	VERB	résigner
ce	DET	ce
trouva	VERB	trouver
rire	NOUN	rire
cils	NOUN	cil
Il	PRON	il
nul	DET	nul
,	PUNCT	,
de	ADP	de
cynique	ADJ	cynique
sur	ADP	sur
se	PRON	se
,	PUNCT	,
l'	DET	le
tira	VERB	tirer
l'	DET	le
fût	AUX	être
mordillait	VERB	mordiller
.	PUNCT	.
.	PUNCT	.
lui	PRON	lui
