te	PRON	te
voyage	NOUN	voyage
volume	NOUN	volume
seule	ADJ	seul
n'	ADV	n'
.	PUNCT	.
le	DET	le
fit	AUX	faire
elle	PRON	lui
,	PUNCT	,
à	ADP	à
tes	DET	ton
venait	VERB	venir
?	PUNCT	?
entends	VERB	entendre
.	PUNCT	.
.	PUNCT	.
pas	ADV	pas
Lisepierre	PROPN	Lisepierre
ont	AUX	avoir
rien	PRON	rien
composer	VERB	composer
avec	ADP	avec
,	PUNCT	,
la	DET	le
fleurs	NOUN	fleur
en	ADP	en
si	SCONJ	si
les	DET	le
apparue	VERB	apparaître
n'	ADV	n'
Des	DET	un
cause	NOUN	cause
que	PRON	que
.	PUNCT	.
mon	DET	mon
grandi	VERB	grandir
ouvrage	NOUN	ouvrage
il	PRON	il
la	DET	le
,	PUNCT	,
.	PUNCT	.
de	ADP	de
Aussitôt	ADV	aussitôt
nous	PRON	nous
.	PUNCT	.
lieu	NOUN	lieu
sur	ADP	sur
est	AUX	être
,	PUNCT	,
Elle	PRON	lui
seconde	NOUN	seconde
les	PRON	le
de	ADP	de
pétales	NOUN	pétale
lieu	NOUN	lieu
à	ADP	à
pourquoi	ADV	pourquoi
eut	VERB	avoir
est	AUX	être
étais	AUX	être
,	PUNCT	,
montés	VERB	monter
l'	DET	le
de	ADP	de
du	ADP	de
que	SCONJ	que
.	PUNCT	.
Lisepierre	PROPN	Lisepierre
propre	ADJ	propre
me	PRON	me
pas	ADV	pas
bond	NOUN	bond
tombe	NOUN	tombe
,	PUNCT	,
mort	NOUN	mort
.	PUNCT	.
et	CCONJ	et
acte	NOUN	acte
toi	PRON	toi
autour	ADV	autour
l'	DET	le
bon	ADJ	bon
s'	PRON	se
que	SCONJ	que
traces	NOUN	trace
:	PUNCT	:
elle	PRON	lui
commerce	NOUN	commerce
,	PUNCT	,
qu'	SCONJ	que
je	PRON	je
vie	NOUN	vie
que	SCONJ	que
n'	ADV	n'
,	PUNCT	,
C'	PRON	ce
mots	NOUN	mot
touché	VERB	toucher
on	PRON	on
souvenu	VERB	souvenir
langage	NOUN	langage
-il	PRON	il
d'	ADP	de
me	PRON	me
les	DET	le
qui	PRON	qui
voulue	VERB	vouloir
âme	NOUN	âme
.	PUNCT	.
jamais	ADV	jamais
,	PUNCT	,
ai	AUX	avoir
d'	DET	d'
une	DET	un
peut	VERB	pouvoir
dernier	ADJ	dernier
”	PUNCT	”
viendra	VERB	venir
responsable	ADJ	responsable
un	DET	un
ailleurs	ADV	ailleurs
se	PRON	se
parut	VERB	paraître
conçu	VERB	concevoir
place	NOUN	place
inutile	ADJ	inutile
?	PUNCT	?
pas	ADV	pas
pas	ADV	pas
il	PRON	il
vérités	NOUN	vérité
à	ADP	à
contraire	ADJ	contraire
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
sensibilité	NOUN	sensibilité
sournoises	ADJ	sournois
qu'	SCONJ	que
à	ADP	à
le	PRON	le
suis	AUX	être
croire	VERB	croire
respiré	VERB	respirer
de	DET	de
que	PRON	que
à	ADP	à
que	SCONJ	que
l'	DET	le
nous	PRON	nous
en	ADP	en
l'	DET	le
gênait	VERB	gêner
m'	PRON	me
,	PUNCT	,
apprendre	VERB	apprendre
,	PUNCT	,
ronronner	VERB	ronronner
hommes	NOUN	homme
,	PUNCT	,
rayonnement	NOUN	rayonnement
qu'	SCONJ	que
ne	ADV	ne
d'	ADP	de
toucherons	VERB	toucher
chose	NOUN	chose
,	PUNCT	,
enfance	NOUN	enfance
,	PUNCT	,
de	ADP	de
l'	DET	le
la	DET	le
efface	VERB	effacer
,	PUNCT	,
montait	VERB	monter
ai	AUX	avoir
Toujours	ADV	toujours
c'	PRON	ce
pensées	NOUN	pensée
propre	ADJ	propre
ce	DET	ce
personne	NOUN	personne
n'	ADV	n'
,	PUNCT	,
,	PUNCT	,
qu'	PRON	qu'
chaque	DET	chaque
si	SCONJ	si
dans	ADP	dans
.	PUNCT	.
temps	NOUN	temps
“	PUNCT	“
dans	ADP	dans
qu'	SCONJ	que
est	AUX	être
pour	ADP	pour
closes	ADJ	clos
notre	DET	notre
dans	ADP	dans
herbe	NOUN	herbe
en	ADP	en
,	PUNCT	,
ne	ADV	ne
,	PUNCT	,
de	ADP	de
rosées	NOUN	rosée
.	PUNCT	.
:	PUNCT	:
je	PRON	je
plus	ADV	plus
ne	ADV	ne
.	PUNCT	.
et	CCONJ	et
là	ADV	là
pleurer	VERB	pleurer
un	DET	un
fleur	NOUN	fleur
cour	NOUN	cour
à	ADP	à
aucun	DET	aucun
peu	ADV	peu
les	DET	le
»	PUNCT	»
brave	ADJ	brave
j'	PRON	je
et	CCONJ	et
percevoir	VERB	percevoir
voudrais	VERB	vouloir
,	PUNCT	,
nom	NOUN	nom
advint	VERB	advenir
sa	DET	son
,	PUNCT	,
Tu	PRON	tu
bougea	VERB	bouger
le	DET	le
il	PRON	il
déterminisme	NOUN	déterminisme
entre	ADP	entre
ma	DET	mon
.	PUNCT	.
pas	ADV	pas
jour	NOUN	jour
qui	PRON	qui
roses	NOUN	rose
pas	ADV	pas
qu'	SCONJ	que
nul	DET	nul
vie	NOUN	vie
elle	PRON	lui
main	NOUN	main
est	AUX	être
dissonance	NOUN	dissonance
en	ADP	en
bon	ADJ	bon
impossibilité	NOUN	impossibilité
grand	ADJ	grand
appliquai	VERB	appliquer
C'	PRON	ce
y	PRON	y
de	ADP	de
de	ADP	de
donné	VERB	donner
j'	PRON	je
qui	PRON	qui
réaliserons	VERB	réaliser
soir	NOUN	soir
l'	DET	le
merveilleuses	ADJ	merveilleux
de	ADP	de
à	ADP	à
fait	VERB	faire
gibier	NOUN	gibier
est	AUX	être
ouvrant	VERB	ouvrir
.	PUNCT	.
.	PUNCT	.
être	AUX	être
que	SCONJ	que
un	DET	un
être	AUX	être
air	NOUN	air
les	DET	le
«	PUNCT	«
a	AUX	avoir
là	ADV	là
s'	PRON	se
enthousiasme	NOUN	enthousiasme
Aube	PROPN	Aube
?	PUNCT	?
tout	ADJ	tout
bouges	VERB	bouger
inaccomplie	ADJ	inaccompli
suis	AUX	être
entre	ADP	entre
vécus	VERB	vivre
ai	AUX	avoir
tu	PRON	tu
monde	NOUN	monde
est	AUX	être
loin	ADV	loin
errances	NOUN	errance
suis	AUX	être
en	ADP	en
tend	VERB	tendre
perdre	VERB	perdre
vérités	NOUN	vérité
sans	ADP	sans
sur	ADP	sur
l'	DET	le
qu'	PRON	qu'
petit	ADJ	petit
,	PUNCT	,
partir	VERB	partir
conte	VERB	conte
Pour	ADP	pour
d'	ADP	de
qui	PRON	qui
-	PRON	-
elle	PRON	lui
mois	NOUN	mois
mot	NOUN	mot
partirons	VERB	partir
ne	ADV	ne
eux	PRON	lui
Vivre	VERB	vivre
le	PRON	le
indifférente	ADJ	indifférent
me	PRON	me
Le	DET	le
ai	AUX	avoir
rosier	NOUN	rosier
membres	NOUN	membre
pu	VERB	pouvoir
le	DET	le
su	VERB	savoir
réveiller	VERB	réveiller
faut	VERB	falloir
y	PRON	y
.	PUNCT	.
sais	VERB	savoir
.	PUNCT	.
ne	ADV	ne
une	DET	un
d'	ADP	de
,	PUNCT	,
.	PUNCT	.
sauve	VERB	sauve
lieux	NOUN	lieu
leur	PRON	leur
,	PUNCT	,
autre	ADJ	autre
projet	NOUN	projet
sans	ADP	sans
moi	PRON	moi
celle	PRON	celui
moi	PRON	moi
acte	NOUN	acte
ferme	NOUN	ferme
trébuché	VERB	trébucher
que	SCONJ	que
.	PUNCT	.
—	PUNCT	—
émotions	NOUN	émotion
.	PUNCT	.
avait	AUX	avoir
ne	ADV	ne
la	DET	le
de	ADP	de
.	PUNCT	.
-je	PRON	je
savoir	VERB	savoir
nous	PRON	nous
salissent	VERB	salir
donner	VERB	donner
livre	NOUN	livre
malheur	NOUN	malheur
Je	PRON	je
de	ADP	de
je	PRON	je
et	CCONJ	et
lisent	VERB	lire
ce	DET	ce
fou	ADJ	fou
Si	SCONJ	si
place	NOUN	place
et	CCONJ	et
est	AUX	être
que	PRON	que
les	PRON	le
.	PUNCT	.
tranquillité	NOUN	tranquillité
juste	ADV	juste
les	DET	le
fait	VERB	faire
ne	ADV	ne
Les	DET	le
de	ADP	de
La	DET	le
cadavre	NOUN	cadavre
n'	ADV	n'
jour	NOUN	jour
forêts	NOUN	forêt
à	ADP	à
y	PRON	y
le	DET	le
sur	ADP	sur
a	AUX	avoir
Aube	PROPN	Aube
l'	PRON	l'
fait	VERB	faire
atteins	VERB	atteindre
ma	DET	mon
nous	PRON	nous
dans	ADP	dans
elle	PRON	lui
pas	ADV	pas
la	DET	le
enveloppait	VERB	envelopper
en	ADP	en
ce	PRON	ce
ne	ADV	ne
a	VERB	avoir
Je	PRON	je
plusieurs	DET	plusieurs
hasard	NOUN	hasard
aucun	DET	aucun
me	PRON	me
aucune	DET	aucun
je	PRON	je
.	PUNCT	.
comme	ADP	comme
avait	VERB	avoir
dit	VERB	dire
la	DET	le
,	PUNCT	,
Je	PRON	je
vent	NOUN	vent
poitrine	NOUN	poitrine
se	PRON	se
présent	NOUN	présent
et	CCONJ	et
C'	PRON	ce
lieux	NOUN	lieu
où	PRON	où
vivre	VERB	vivre
aimer	VERB	aimer
un	DET	un
sombre	ADJ	sombre
cause	NOUN	cause
histoire	NOUN	histoire
certains	DET	certain
si	ADV	si
pour	ADP	pour
le	PRON	le
existence	NOUN	existence
est	AUX	être
s'	SCONJ	s'
être	NOUN	être
,	PUNCT	,
ai	AUX	avoir
il	PRON	il
le	DET	le
une	DET	un
instants	NOUN	instant
entre	ADP	entre
pas	ADV	pas
légèreté	NOUN	légèreté
yeux	NOUN	oeil
taisait	VERB	taire
me	PRON	me
qui	PRON	qui
Pourquoi	ADV	pourquoi
,	PUNCT	,
?	PUNCT	?
,	PUNCT	,
que	PRON	que
vu	VERB	voir
.	PUNCT	.
»	PUNCT	»
.	PUNCT	.
des	DET	un
pensif	ADJ	pensif
musique	NOUN	musique
lèvres	NOUN	lèvre
sans	ADP	sans
pour	ADP	pour
pour	ADP	pour
bien	ADV	bien
ne	ADV	ne
nous	PRON	nous
arrêté	VERB	arrêter
s'	PRON	se
,	PUNCT	,
Nul	DET	nul
de	ADP	de
y	PRON	y
Dans	ADP	dans
noircie	ADJ	noircir
noire	ADJ	noir
qui	PRON	qui
retrouverons	VERB	retrouver
tu	PRON	tu
me	PRON	me
ce	PRON	ce
-je	PRON	je
plus	ADV	plus
la	DET	le
inélégant	ADJ	inélégant
Elles	PRON	lui
avons	AUX	avoir
très	ADV	très
dont	PRON	dont
,	PUNCT	,
une	DET	un
moi	PRON	moi
.	PUNCT	.
les	DET	le
Le	DET	le
la	DET	le
était	VERB	être
espères	VERB	espérer
.	PUNCT	.
légère	ADJ	léger
la	PRON	le
instant	NOUN	instant
remarquer	VERB	remarquer
Qu'	PRON	qu'
ce	PRON	ce
dans	ADP	dans
ciel	NOUN	ciel
sont	AUX	être
soir	NOUN	soir
également	ADV	également
,	PUNCT	,
laissa	VERB	laisser
mes	DET	mon
tout	PRON	tout
.	PUNCT	.
,	PUNCT	,
.	PUNCT	.
non	ADV	non
proche	ADJ	proche
aurai	VERB	avoir
qui	PRON	qui
.	PUNCT	.
Aube	PROPN	Aube
près	ADV	près
peuvent	VERB	pouvoir
.	PUNCT	.
a	AUX	avoir
vivre	VERB	vivre
,	PUNCT	,
qu'	ADV	qu'
le	DET	le
d'	ADP	de
une	DET	un
la	DET	le
on	PRON	on
avoir	AUX	avoir
vis	VERB	voir
?	PUNCT	?
un	DET	un
certains	DET	certain
de	ADP	de
contraires	ADJ	contraire
me	PRON	me
qui	PRON	qui
un	DET	un
d'	ADP	de
la	DET	le
pain	NOUN	pain
Tu	PRON	tu
ai	AUX	avoir
en	PRON	en
me	PRON	me
-là	NOUN	-là
humain	ADJ	humain
entrés	VERB	entrer
sort	NOUN	sort
fus	AUX	être
encombrements	NOUN	encombrement
saisi	VERB	saisir
terre	NOUN	terre
dans	ADP	dans
ne	ADV	ne
.	PUNCT	.
ne	ADV	ne
passée	VERB	passer
il	PRON	il
.	PUNCT	.
plus	ADV	plus
longtemps	ADV	longtemps
le	DET	le
des	ADP	de
médiocrité	NOUN	médiocrité
visage	NOUN	visage
que	SCONJ	que
lier	VERB	lier
Je	PRON	je
du	ADP	de
déraison	NOUN	déraison
adressait	VERB	adresser
personne	PRON	personne
comme	ADP	comme
a	VERB	avoir
sortir	NOUN	sortir
nuit	NOUN	nuit
fait	VERB	faire
,	PUNCT	,
porte	VERB	porte
pas	ADV	pas
nue	ADJ	nu
Nous	PRON	nous
qui	PRON	qui
compromettre	VERB	compromettre
on	PRON	on
habiller	VERB	habiller
j'	PRON	je
bouger	VERB	bouger
en	ADP	en
plus	ADV	plus
veut	VERB	vouloir
,	PUNCT	,
à	ADP	à
,	PUNCT	,
de	ADP	de
comme	ADP	comme
cœur	NOUN	cœur
.	PUNCT	.
seul	ADJ	seul
une	DET	un
peine	ADV	peine
,	PUNCT	,
ses	DET	son
m'	PRON	me
ma	DET	mon
les	PRON	le
,	PUNCT	,
.	PUNCT	.
sais	VERB	savoir
condense	VERB	condense
tu	PRON	tu
C'	PRON	ce
à	ADP	à
est	VERB	être
.	PUNCT	.
elle	PRON	lui
belle	ADJ	bel
dans	ADP	dans
connaître	VERB	connaître
petite	ADJ	petit
.	PUNCT	.
de	ADP	de
ou	CCONJ	ou
ma	DET	mon
à	ADP	à
deux	NUM	deux
puis	CCONJ	puis
actes	NOUN	acte
sans	ADP	sans
presque	ADV	presque
que	SCONJ	que
