Dina	PROPN	Dina
visage	NOUN	visage
le	DET	le
Fiction	NOUN	fiction
de	ADP	de
qui	PRON	qui
1965	NUM	1965
DE	ADP	de
,	PUNCT	,
(	PUNCT	(
sera	AUX	être
traduction	NOUN	traduction
vides	ADJ	vide
quiconque	PRON	quiconque
voix	NOUN	voix
:	PUNCT	:
la	DET	le
une	DET	un
qui	PRON	qui
,	PUNCT	,
-	PROPN	-
de	ADP	de
devait	VERB	devoir
celui	PRON	celui
d'	DET	d'
amour	NOUN	amour
de	ADP	de
au	ADP	au
.	PUNCT	.
ce	DET	ce
plus	ADV	plus
terrienne	ADJ	terrien
apparitions	NOUN	apparition
jolie	ADJ	joli
sorte	NOUN	sorte
Proxima	PROPN	Proxima
Deux	NUM	Deux
«	PUNCT	«
était	AUX	être
non	ADV	non
Dina	PROPN	Dina
et	CCONJ	et
disparaît	VERB	disparaître
»	PUNCT	»
dire	VERB	dire
—	PUNCT	—
fugitif	ADJ	fugitif
où	PRON	où
The	PROPN	The
doré	ADJ	doré
Tous	ADJ	tout
nous	PRON	nous
LIBRAIRIE	NOUN	librairie
chaque	DET	chaque
l'	DET	le
:	PUNCT	:
Il	PRON	il
roues	NOUN	roue
d'	ADP	de
échapper	VERB	échapper
elle	PRON	lui
et	CCONJ	et
rien	PRON	rien
une	DET	un
,	PUNCT	,
vêtement	NOUN	vêtement
rappela	VERB	rappeler
D'	DET	d'
perçant	VERB	percer
dit	VERB	dire
seize	NUM	seize
des	DET	un
mots	NOUN	mot
flamme	NOUN	flamme
le	PRON	le
leurs	DET	leur
des	DET	un
divin	ADJ	divin
seulement	ADV	seulement
n'	ADV	n'
sans	ADP	sans
cognassier	NOUN	cognassier
,	PUNCT	,
avait	AUX	avoir
le	PRON	le
la	PRON	le
—	PUNCT	—
CHAMPS	NOUN	champ
portés	VERB	porter
en	ADP	en
que	PRON	que
ses	DET	son
peut	VERB	pouvoir
Fiction	PROPN	Fiction
Et	CCONJ	et
rien	ADV	rien
17	NUM	17
sentait	VERB	sentir
©	PROPN	©
il	PRON	il
de	ADP	de
les	DET	le
,	PUNCT	,
.	PUNCT	.
et	CCONJ	et
Et	CCONJ	et
matière	NOUN	matière
des	DET	un
Dominations	NOUN	domination
1967	NUM	1967
avec	ADP	avec
ET	CCONJ	et
LIBRAIRIE	PROPN	LIBRAIRIE
HENNEBERG	PROPN	HENNEBERG
Dina	PROPN	Dina
un	DET	un
tard	ADV	tard
une	DET	un
anciens	NOUN	ancien
sur	ADP	sur
1961	NUM	1961
En	ADP	en
mieux	ADV	mieux
petite	ADJ	petit
(	PUNCT	(
vous	PRON	vous
,	PUNCT	,
ils	PRON	il
de	ADP	de
qu'	ADV	qu'
à	ADP	à
taureau	NOUN	taureau
venus	VERB	venir
en	PRON	en
a	ADP	à
»	PUNCT	»
y	PRON	y
es	VERB	être
de	ADP	de
génisses	NOUN	génisse
les	DET	le
de	ADP	de
-	PRON	-
dangereux	ADJ	dangereux
.	PUNCT	.
contrôle	NOUN	contrôle
alors	ADV	alors
une	DET	un
était	AUX	être
)	PUNCT	)
.	PUNCT	.
.	PUNCT	.
COLÈRE	NOUN	colère
de	ADP	de
.	PUNCT	.
les	DET	le
Hérubs	NOUN	hérub
Ste	PROPN	Ste
un	DET	un
tomber	VERB	tomber
salive	NOUN	salive
se	PRON	se
fois	NOUN	fois
à	ADP	à
incident	NOUN	incident
loin	ADV	loin
Ainsi	ADV	ainsi
»	PUNCT	»
sous	ADP	sous
vue	NOUN	vue
Dans	ADP	dans
.	PUNCT	.
rien	PRON	rien
qu	PRON	que
trouvait	VERB	trouver
telles	ADJ	tel
se	PRON	se
une	DET	un
.	PUNCT	.
clair	NOUN	clair
lys	NOUN	lys
satellite	NOUN	satellite
Et	CCONJ	et
seront	AUX	être
plus	ADV	plus
crachant	VERB	cracher
des	DET	un
collection	NOUN	collection
Audace	PROPN	Audace
,	PUNCT	,
aux	ADP	à
infligeait	VERB	infliger
tombe	VERB	tombe
pétales	NOUN	pétale
son	DET	son
était	AUX	être
ineffable	ADJ	ineffable
,	PUNCT	,
Fiction	NOUN	fiction
un	DET	un
une	DET	un
faut	VERB	falloir
pas	ADV	pas
,	PUNCT	,
