enfer	NOUN	enfer
minute	NOUN	minute
dans	ADP	dans
arguments	NOUN	argument
et	CCONJ	et
cet	DET	ce
d'	ADP	de
prix	NOUN	prix
l'	DET	le
était	AUX	être
mitaines	NOUN	mitaine
L'	DET	le
mettre	VERB	mettre
acné	NOUN	acné
et	CCONJ	et
à	ADP	à
aspirine	NOUN	aspirine
toujours	ADV	toujours
les	DET	le
acharnement	NOUN	acharnement
je	PRON	je
étaient	AUX	être
avais	VERB	avoir
de	ADP	de
qui	PRON	qui
nous	PRON	nous
cicatrice	NOUN	cicatrice
.	PUNCT	.
,	PUNCT	,
les	DET	le
de	ADP	de
nous	PRON	nous
était	AUX	être
un	DET	un
,	PUNCT	,
Je	PRON	je
nouvelle	ADJ	nouveau
Je	PRON	je
diluait	VERB	diluer
démodée	ADJ	démodé
.	PUNCT	.
et	CCONJ	et
sou	DET	sou
du	ADP	de
terreur	NOUN	terreur
tenait	VERB	tenir
reflets	NOUN	reflet
se	PRON	se
fragiles	ADJ	fragile
,	PUNCT	,
aidait	VERB	aider
nous	PRON	nous
le	DET	le
social	ADJ	social
de	ADP	de
corps	NOUN	corps
de	ADP	de
pouvais	VERB	pouvoir
ce	PRON	ce
laissant	VERB	laisser
la	DET	le
de	ADP	de
.	PUNCT	.
il	PRON	il
faisaient	VERB	faire
ils	PRON	il
excipient	NOUN	excipient
nous	PRON	nous
son	DET	son
Il	PRON	il
quartier	NOUN	quartier
...	PUNCT	...
,	PUNCT	,
donnait	VERB	donner
au	ADP	au
grumeleuse	ADJ	grumeleux
,	PUNCT	,
dans	ADP	dans
.	PUNCT	.
à	ADP	à
les	DET	le
mise	NOUN	mise
qui	PRON	qui
de	ADP	de
nouveau	ADJ	nouveau
près	ADV	près
et	CCONJ	et
.	PUNCT	.
mis	VERB	mettre
ce	PRON	ce
jamais	ADV	jamais
il	PRON	il
une	DET	un
douleur	NOUN	douleur
Leur	DET	leur
.	PUNCT	.
laissait	VERB	laisser
.	PUNCT	.
le	DET	le
toute	DET	tout
me	PRON	me
L'	DET	le
Ce	PRON	ce
...	PUNCT	...
comprendre	VERB	comprendre
Sec	ADJ	sec
aspirine	NOUN	aspirine
cafards	NOUN	cafard
déchirait	VERB	déchirer
prétendait	VERB	prétendre
avec	ADP	avec
de	ADP	de
de	ADP	de
.	PUNCT	.
le	DET	le
devenu	VERB	devenir
ventilée	VERB	ventiler
sérieusement	ADV	sérieusement
plus	ADV	plus
raisonnable	ADJ	raisonnable
les	DET	le
Un	DET	un
.	PUNCT	.
et	CCONJ	et
.	PUNCT	.
demi-dalle	NOUN	demi-dalle
adresse	NOUN	adresse
il	PRON	il
je	PRON	je
juvénile	ADJ	juvénile
contre	ADP	contre
que	SCONJ	que
de	ADP	de
comprimé	NOUN	comprimé
souvenais	VERB	souvenir
des	ADP	de
mon	DET	mon
étale	ADJ	étale
en	ADP	en
étouffai	VERB	étouffer
bâtards	NOUN	bâtard
infiniment	ADV	infiniment
éloignées	ADJ	éloigné
le	DET	le
à	ADP	à
L'	DET	le
encombre	NOUN	encombre
vidé	VERB	vider
d'	ADP	de
frite	NOUN	frite
.	PUNCT	.
le	DET	le
fin	NOUN	fin
vifs	ADJ	vif
du	ADP	de
que	ADV	que
il	PRON	il
temps	NOUN	temps
douze	NUM	douze
.	PUNCT	.
fallait	VERB	falloir
nébuleuses	NOUN	nébuleuse
,	PUNCT	,
elle	PRON	lui
ne	ADV	ne
qu'	SCONJ	que
visage	NOUN	visage
Saison	NOUN	saison
pour	ADP	pour
année	NOUN	année
cratère	NOUN	cratère
,	PUNCT	,
de	ADP	de
plaques	NOUN	plaque
.	PUNCT	.
avait	AUX	avoir
lâchai	VERB	lâcher
avais	AUX	avoir
avaient	AUX	avoir
Singe	PROPN	Singe
de	ADP	de
pas	ADV	pas
la	DET	le
été	NOUN	été
nuit	NOUN	nuit
sûrement	ADV	sûrement
domestique	ADJ	domestique
Cramponné	VERB	cramponner
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
de	ADP	de
...	PUNCT	...
?	PUNCT	?
la	DET	le
.	PUNCT	.
les	DET	le
sauvé	VERB	sauver
mat	ADJ	mat
blattes	NOUN	blatte
,	PUNCT	,
.	PUNCT	.
me	PRON	me
perdus	VERB	perdre
La	DET	le
.	NUM	.
s'	PRON	se
