a	VERB	avoir
à	ADP	à
Un	DET	un
le	PRON	le
,	PUNCT	,
,	PUNCT	,
me	PRON	me
de	ADP	de
a	AUX	avoir
entrouvre	VERB	entrouvrir
on	PRON	on
occasions	NOUN	occasion
les	DET	le
les	DET	le
d'	ADP	de
l'	PRON	l'
changer	VERB	changer
d'	ADP	de
,	PUNCT	,
yeux	NOUN	oeil
longue	ADJ	long
trop	ADV	trop
de	ADP	de
:	PUNCT	:
lunettes	NOUN	lunette
!	PUNCT	!
lui	PRON	lui
mes	DET	mon
c'	PRON	ce
trois	NUM	trois
on	PRON	on
l'	DET	le
fit	VERB	faire
je	PRON	je
suis	AUX	être
ai	AUX	avoir
sur	ADP	sur
je	PRON	je
sans	ADP	sans
sa	DET	son
chaise	NOUN	chaise
je	PRON	je
la	DET	le
est	AUX	être
moi	PRON	moi
Georges	PROPN	Georges
ailleurs	ADV	ailleurs
C'	PRON	ce
fenêtre	NOUN	fenêtre
reste	NOUN	reste
ma	DET	mon
(	PUNCT	(
poétique	ADJ	poétique
même	ADV	même
Ma	DET	mon
toujours	ADV	toujours
le	DET	le
,	PUNCT	,
ça	PRON	cela
me	PRON	me
et	CCONJ	et
il	PRON	il
jamais	ADV	jamais
tranquillité	NOUN	tranquillité
,	PUNCT	,
ce	DET	ce
J'	PRON	je
aime	VERB	aime
mois	NOUN	mois
Mais	CCONJ	mais
de	ADP	de
iceberg	NOUN	iceberg
se	PRON	se
convenu	VERB	convenir
la	DET	le
un	DET	un
détails	NOUN	détail
considère	VERB	considérer
la	DET	le
peu	ADV	peu
n'	ADV	n'
à	ADP	à
Les	DET	le
le	DET	le
amie	NOUN	amie
avait	VERB	avoir
.	PUNCT	.
papier	NOUN	papier
un	DET	un
demie	NOUN	demie
ne	ADV	ne
je	PRON	je
revins	VERB	revenir
,	PUNCT	,
.	PUNCT	.
délicieuse	ADJ	délicieux
pour	ADP	pour
.	PUNCT	.
!	PUNCT	!
à	ADP	à
aussi	ADV	aussi
exprès	ADV	exprès
yeux	NOUN	oeil
est	AUX	être
flotte	VERB	flotte
désigne	VERB	désigne
avec	ADP	avec
-là	NOUN	-là
sur	ADP	sur
Mais	CCONJ	mais
coupés	VERB	couper
abordais	VERB	aborder
à	ADP	à
qu'	PRON	qu'
quelque	DET	quelque
penser	VERB	penser
nous	PRON	nous
,	PUNCT	,
,	PUNCT	,
d'	ADP	de
dit	VERB	dire
le	DET	le
moi	PRON	moi
tendance	NOUN	tendance
venais	VERB	venir
vie	NOUN	vie
vous	PRON	vous
juger	VERB	juger
.	PUNCT	.
fut	AUX	être
pour	ADP	pour
-	PUNCT	-
-	PUNCT	-
.	PUNCT	.
a.	VERB	a.
elle	PRON	lui
pas	NOUN	pas
Un	DET	un
villa	NOUN	villa
plaindre	VERB	plaindre
inspiration	NOUN	inspiration
end	NOUN	end
ses	DET	son
image	NOUN	image
lui	PRON	lui
entre	ADP	entre
en	ADP	en
rouges	ADJ	rouge
faire	VERB	faire
On	PRON	on
Tout	ADV	tout
d'	ADP	de
et	CCONJ	et
renfermée	VERB	renfermer
elle	PRON	lui
.	PUNCT	.
nuque	NOUN	nuque
Oui	ADV	oui
.	PUNCT	.
là	ADV	là
je	PRON	je
Derrière	ADP	derrière
regards	NOUN	regard
mouchoir	NOUN	mouchoir
on	PRON	on
voulais	VERB	vouloir
,	PUNCT	,
que	SCONJ	que
pas	ADV	pas
.	PUNCT	.
retiens	VERB	retenir
la	DET	le
main	NOUN	main
.	PUNCT	.
à	ADP	à
charmante	ADJ	charmant
hâtaient	VERB	hâter
pas	ADV	pas
doit	VERB	devoir
.	PUNCT	.
noires	ADJ	noir
expliquer	VERB	expliquer
n'	ADV	n'
éplorée	VERB	éplorer
faut	VERB	falloir
dire	VERB	dire
les	DET	le
vue	NOUN	vue
-	PUNCT	-
.	PUNCT	.
m'	PRON	me
sa	DET	son
Or	CCONJ	or
fait	VERB	faire
en	ADP	en
assez	ADV	assez
dans	ADP	dans
presque	ADV	presque
-	PUNCT	-
:	PUNCT	:
les	DET	le
n'	ADV	n'
invités	VERB	inviter
une	DET	un
faire	VERB	faire
le	DET	le
début	NOUN	début
Mais	CCONJ	mais
me	PRON	me
les	PRON	le
sûre	ADJ	sûr
délicieux	ADJ	délicieux
est	AUX	être
n'	ADV	n'
Je	PRON	je
sans	ADP	sans
ne	ADV	ne
elle	PRON	lui
du	ADP	de
je	PRON	je
Oh	INTJ	Oh
mon	DET	mon
arrêtaient	VERB	arrêter
elle	PRON	lui
par	ADP	par
ni	CCONJ	ni
s'	PRON	se
,	PUNCT	,
pas	ADV	pas
bouquet	NOUN	bouquet
de	ADP	de
.	PUNCT	.
sans	ADP	sans
si	ADV	si
air	NOUN	air
si	SCONJ	si
de	ADP	de
je	PRON	je
!	PUNCT	!
elle	PRON	lui
et	CCONJ	et
importance	NOUN	importance
un	DET	un
.	PUNCT	.
pas	ADV	pas
ne	ADV	ne
du	ADP	de
petits	ADJ	petit
lui	PRON	lui
elle	PRON	lui
.	PUNCT	.
lesquelles	PRON	lequel
était	AUX	être
Or	CCONJ	or
charmant	ADJ	charmant
J'	PRON	je
extérioriser	VERB	extérioriser
les	DET	le
délicieux	ADJ	délicieux
:	PUNCT	:
cette	DET	ce
les	DET	le
,	PUNCT	,
me	PRON	me
yeux	NOUN	oeil
refermé	VERB	refermer
par	ADP	par
rares	ADJ	rare
.	PUNCT	.
le	DET	le
d'	ADP	de
ami	NOUN	ami
de	ADP	de
le	DET	le
seul	ADJ	seul
Je	PRON	je
immergé	VERB	immerger
Jamais	ADV	jamais
il	PRON	il
)	PUNCT	)
.	PUNCT	.
.	PUNCT	.
Je	PRON	je
faisait	VERB	faire
avait	VERB	avoir
,	PUNCT	,
évidemment	ADV	évidemment
:	PUNCT	:
rôde	VERB	rôde
jardin	NOUN	jardin
convenances	NOUN	convenance
:	PUNCT	:
d'	ADP	de
Georges	PROPN	Georges
Quand	SCONJ	quand
dans	ADP	dans
,	PUNCT	,
qui	PRON	qui
ils	PRON	il
l'	DET	le
à	ADP	à
soupçonné	VERB	soupçonner
suis	AUX	être
preuve	NOUN	preuve
autre	PRON	autre
agacent	VERB	agacer
étire	VERB	étire
.	PUNCT	.
-je	PRON	je
jetaient	VERB	jeter
réguliers	ADJ	régulier
je	PRON	je
pardon	NOUN	pardon
pas	ADV	pas
être	AUX	être
replié	VERB	replier
yeux	NOUN	oeil
!	PUNCT	!
week	NOUN	week
ma	DET	mon
-il	PRON	il
fait	VERB	faire
visibles	ADJ	visible
la	DET	le
les	DET	le
,	PUNCT	,
:	PUNCT	:
rencontré	VERB	rencontrer
Irène	PROPN	Irène
ça	PRON	cela
pas	ADV	pas
Au	ADP	au
un	DET	un
intentions	NOUN	intention
quoi	PRON	quoi
Quelle	DET	quel
aurais	AUX	avoir
heures	NOUN	heure
regarder	VERB	regarder
,	PUNCT	,
fini	ADJ	fini
,	PUNCT	,
,	PUNCT	,
je	PRON	je
l'	PRON	l'
pourrait	VERB	pouvoir
peu	NOUN	peu
de	ADP	de
sautais	VERB	sauter
très	ADV	très
,	PUNCT	,
,	PUNCT	,
pas	ADV	pas
que	SCONJ	que
et	CCONJ	et
ailleurs	ADV	ailleurs
simplement	ADV	simplement
tous	ADJ	tout
croirait	VERB	croire
à	ADP	à
pas	NOUN	pas
,	PUNCT	,
demandant	VERB	demander
parc	NOUN	parc
Je	PRON	je
Je	PRON	je
on	PRON	on
,	PUNCT	,
Il	PRON	il
,	PUNCT	,
loin	ADV	loin
Elle	PRON	lui
regarde	VERB	regarde
lui	PRON	lui
fille	NOUN	fille
par	ADP	par
.	PUNCT	.
le	DET	le
en	ADP	en
un	DET	un
?	PUNCT	?
je	PRON	je
sur	ADP	sur
visage	NOUN	visage
Je	PRON	je
mariage	NOUN	mariage
qu'	SCONJ	que
ne	ADV	ne
d'	ADP	de
dit	VERB	dire
tué	VERB	tuer
farde	VERB	farde
sais	VERB	savoir
dernier	ADJ	dernier
mais	CCONJ	mais
ce	PRON	ce
,	PUNCT	,
,	PUNCT	,
ni	CCONJ	ni
chaleur	NOUN	chaleur
cause	NOUN	cause
