réseau	NOUN	réseau
et	CCONJ	et
les	DET	le
A	ADP	à
azimuts	NOUN	azimut
sortait	VERB	sortir
coquille	NOUN	coquille
l'	DET	le
des	DET	un
.	PUNCT	.
plus	ADV	plus
,	PUNCT	,
Phaseur	NOUN	phaseur
d'	ADP	de
s'	PRON	se
semblait	VERB	sembler
pellicule	NOUN	pellicule
jusqu'	ADP	jusque
plus	ADV	plus
étant	AUX	être
de	ADP	de
,	PUNCT	,
Dans	ADP	dans
l'	DET	le
,	PUNCT	,
des	DET	un
directement	ADV	directement
réputation	NOUN	réputation
parenthèse	NOUN	parenthèse
naoli	NOUN	naoli
certains	DET	certain
sinueuse	ADJ	sinueux
les	DET	le
est	ADV	est
En	ADP	en
cerveau	NOUN	cerveau
du	ADP	de
du	ADP	de
à	ADP	à
écailleux	ADJ	écailleux
organique	ADJ	organique
la	DET	le
pas	ADV	pas
de	ADP	de
-	NOUN	-
dans	ADP	dans
n'	ADV	n'
parlent	VERB	parler
dangereux	ADJ	dangereux
ambre	NOUN	ambre
à	ADV	à
le	DET	le
aiguilles	NOUN	aiguille
sensorielle	ADJ	sensoriel
ou	CCONJ	ou
réaction	NOUN	réaction
heure	NOUN	heure
il	PRON	il
par	ADP	par
d'	ADP	de
rues	NOUN	rue
hommes	NOUN	homme
toutes	ADJ	tout
.	PUNCT	.
parmi	ADP	parmi
sommeil	NOUN	sommeil
de	ADP	de
cet	DET	ce
circule	VERB	circule
système	NOUN	système
drogues	NOUN	drogue
indéfectible	ADJ	indéfectible
est	AUX	être
de	ADP	de
enveloppe	NOUN	enveloppe
,	PUNCT	,
jouir	VERB	jouir
de	ADP	de
aucun	DET	aucun
selon	ADP	selon
,	PUNCT	,
par	ADP	par
de	ADP	de
propagande	NOUN	propagande
la	DET	le
,	PUNCT	,
signal	NOUN	signal
son	DET	son
tristes	ADJ	triste
froid	NOUN	froid
pût	VERB	pouvoir
avec	ADP	avec
mal	ADV	mal
des	ADP	de
ce	DET	ce
cerveau	NOUN	cerveau
sinon	ADV	sinon
meurent	VERB	mourir
des	ADP	de
;	PUNCT	;
à	ADP	à
état	NOUN	état
la	DET	le
du	ADP	de
leur	DET	leur
le	DET	le
A	ADP	à
le	DET	le
de	ADP	de
qu'	SCONJ	que
néant	NOUN	néant
alarme	NOUN	alarme
son	DET	son
rude	ADJ	rude
les	PRON	le
des	DET	un
aux	ADP	à
Seuls	ADJ	seul
d'	ADP	de
et	CCONJ	et
existait	VERB	exister
ses	DET	son
futur	ADJ	futur
par	ADP	par
danger	NOUN	danger
naoli	NOUN	naoli
interprétées	VERB	interpréter
On	PRON	on
mille	NUM	mille
du	ADP	de
se	PRON	se
colorées	ADJ	coloré
histoires	NOUN	histoire
troisième	ADJ	troisième
de	ADP	de
,	PUNCT	,
pour	ADP	pour
Hulann	PROPN	Hulann
ténèbres	NOUN	ténèbre
état	NOUN	état
qui	PRON	qui
sujet	NOUN	sujet
dans	ADP	dans
.	PUNCT	.
est	ADV	est
naoli	NOUN	naoli
par	ADP	par
mort	NOUN	mort
Leur	DET	leur
qui	PRON	qui
à	ADP	à
naoli	NOUN	naoli
à	ADP	à
Il	PRON	il
d'	ADP	de
,	PUNCT	,
son	DET	son
un	DET	un
certaine	ADJ	certain
chercher	VERB	chercher
suggestion	NOUN	suggestion
de	ADP	de
conscient	ADJ	conscient
.	PUNCT	.
agréable	ADJ	agréable
doucement	ADV	doucement
,	PUNCT	,
à	ADP	à
le	DET	le
fréquente	ADJ	fréquent
se	PRON	se
-là	NOUN	-là
étendus	ADJ	étendu
d'	ADP	de
innombrables	ADJ	innombrable
qu'	PRON	qu'
.	PUNCT	.
synapses	NOUN	synapse
les	DET	le
sombres	ADJ	sombre
les	DET	le
neutralisation	NOUN	neutralisation
,	PUNCT	,
jusqu'	ADP	jusque
réveil	NOUN	réveil
des	ADP	de
d'	ADP	de
il	PRON	il
épreuve	NOUN	épreuve
nuit	NOUN	nuit
éventualité	NOUN	éventualité
dire	ADV	dire
compris	ADJ	compris
centres	NOUN	centre
parfois	ADV	parfois
de	ADP	de
de	ADP	de
,	PUNCT	,
enfant	NOUN	enfant
cinquantaine	NOUN	cinquantaine
complet	ADJ	complet
l'	DET	le
peu	ADV	peu
de	ADP	de
un	DET	un
inconscients	ADJ	inconscient
intermédiaire	NOUN	intermédiaire
drogues	NOUN	drogue
d'	ADP	de
naoli	NOUN	naoli
—	PUNCT	—
ainsi	ADV	ainsi
l'	DET	le
point	NOUN	point
néant	NOUN	néant
de	ADP	de
est	AUX	être
-	ADV	-
aspect	NOUN	aspect
raides	ADJ	raide
de	ADP	de
obscurité	NOUN	obscurité
Une	DET	un
,	PUNCT	,
souhaitée	VERB	souhaiter
d'	ADP	de
reposait	VERB	reposer
de	ADP	de
que	ADV	que
de	ADP	de
une	DET	un
dormait	VERB	dormir
des	DET	un
phasé	NOUN	phasé
central	ADJ	central
Hulann	PROPN	Hulann
lui-même	PRON	lui-même
est	AUX	être
dont	PRON	dont
rouge	NOUN	rouge
loue	VERB	loue
ici	ADV	ici
peau	NOUN	peau
La	DET	le
,	PUNCT	,
,	PUNCT	,
néant	NOUN	néant
turbulents	ADJ	turbulent
occultait	VERB	occulter
ce	DET	ce
pour	ADP	pour
.	PUNCT	.
hors	ADP	hors
sans	ADP	sans
et	CCONJ	et
par	ADP	par
,	PUNCT	,
Hulann	PROPN	Hulann
car	CCONJ	car
.	PUNCT	.
alcool	NOUN	alcool
le	DET	le
comme	ADP	comme
Centre	NOUN	centre
le	DET	le
esprit	NOUN	esprit
naoli	NOUN	naoli
un	DET	un
témoins	NOUN	témoin
éloignait	VERB	éloigner
encore	ADV	encore
»	PUNCT	»
de	ADP	de
se	PRON	se
toilettes	NOUN	toilette
l'	DET	le
milliers	NOUN	millier
n'	ADV	n'
provoquer	VERB	provoquer
.	PUNCT	.
moins	ADV	moins
sa	DET	son
de	ADP	de
le	DET	le
dernière	ADJ	dernier
amusent	VERB	amuser
,	PUNCT	,
ou	CCONJ	ou
-	PROPN	-
grésillant	VERB	grésiller
le	DET	le
(	PUNCT	(
le	DET	le
plus	ADV	plus
réveil	NOUN	réveil
seule	ADJ	seul
système	NOUN	système
de	ADP	de
dont	PRON	dont
jungle	NOUN	jungle
dans	ADP	dans
rêve	NOUN	rêve
du	ADP	de
douloureux	ADJ	douloureux
au	ADP	au
-	NOUN	-
ces	DET	ce
conditionnement	NOUN	conditionnement
et	CCONJ	et
méthode	NOUN	méthode
avançait	VERB	avancer
race	NOUN	race
danger	NOUN	danger
ils	PRON	il
réveille	VERB	réveille
il	PRON	il
son	DET	son
impression	NOUN	impression
aspect	NOUN	aspect
préférentiel	ADJ	préférentiel
,	PUNCT	,
les	DET	le
puis	CCONJ	puis
sans	ADP	sans
,	PUNCT	,
donc	ADV	donc
.	PUNCT	.
seconde	ADJ	second
lorsque	SCONJ	lorsque
d'	ADP	de
et	CCONJ	et
jeu	NOUN	jeu
réfugier	VERB	réfugier
dans	ADP	dans
un	DET	un
l'	DET	le
clowns	NOUN	clown
.	PUNCT	.
de	ADP	de
soleil	NOUN	soleil
veille	NOUN	veille
circuit	NOUN	circuit
galaxie	NOUN	galaxie
cette	DET	ce
la	DET	le
d'	ADP	de
pas	ADV	pas
un	DET	un
l'	DET	le
la	DET	le
un	DET	un
terne	ADJ	terne
mondes	NOUN	monde
.astroports	NOUN	.astroport
sensation	NOUN	sensation
à	ADP	à
livrent	VERB	livrer
,	PUNCT	,
et	CCONJ	et
ceux	PRON	celui
jambes	NOUN	jambe
parmi	ADP	parmi
les	DET	le
dames	NOUN	dame
suresprit	NOUN	suresprit
pains	NOUN	pain
ou	CCONJ	ou
contre	NOUN	contre
Seulement^	PUNCT	seulement^
...	PUNCT	...
dans	ADP	dans
le	DET	le
rais	NOUN	rai
matin	NOUN	matin
les	PRON	le
de	ADP	de
de	ADP	de
propre	NOUN	propre
plus	ADV	plus
enfin	ADV	enfin
lieu	NOUN	lieu
qu'	SCONJ	que
ils	PRON	il
.	PUNCT	.
-	ADV	-
s'	PRON	se
alors	ADV	alors
:	PUNCT	:
s'	PRON	se
transmettre	VERB	transmettre
archéologue	NOUN	archéologue
:	PUNCT	:
signal	NOUN	signal
et	CCONJ	et
cerveau	NOUN	cerveau
et	CCONJ	et
que	SCONJ	que
le	PRON	le
moment	NOUN	moment
maintenant	ADV	maintenant
d'	ADP	de
bruissant	ADJ	bruissant
piste	NOUN	piste
moins	ADV	moins
autres	ADJ	autre
une	DET	un
venait	VERB	venir
réputation	NOUN	réputation
ce	DET	ce
,	PUNCT	,
d'	ADP	de
.	PUNCT	.
désagréable	ADJ	désagréable
Toutes	ADJ	tout
dans	ADP	dans
langue	NOUN	langue
avant	ADP	avant
méthode	NOUN	méthode
retour	NOUN	retour
mémoire	NOUN	mémoire
relief	NOUN	relief
suresprit	NOUN	suresprit
Si	SCONJ	si
où	ADV	où
n'	ADV	n'
réfléchir	VERB	réfléchir
insolites	ADJ	insolite
grosses	ADJ	gros
s'	PRON	se
gainée	VERB	gainer
de	ADP	de
utilisés	VERB	utiliser
pour	ADP	pour
autres	ADJ	autre
certains	PRON	certains
aux	ADP	à
certes	ADV	certes
et	CCONJ	et
ailleurs	ADV	ailleurs
.	PUNCT	.
avec	ADP	avec
boivent	VERB	boire
au	ADP	au
muqueux	ADJ	muqueux
d'	ADP	de
récits	NOUN	récit
chaque	DET	chaque
la	DET	le
du	ADP	de
Ce	DET	ce
branches	NOUN	branche
dernier	ADJ	dernier
douces	ADJ	doux
d'	ADP	de
sa	DET	son
de	ADP	de
dormait	VERB	dormir
refuge	NOUN	refuge
à	ADP	à
ébranlait	VERB	ébranler
ou	CCONJ	ou
passé	ADP	passé
physique	ADJ	physique
,	PUNCT	,
les	DET	le
avec	ADP	avec
mort	NOUN	mort
.	PUNCT	.
ils	PRON	il
par	ADP	par
suresprit	NOUN	suresprit
s'	PRON	se
de	ADP	de
entrelacs	NOUN	entrelacs
laquelle	PRON	lequel
est	AUX	être
surface	NOUN	surface
un	DET	un
tourné	VERB	tourner
et	CCONJ	et
léthargie	NOUN	léthargie
tandis	ADV	tandis
déclenchement	NOUN	déclenchement
période	NOUN	période
Mais	CCONJ	mais
de	ADP	de
cœur	NOUN	cœur
en	ADP	en
Les	DET	le
.	PUNCT	.
les	PRON	le
de	ADP	de
qui	PRON	qui
alcool	NOUN	alcool
transmises	VERB	transmettre
dont	PRON	dont
urgent	ADJ	urgent
un	DET	un
torrent	NOUN	torrent
palmures	NOUN	palmure
les	DET	le
se	PRON	se
déverrouillait	VERB	déverrouiller
causés	VERB	causer
moins	ADV	moins
cellules	NOUN	cellule
,	PUNCT	,
affaire	NOUN	affaire
-	NOUN	-
«	PUNCT	«
Centre	PROPN	Centre
de	ADP	de
d'	ADP	de
épaisse	ADJ	épais
le	DET	le
pour	ADP	pour
mettant	VERB	mettre
synonyme	ADJ	synonyme
,	PUNCT	,
aspect	NOUN	aspect
.	PUNCT	.
reprit	VERB	reprendre
tous	ADJ	tout
défectueux	ADJ	défectueux
douces	ADJ	doux
épais	ADJ	épais
,	PUNCT	,
pour	ADP	pour
,	PUNCT	,
des	DET	un
anecdotes	NOUN	anecdote
dit	VERB	dire
Dans	ADP	dans
le	DET	le
réservées	VERB	réserver
ils	PRON	il
message	NOUN	message
où	PRON	où
non	ADV	non
douteuse	ADJ	douteux
annoncer	VERB	annoncer
Si	SCONJ	si
.	PUNCT	.
permettaient	VERB	permettre
n'	ADV	n'
abolie	VERB	abolir
,	PUNCT	,
alarme	NOUN	alarme
naoli	PROPN	naoli
,	PUNCT	,
.	PUNCT	.
déconnecter	VERB	déconnecter
sur	ADP	sur
se	PRON	se
clients	NOUN	client
de	ADP	de
