.	PUNCT	.
Bill	PROPN	Bill
qui	PRON	qui
sa	DET	son
.	PUNCT	.
j'	PRON	je
.	PUNCT	.
essences	NOUN	essence
se	PRON	se
première	ADJ	premier
à	ADP	à
heures	NOUN	heure
»	PUNCT	»
appelle	VERB	appeler
appel	NOUN	appel
cheveux	NOUN	cheveu
que	SCONJ	que
couleurs	NOUN	couleur
Norwood	PROPN	Norwood
,	PUNCT	,
un	DET	un
montagnes	NOUN	montagne
la	DET	le
n'	ADV	n'
me	PRON	me
forêts	NOUN	forêt
,	PUNCT	,
remuer	VERB	remuer
indiqué	VERB	indiquer
de	ADP	de
côtés	NOUN	côté
qui	PRON	qui
derrière	ADP	derrière
ne	ADV	ne
auto-stop	NOUN	auto-stop
l'	DET	le
je	PRON	je
avais	AUX	avoir
homme	NOUN	homme
Ouest	NOUN	ouest
appel	NOUN	appel
son	DET	son
scène	NOUN	scène
ce	DET	ce
m'	PRON	me
summer	NOUN	summer
ouvert	ADJ	ouvert
fourneau	NOUN	fourneau
camionnette	NOUN	camionnette
et	CCONJ	et
apparaître	VERB	apparaître
chasseurs	NOUN	chasseur
un	DET	un
aucune	DET	aucun
ne	ADV	ne
.	PUNCT	.
.	PUNCT	.
ne	ADV	ne
:	PUNCT	:
ordonné	ADJ	ordonner
;	PUNCT	;
ça	PRON	cela
du	ADP	de
:	PUNCT	:
vert	NOUN	vert
et	CCONJ	et
ni	CCONJ	ni
premières	ADJ	premier
été	AUX	être
trois	NUM	trois
sait	VERB	savoir
tâche	NOUN	tâche
Ce	PRON	ce
Amérique	PROPN	Amérique
Ouest	PROPN	Ouest
...	PUNCT	...
cette	DET	ce
ordre	NOUN	ordre
cœur	NOUN	cœur
stupéfaction	NOUN	stupéfaction
une	DET	un
brûler	VERB	brûler
à	ADP	à
!	PUNCT	!
moi	PRON	moi
brique	NOUN	brique
retrouvés	VERB	retrouver
lourd	ADJ	lourd
talk	X	talk
à	ADP	à
un	DET	un
.	PUNCT	.
à	ADP	à
,	PUNCT	,
se	PRON	se
de	ADP	de
brusques	ADJ	brusque
,	PUNCT	,
-	ADV	-
,	PUNCT	,
gagner	VERB	gagner
posée	VERB	poser
empreints	VERB	empreindre
seule	ADJ	seul
pas	ADV	pas
menthol	NOUN	menthol
d'	ADP	de
consacrer	VERB	consacrer
les	DET	le
limite	NOUN	limite
part	NOUN	part
demandé	VERB	demander
terrain	NOUN	terrain
un	DET	un
Norwood	PROPN	Norwood
prononcé	VERB	prononcer
,	PUNCT	,
qu'	PRON	qu'
me	PRON	me
.	PUNCT	.
Je	PRON	je
convocation	NOUN	convocation
avait	AUX	avoir
que	SCONJ	que
véritablement	ADV	véritablement
PROLOGUE	NOUN	prologue
sur	ADP	sur
.	PUNCT	.
un	DET	un
grondement	NOUN	grondement
petites	ADJ	petit
en	ADP	en
musique	NOUN	musique
samedi	NOUN	samedi
silence	NOUN	silence
.	PUNCT	.
joues	NOUN	joue
vivre	VERB	vivre
ne	ADV	ne
tout	ADJ	tout
avait	AUX	avoir
connue	VERB	connaître
forêt	NOUN	forêt
un	DET	un
ce	PRON	ce
collège	NOUN	collège
européenne	ADJ	européen
aux	ADP	à
les	DET	le
qui	PRON	qui
s'	PRON	se
cet	DET	ce
ai	AUX	avoir
travail	NOUN	travail
voix	NOUN	voix
lisant	VERB	lire
au	ADP	au
parlaient	VERB	parler
de	ADP	de
,	PUNCT	,
arrivait	VERB	arriver
d'	ADP	de
que	PRON	que
la	DET	le
haut	ADJ	haut
J'	PRON	je
minute	NOUN	minute
la	DET	le
préface	NOUN	préface
vie	NOUN	vie
ces	DET	ce
soumis	VERB	soumettre
suffit	VERB	suffire
que	ADV	que
initiation	NOUN	initiation
l'	DET	le
avait	AUX	avoir
tard	ADV	tard
,	PUNCT	,
le	DET	le
Prairie	PROPN	Prairie
les	DET	le
de	ADP	de
Vous	PRON	vous
Gentil	ADJ	gentil
milieu	NOUN	milieu
qui	PRON	qui
recherche	NOUN	recherche
vous	PRON	vous
pas	ADV	pas
vraie	ADJ	vrai
Comment	ADV	comment
en	ADP	en
regard	NOUN	regard
-il	PRON	il
ne	ADV	ne
voilà	VERB	voilà
Service	X	Service
que	PRON	que
au	ADP	au
traversée	NOUN	traversée
souviens	VERB	souvenir
à	ADP	à
,	PUNCT	,
La	DET	le
cinq	NUM	cinq
il	PRON	il
ai	AUX	avoir
Comment	ADV	comment
Sud	NOUN	sud
-	PUNCT	-
,	PUNCT	,
curieusement	ADV	curieusement
de	ADP	de
arrivé	VERB	arriver
cette	DET	ce
du	ADP	de
L'	DET	le
précisément	ADV	précisément
était	AUX	être
une	DET	un
longue	ADJ	long
,	PUNCT	,
présenter	VERB	présenter
des	ADP	de
mœurs	NOUN	mœur
du	ADP	de
ocre	ADJ	ocre
leur	DET	leur
jeune	ADJ	jeune
bleu	ADJ	bleu
la	DET	le
je	PRON	je
mon	DET	mon
castor	NOUN	castor
visage	NOUN	visage
cette	DET	ce
arbres	NOUN	arbre
si	SCONJ	si
.	PUNCT	.
Convaincu	VERB	convaincre
les	DET	le
Mack	PROPN	Mack
avais	AUX	avoir
qui	PRON	qui
certaine	ADJ	certain
un	DET	un
avez	AUX	avoir
d'	ADP	de
avaient	AUX	avoir
plus	ADV	plus
de	ADP	de
de	ADP	de
et	CCONJ	et
je	PRON	je
avait	AUX	avoir
retrouver	VERB	retrouver
truck	NOUN	truck
dans	ADP	dans
que	SCONJ	que
de	DET	de
fille	NOUN	fille
avais	AUX	avoir
qu'	SCONJ	que
seuil	NOUN	seuil
de	ADP	de
me	PRON	me
rapidement	ADV	rapidement
Ouest	NOUN	ouest
m'	PRON	me
me	PRON	me
,	PUNCT	,
pas	ADV	pas
être	AUX	être
de	ADP	de
mes	DET	mon
«	PUNCT	«
quoi	PRON	quoi
pense	VERB	pense
,	PUNCT	,
,	PUNCT	,
enivrer	VERB	enivrer
,	PUNCT	,
,	PUNCT	,
du	ADP	de
,	PUNCT	,
de	ADP	de
un	DET	un
qui	PRON	qui
océan	NOUN	océan
,	PUNCT	,
me	PRON	me
maintenant	ADV	maintenant
dicton	NOUN	dicton
m'	PRON	me
.	PUNCT	.
grand	ADJ	grand
et	CCONJ	et
