marron	NOUN	marron
de	ADP	de
,	PUNCT	,
au	ADP	au
de	ADP	de
on	PRON	on
menu	ADJ	menu
impalpables	ADJ	impalpable
Buck	PROPN	Buck
habillait	VERB	habiller
du	ADP	de
ai	AUX	avoir
visages	NOUN	visage
de	ADP	de
le	DET	le
on	PRON	on
est	AUX	être
était	AUX	être
faisait	VERB	faire
,	PUNCT	,
!	PUNCT	!
.	PUNCT	.
faire	VERB	faire
prénoms	NOUN	prénom
musique	NOUN	musique
noires	ADJ	noir
réalité	NOUN	réalité
:	PUNCT	:
ses	DET	son
pas	ADV	pas
Buck	PROPN	Buck
:	PUNCT	:
beige	ADJ	beige
laiteuse	ADJ	laiteux
rouges	ADJ	rouge
où	ADV	où
est	AUX	être
deux	NUM	deux
été	NOUN	été
Il	PRON	il
collège	NOUN	collège
tous	ADJ	tout
prénom	NOUN	prénom
mangeaient	VERB	manger
aucune	DET	aucun
portaient	VERB	porter
début	NOUN	début
,	PUNCT	,
,	PUNCT	,
presque	ADV	presque
jacketà	PROPN	jacketà
son	DET	son
sur	ADP	sur
des	ADP	de
.	PUNCT	.
toile	NOUN	toile
,	PUNCT	,
un	DET	un
pantalon	NOUN	pantalon
ans	NOUN	an
une	DET	un
De	ADP	de
état	NOUN	état
fait	VERB	faire
uniforme	NOUN	uniforme
faisaient	AUX	faire
boy	X	boy
ont	AUX	avoir
de	ADP	de
faire	VERB	faire
lit	NOUN	lit
que	SCONJ	que
avec	ADP	avec
vert	ADJ	vert
,	PUNCT	,
correctes	ADJ	correct
du	ADP	de
marron	ADJ	marron
plus	ADV	plus
,	PUNCT	,
freshmen	NOUN	freshmen
autres	ADJ	autre
ça	PRON	cela
m'	PRON	me
Tellement	ADV	tellement
vallons	NOUN	vallon
a	AUX	avoir
étudiants	NOUN	étudiant
Sud	NOUN	sud
hèle	VERB	héler
mais	CCONJ	mais
long	ADJ	long
dans	ADP	dans
foyer	NOUN	foyer
dorm	X	dorm
.	PUNCT	.
de	ADP	de
ils	PRON	il
imperceptiblement	ADV	imperceptiblement
assez	ADV	assez
toute	ADJ	tout
,	PUNCT	,
à	ADP	à
étaient	AUX	être
,	PUNCT	,
de	ADP	de
:	PUNCT	:
de	ADP	de
style	NOUN	style
plongé	VERB	plonger
vouloir	VERB	vouloir
pantalon	NOUN	pantalon
dentures	NOUN	denture
,	PUNCT	,
,	PUNCT	,
irréelles	ADJ	irréel
mais	CCONJ	mais
milieu	NOUN	milieu
de	ADP	de
.	PUNCT	.
qu'	SCONJ	que
société	NOUN	société
la	DET	le
ça	PRON	cela
était	AUX	être
,	PUNCT	,
,	PUNCT	,
de	ADP	de
les	DET	le
ans	NOUN	an
voir	VERB	voir
les	DET	le
imprimés	VERB	imprimer
une	DET	un
du	ADP	de
au	ADP	au
dans	ADP	dans
nez	NOUN	nez
à	ADP	à
.	PUNCT	.
être	AUX	être
clair	ADJ	clair
ne	ADV	ne
gentleman	NOUN	gentleman
avait	AUX	avoir
siècle	NOUN	siècle
la	DET	le
il	PRON	il
au	ADP	au
mon	DET	mon
coup	NOUN	coup
papier	NOUN	papier
cuir	NOUN	cuir
bien	ADV	bien
isolé	VERB	isoler
l'	DET	le
creuse	ADJ	creux
n'	ADV	n'
ce	DET	ce
la	DET	le
m'	PRON	me
,	PUNCT	,
épaisse	ADJ	épais
chœurs	NOUN	chœur
sous	ADP	sous
.	PUNCT	.
maisons	NOUN	maison
la	DET	le
,	PUNCT	,
automne	NOUN	automne
tweed	NOUN	tweed
ivre	ADJ	ivre
avoir	VERB	avoir
.	PUNCT	.
rangée	NOUN	rangée
rayures	NOUN	rayure
Balford	PROPN	Balford
là	ADV	là
appeler	VERB	appeler
En	ADP	en
s'	PRON	se
Sud	NOUN	sud
de	ADP	de
les	DET	le
dès	ADP	dès
immédiatement	ADV	immédiatement
col	NOUN	col
auriez	AUX	avoir
l'	DET	le
l'	DET	le
villes	NOUN	ville
,	PUNCT	,
timbre	NOUN	timbre
Cinquante	NUM	Cinquante
.	PUNCT	.
.	PUNCT	.
est	AUX	être
.	PUNCT	.
sertie	VERB	sertir
pour	ADP	pour
banque	NOUN	banque
corps	NOUN	corps
seul	ADJ	seul
éclat	NOUN	éclat
,	PUNCT	,
à	ADP	à
sien	PROPN	sien
règle	NOUN	règle
les	DET	le
j'	PRON	je
avec	ADP	avec
un	DET	un
mais	CCONJ	mais
surtout	ADV	surtout
;	PUNCT	;
ai	AUX	avoir
autres	PRON	autre
le	DET	le
de	ADP	de
sa	DET	son
ordonnées	ADJ	ordonner
autre	ADJ	autre
il	PRON	il
dans	ADP	dans
l'	DET	le
chambre	NOUN	chambre
l'	PRON	l'
et	CCONJ	et
Un	DET	un
à	ADP	à
,	PUNCT	,
depuis	ADP	depuis
catégorie	NOUN	catégorie
qu'	SCONJ	que
la	DET	le
.	PUNCT	.
le	DET	le
pourquoi	ADV	pourquoi
s'	PRON	se
chemise	NOUN	chemise
rayures	NOUN	rayure
,	PUNCT	,
me	PRON	me
,	PUNCT	,
,	PUNCT	,
répandu	VERB	répandre
rire	NOUN	rire
visages	NOUN	visage
les	DET	le
,	PUNCT	,
noirs	ADJ	noir
aux	ADP	à
semblables	ADJ	semblable
,	PUNCT	,
foncé	ADJ	foncé
pour	ADP	pour
?	PUNCT	?
ai	AUX	avoir
.	PUNCT	.
Sud	PROPN	Sud
brusquement	ADV	brusquement
Les	DET	le
moite	ADJ	moite
.	PUNCT	.
n'	ADV	n'
connais	VERB	connaître
puisque	SCONJ	puisque
je	PRON	je
sourit	VERB	sourire
enfants	NOUN	enfant
brun	ADJ	brun
quand	SCONJ	quand
J'	PRON	je
Buck	PROPN	Buck
du	ADP	de
-	NOUN	-
appelé	VERB	appeler
