Je	PRON	je
éloignée	VERB	éloigner
,	PUNCT	,
se	PRON	se
Natalie	PROPN	Natalie
Elle	PRON	lui
reflet	NOUN	reflet
L'	PRON	l'
jour	NOUN	jour
café	NOUN	café
longs	ADJ	long
devait	VERB	devoir
être	NOUN	être
un	DET	un
dire	VERB	dire
ne	ADV	ne
.	PUNCT	.
du	ADP	de
du	ADP	de
-il	PRON	il
il	PRON	il
Cette	DET	ce
bague	NOUN	bague
dans	ADP	dans
nef	NOUN	nef
,	PUNCT	,
dans	ADP	dans
la	DET	le
tête	NOUN	tête
pénétrant	ADJ	pénétrant
soir	NOUN	soir
de	ADP	de
gris	ADJ	gris
ai	AUX	avoir
encore	ADV	encore
matinée	NOUN	matinée
t'	PRON	te
Et	CCONJ	et
Réfléchis	VERB	réfléchir
La	DET	le
-elle	PRON	lui
les	DET	le
où	PRON	où
en	ADP	en
sa	DET	son
journée	NOUN	journée
Je	PRON	je
Mon	DET	mon
main	NOUN	main
les	DET	le
la	DET	le
.	PUNCT	.
!	PUNCT	!
étaient	AUX	être
les	DET	le
.	PUNCT	.
celui	PRON	celui
rubans	NOUN	ruban
en	PRON	en
elle	PRON	lui
hier	ADV	hier
tremblant	ADJ	tremblant
.	PUNCT	.
soleil	NOUN	soleil
courage	NOUN	courage
un	DET	un
tu	PRON	tu
Angus	PROPN	Angus
,	PUNCT	,
Que	PRON	que
effilés	VERB	effiler
été	AUX	être
1	NUM	1
un	DET	un
Natalie	PROPN	Natalie
de	ADP	de
rien	PRON	rien
se	PRON	se
posa	VERB	poser
ornée	VERB	orner
à	ADP	à
amour	NOUN	amour
»	PUNCT	»
vide	ADJ	vide
tu	PRON	tu
dernière	ADJ	dernier
de	ADP	de
souvenir	NOUN	souvenir
comédie	NOUN	comédie
.	PUNCT	.
.	PUNCT	.
étendue	NOUN	étendue
«	PUNCT	«
pensées	NOUN	pensée
se	PRON	se
Elle	PRON	lui
d'	ADP	de
avait	AUX	avoir
possible	ADJ	possible
préparée	VERB	préparer
présenté	VERB	présenter
.	PUNCT	.
.	PUNCT	.
cette	DET	ce
suis	AUX	être
,	PUNCT	,
Elle	PRON	lui
vous	PRON	vous
mains	NOUN	main
n'	ADV	n'
doit	VERB	devoir
voiture	NOUN	voiture
«	PUNCT	«
et	CCONJ	et
Elle	PRON	lui
la	DET	le
d'	ADP	de
mois	NOUN	mois
avait	AUX	avoir
aussi	ADV	aussi
la	DET	le
dans	ADP	dans
regard	NOUN	regard
air	NOUN	air
air	NOUN	air
laver	VERB	laver
pas	ADV	pas
mariage	NOUN	mariage
joli	ADJ	joli
affectueusement	ADV	affectueusement
avait	VERB	avoir
avait	AUX	avoir
d'	ADP	de
pouvait	VERB	pouvoir
averses	NOUN	averse
sa	DET	son
tête	NOUN	tête
au	ADP	au
pour	ADP	pour
elle	PRON	lui
souri	VERB	sourire
avait	AUX	avoir
.	PUNCT	.
aperçut	VERB	apercevoir
sortie	VERB	sortir
nue	ADJ	nu
personne	PRON	personne
avait	AUX	avoir
les	DET	le
que	SCONJ	que
en	PRON	en
est	AUX	être
c'	PRON	ce
avait	AUX	avoir
-je	PRON	je
!	PUNCT	!
Natalie	PROPN	Natalie
-elle	PRON	lui
la	DET	le
la	DET	le
photographie	NOUN	photographie
glacé	ADJ	glacé
dans	ADP	dans
soir	NOUN	soir
dû	VERB	devoir
lequel	PRON	lequel
Natalie	PROPN	Natalie
était	AUX	être
transperçait	VERB	transpercer
assez	ADV	assez
c'	PRON	ce
un	DET	un
juste	ADV	juste
Elle	PRON	lui
de	ADP	de
l'	PRON	l'
plus	ADV	plus
d'	ADP	de
excuses	NOUN	excuse
la	PRON	le
Ne	ADV	ne
que	PRON	que
Carol	PROPN	Carol
Elle	PRON	lui
Et	CCONJ	et
prit	VERB	prendre
Elle	PRON	lui
Que	PRON	que
une	DET	un
second	ADJ	second
Jack	PROPN	Jack
matin	NOUN	matin
s'	PRON	se
elle	PRON	lui
désastre	NOUN	désastre
ivre	ADJ	ivre
était	AUX	être
bijoux	NOUN	bijou
Que	PRON	que
Elle	PRON	lui
murmuré	VERB	murmurer
hante	VERB	her
trop	ADV	trop
la	PRON	le
tout	ADJ	tout
J'	PRON	je
yeux	NOUN	oeil
sur	ADP	sur
»	PUNCT	»
folle	ADJ	fou
vous	PRON	vous
aimer	VERB	aimer
la	PRON	le
allait	VERB	aller
quand	ADV	quand
anniversaire	NOUN	anniversaire
la	DET	le
avec	ADP	avec
.	PUNCT	.
ses	DET	son
baissa	VERB	baisser
ses	DET	son
depuis	ADP	depuis
étranglée	VERB	étrangler
?	PUNCT	?
pénible	ADJ	pénible
avait	AUX	avoir
de	ADP	de
,	PUNCT	,
être	AUX	être
pas	ADV	pas
prie	VERB	prier
de	ADP	de
cheveux	NOUN	cheveu
si	SCONJ	si
était	AUX	être
et	CCONJ	et
.	PUNCT	.
»	PUNCT	»
Et	CCONJ	et
ta	DET	ton
Il	PRON	il
!	PUNCT	!
horrifié	VERB	horrifier
jeune	ADJ	jeune
le	DET	le
.	PUNCT	.
?	PUNCT	?
.	PUNCT	.
,	PUNCT	,
et	CCONJ	et
la	DET	le
regard	NOUN	regard
que	PRON	que
et	CCONJ	et
désolée	ADJ	désolé
ses	DET	son
amie	NOUN	amie
,	PUNCT	,
moment	NOUN	moment
»	PUNCT	»
s'	PRON	se
-t	PRON	-t
qui	PRON	qui
un	DET	un
lentement	ADV	lentement
-t	PRON	-t
la	DET	le
lui	PRON	lui
-vous	PRON	vous
oui	NOUN	oui
le	DET	le
avait	AUX	avoir
se	PRON	se
toi	PRON	toi
incapable	ADJ	incapable
!	PUNCT	!
se	PRON	se
?	PUNCT	?
tendait	VERB	tendre
!	PUNCT	!
moment	NOUN	moment
cacher	VERB	cacher
,	PUNCT	,
êtes	AUX	être
l'	PRON	l'
de	ADP	de
un	DET	un
la	DET	le
:	PUNCT	:
cendre	NOUN	cendre
Tu	PRON	tu
puis	VERB	pouvoir
fouilla	VERB	fouiller
vérité	NOUN	vérité
chambre	NOUN	chambre
maintenant	ADV	maintenant
peut	VERB	pouvoir
ne	ADV	ne
alliance	NOUN	alliance
le	PRON	le
rêve	NOUN	rêve
à	ADP	à
ne	ADV	ne
le	DET	le
était	AUX	être
premier	ADJ	premier
si	SCONJ	si
.	PUNCT	.
,	PUNCT	,
son	DET	son
.	PUNCT	.
L'	DET	le
pris	VERB	prendre
de	ADP	de
vous	PRON	vous
Lang	PROPN	Lang
son	DET	son
?	PUNCT	?
elle	PRON	lui
avait	AUX	avoir
son	DET	son
son	DET	son
livre	NOUN	livre
répliqua	VERB	répliquer
de	ADP	de
elle	PRON	lui
dû	VERB	devoir
»	PUNCT	»
se	PRON	se
de	ADP	de
as	VERB	avoir
jeune	ADJ	jeune
son	DET	son
souriant	ADJ	souriant
savoir	VERB	savoir
…	PUNCT	…
en	ADP	en
-là	NOUN	-là
d'	ADP	de
pauvre	ADJ	pauvre
un	DET	un
vraiment	ADV	vraiment
percé	VERB	percer
tu	PRON	tu
écria	VERB	écrier
geste	NOUN	geste
Oh	INTJ	Oh
passe	VERB	passer
la	DET	le
,	PUNCT	,
apercevoir	VERB	apercevoir
Jack	PROPN	Jack
garde	NOUN	garde
Comment	ADV	comment
désolée	ADJ	désolé
tombaient	VERB	tomber
ta	DET	ton
—	PUNCT	—
avait	AUX	avoir
à	ADP	à
remettrait	VERB	remettre
caché	VERB	cacher
,	PUNCT	,
»	PUNCT	»
elle	PRON	lui
voulu	VERB	vouloir
yeux	NOUN	oeil
des	DET	un
.	PUNCT	.
ajouta	VERB	ajouter
elle	PRON	lui
menton	NOUN	menton
glacé	ADJ	glacé
et	CCONJ	et
n'	ADV	n'
en	PRON	en
rendait	VERB	rendre
être	AUX	être
dans	ADP	dans
soyeux	ADJ	soyeux
mariage	NOUN	mariage
Je	PRON	je
esprit	NOUN	esprit
s'	PRON	se
s'	PRON	se
tu	PRON	tu
bras	NOUN	bras
avait	AUX	avoir
Pour	ADP	pour
fixa	VERB	fixer
le	PRON	le
exigea	VERB	exiger
être	AUX	être
Impuissante	ADJ	impuissant
poser	VERB	poser
vue	VERB	voir
Natalie	PROPN	Natalie
—	PUNCT	—
—	PUNCT	—
tu	PRON	tu
retirer	VERB	retirer
dans	ADP	dans
-t	PRON	-t
.	PUNCT	.
amour	NOUN	amour
gronda	VERB	gronder
radieux	ADJ	radieux
passa	VERB	passer
remarqué	VERB	remarquer
lui	PRON	lui
malade	ADJ	malade
mort	VERB	mourir
elle	PRON	lui
interrompit	VERB	interrompre
prononcées	VERB	prononcer
chez	ADP	chez
dit	VERB	dire
auparavant	ADV	auparavant
,	PUNCT	,
jetée	VERB	jeter
,	PUNCT	,
elle	PRON	lui
!	PUNCT	!
de	ADP	de
était	AUX	être
quand	SCONJ	quand
là	ADV	là
non	ADV	non
sa	DET	son
Carol	PROPN	Carol
de	ADP	de
du	ADP	de
alors	ADV	alors
éclaircies	NOUN	éclaircie
et	CCONJ	et
à	ADP	à
elle	PRON	lui
la	DET	le
l'	PRON	l'
sur	ADP	sur
il	PRON	il
-	PRON	-
était	AUX	être
depuis	ADP	depuis
suggéra	VERB	suggérer
dépit	NOUN	dépit
.	PUNCT	.
éprouver	VERB	éprouver
Vous	PRON	vous
ce	PRON	ce
se	PRON	se
cette	DET	ce
fille	NOUN	fille
bien	ADV	bien
envahissait	VERB	envahir
!	PUNCT	!
sous	ADP	sous
.	PUNCT	.
brutal	ADJ	brutal
,	PUNCT	,
de	ADP	de
avec	ADP	avec
toi	PRON	toi
Reprends	VERB	reprendre
homme	NOUN	homme
l'	DET	le
toute	ADJ	tout
surprise	NOUN	surprise
main	NOUN	main
cruellement	ADV	cruellement
à	ADP	à
celle	PRON	celui
dit	VERB	dire
.	PUNCT	.
me	PRON	me
toute	ADJ	tout
vous	PRON	vous
te	PRON	te
les	DET	le
de	ADP	de
savoir	VERB	savoir
avec	ADP	avec
tête	NOUN	tête
.	PUNCT	.
mémoire	NOUN	mémoire
avait	AUX	avoir
.	PUNCT	.
vitres	NOUN	vitre
l'	PRON	l'
dans	ADP	dans
tapant	VERB	taper
fit	VERB	faire
qu'	PRON	qu'
passion	NOUN	passion
Natalie	PROPN	Natalie
entièrement	ADV	entièrement
,	PUNCT	,
perdu	VERB	perdre
ne	ADV	ne
elle	PRON	lui
tu	PRON	tu
toute	ADJ	tout
air	NOUN	air
vivait	VERB	vivre
depuis	ADP	depuis
.	PUNCT	.
et	CCONJ	et
,	PUNCT	,
une	DET	un
regard	NOUN	regard
aurait	AUX	avoir
des	ADP	de
avait	AUX	avoir
revers	NOUN	revers
était	AUX	être
?	PUNCT	?
elle	PRON	lui
ils	PRON	il
.	PUNCT	.
Une	DET	un
en	PRON	en
salle	NOUN	salle
compte	NOUN	compte
Si	SCONJ	si
,	PUNCT	,
souviens	VERB	souvenir
sucrier	NOUN	sucrier
voix	NOUN	voix
.	PUNCT	.
morne	ADJ	morne
-	PRON	-
?	PUNCT	?
mouvante	ADJ	mouvant
pour	ADP	pour
image	NOUN	image
actes	NOUN	acte
ce	DET	ce
interposé	VERB	interposer
avait	AUX	avoir
.	PUNCT	.
L'	PRON	l'
,	PUNCT	,
.	PUNCT	.
Te	PRON	te
reflétait	VERB	refléter
un	DET	un
.	PUNCT	.
rappelait	VERB	rappeler
?	PUNCT	?
la	DET	le
,	PUNCT	,
.	PUNCT	.
un	DET	un
bains	NOUN	bain
Oui	ADV	oui
étais	AUX	être
ce	DET	ce
un	DET	un
terribles	ADJ	terrible
journée	NOUN	journée
yeux	NOUN	oeil
qui	PRON	qui
laisse	VERB	laisse
au	ADP	au
Carol	PROPN	Carol
entre	ADP	entre
depuis	ADP	depuis
alliance	NOUN	alliance
machine	NOUN	machine
n'	ADV	n'
haine	NOUN	haine
tout	ADJ	tout
.	PUNCT	.
s'	PRON	se
.	PUNCT	.
En	ADP	en
sucrier	NOUN	sucrier
poignard	NOUN	poignard
vie	NOUN	vie
les	DET	le
l'	PRON	l'
dit	VERB	dire
Aucun	PRON	aucun
.	PUNCT	.
…	PUNCT	…
voix	NOUN	voix
journée	NOUN	journée
Comment	ADV	comment
dos	NOUN	dos
,	PUNCT	,
général	ADJ	général
vous	PRON	vous
Ma	DET	mon
pensée	NOUN	pensée
blessée	VERB	blesser
ciel	NOUN	ciel
et	CCONJ	et
«	PUNCT	«
être	VERB	être
.	PUNCT	.
ne	ADV	ne
réprimer	VERB	réprimer
regarda	VERB	regarder
dit	VERB	dire
,	PUNCT	,
s'	PRON	se
fille	NOUN	fille
,	PUNCT	,
sur	ADP	sur
.	PUNCT	.
.	PUNCT	.
D'	ADP	de
s'	PRON	se
t'	PRON	te
probablement	ADV	probablement
la	DET	le
.	PUNCT	.
»	PUNCT	»
en	ADP	en
sur	ADP	sur
rappeler	VERB	rappeler
pendant	ADP	pendant
que	SCONJ	que
paroles	NOUN	parole
avait	AUX	avoir
couper	VERB	couper
dire	VERB	dire
vérité	NOUN	vérité
Mais	CCONJ	mais
s'	PRON	se
«	PUNCT	«
.	PUNCT	.
Oui	ADV	oui
as	AUX	avoir
d'	ADP	de
et	CCONJ	et
la	DET	le
peu	ADV	peu
cela	PRON	cela
Carol	PROPN	Carol
mon	DET	mon
qu'	SCONJ	que
soudain	ADV	soudain
détourné	VERB	détourner
où	PRON	où
un	DET	un
Pourquoi	ADV	pourquoi
Où	ADV	où
épais	ADJ	épais
suis	AUX	être
et	CCONJ	et
.	PUNCT	.
