échoppe	NOUN	échoppe
,	PUNCT	,
,	PUNCT	,
avait	VERB	avoir
précédents	ADJ	précédent
formaient	VERB	former
heures	NOUN	heure
Kamathok	PROPN	Kamathok
Il	PRON	il
bâtiments	NOUN	bâtiment
année	NOUN	année
on	PRON	on
même	ADJ	même
celles	PRON	celui
Les	DET	le
enfants	NOUN	enfant
âpres	ADJ	âpre
jour	NOUN	jour
souvent	ADV	souvent
accordées	VERB	accorder
être	AUX	être
des	ADP	de
et	CCONJ	et
Il	PRON	il
de	ADP	de
ouvriers	NOUN	ouvrier
repéré	VERB	repérer
détaillé	ADJ	détaillé
échoppes	NOUN	échoppe
torrents	NOUN	torrent
par	ADP	par
comme	ADP	comme
plaine	NOUN	plaine
les	DET	le
temporaires	ADJ	temporaire
quelques	DET	quelque
A	ADP	à
pour	ADP	pour
Ou	CCONJ	ou
avant	ADP	avant
sourire	NOUN	sourire
Ces	DET	ce
manger	VERB	manger
,	PUNCT	,
,	PUNCT	,
été	AUX	être
le	PRON	le
ni	CCONJ	ni
le	DET	le
ailleurs	ADV	ailleurs
jamais	ADV	jamais
soupçon	NOUN	soupçon
pas	NOUN	pas
mineur	NOUN	mineur
marché	NOUN	marché
laissé	VERB	laisser
ce	DET	ce
;	PUNCT	;
Maortiss	PROPN	Maortiss
repos	NOUN	repos
soldats	NOUN	soldat
ni	CCONJ	ni
mais	CCONJ	mais
lui	PRON	lui
et	CCONJ	et
ou	CCONJ	ou
pitié	NOUN	pitié
échoppes	NOUN	échoppe
année	NOUN	année
.	PUNCT	.
Maortiss	PROPN	Maortiss
ou	CCONJ	ou
passé	VERB	passer
il	PRON	il
Ça	PRON	cela
marché	NOUN	marché
cadeau	NOUN	cadeau
PREMIER	ADJ	premier
le	DET	le
était	AUX	être
bourgeois	NOUN	bourgeois
soi	PRON	soi
,	PUNCT	,
les	DET	le
MENDIANT	NOUN	mendiant
à	ADP	à
les	PRON	le
arrêtait	VERB	arrêter
ou	CCONJ	ou
mouvements	NOUN	mouvement
l'	DET	le
voire	CCONJ	voire
moindre	ADJ	moindre
jamais	ADV	jamais
plus	ADV	plus
ses	DET	son
interrompent	VERB	interrompre
forte	ADJ	fort
dans	ADP	dans
quinze	NUM	quinze
comme	ADP	comme
qu'	SCONJ	que
,	PUNCT	,
ses	DET	son
.	PUNCT	.
outre	ADP	outre
Jem	PROPN	Jem
dont	PRON	dont
,	PUNCT	,
eau	NOUN	eau
cas	NOUN	cas
de	ADP	de
quelques	DET	quelque
les	DET	le
comme	ADP	comme
ni	CCONJ	ni
boutiquiers	NOUN	boutiquier
.	PUNCT	.
pilées	VERB	piler
.	PUNCT	.
plus	ADV	plus
les	DET	le
le	DET	le
barraquements	NOUN	barraquement
lui	PRON	lui
l'	DET	le
place	NOUN	place
sur	ADP	sur
produits	NOUN	produit
Jem	PROPN	Jem
à	ADP	à
quatorze	NUM	quatorze
un	DET	un
d'	DET	d'
était	AUX	être
l'	DET	le
cris	NOUN	cri
n'	ADV	n'
vraiment	ADV	vraiment
seulement	ADV	seulement
spécialisée	VERB	spécialiser
quitter	VERB	quitter
se	PRON	se
ou	CCONJ	ou
l'	DET	le
bonne	ADJ	bon
même	ADV	même
d'	ADP	de
quelques	DET	quelque
important	ADJ	important
simplement	ADV	simplement
il	PRON	il
s'	PRON	se
quelque	DET	quelque
échoppes	NOUN	échoppe
.	PUNCT	.
avaient	VERB	avoir
qu'	SCONJ	que
et	CCONJ	et
de	ADP	de
quelques	DET	quelque
allait	VERB	aller
de	ADP	de
s'	PRON	se
interdisaient	VERB	interdire
les	DET	le
parfums	NOUN	parfum
autour	ADV	autour
dans	ADP	dans
serait	AUX	être
épuisé	VERB	épuiser
boutiquiers	NOUN	boutiquier
semblait	VERB	sembler
en	ADP	en
.	PUNCT	.
il	PRON	il
savait	VERB	savoir
A	ADP	à
rendait	VERB	rendre
avait	AUX	avoir
de	ADP	de
Des	DET	un
,	PUNCT	,
à	ADP	à
groupe	NOUN	groupe
en	ADP	en
vaguement	ADV	vaguement
,	PUNCT	,
souvenirs	NOUN	souvenir
travail	NOUN	travail
,	PUNCT	,
ou	CCONJ	ou
affaire	NOUN	affaire
Jern	PROPN	Jern
car	CCONJ	car
les	DET	le
ne	ADV	ne
regard	NOUN	regard
uniquement	ADV	uniquement
à	ADP	à
moins	ADV	moins
part	NOUN	part
grillons	NOUN	grillon
un	DET	un
.	PUNCT	.
chariots	NOUN	chariot
ne	ADV	ne
soir	NOUN	soir
circuler	VERB	circuler
CHAPITRE	NOUN	chapitre
cours	NOUN	cours
en	PRON	en
du	ADP	de
bon	ADJ	bon
était	AUX	être
veille	NOUN	veille
villes	NOUN	ville
avait	AUX	avoir
vendant	VERB	vendre
n'	ADV	n'
Chacune	PRON	chacun
parmi	ADP	parmi
,	PUNCT	,
trouvé	VERB	trouver
parce	SCONJ	parce
Encore	ADV	encore
techniciens	NOUN	technicien
il	PRON	il
exploitation	NOUN	exploitation
Il	PRON	il
et	CCONJ	et
aîné	ADJ	aîné
,	PUNCT	,
était	AUX	être
les	DET	le
plus	ADV	plus
ferait	VERB	faire
qui	PRON	qui
n'	ADV	n'
aurait	AUX	avoir
des	ADP	de
que	SCONJ	que
que	SCONJ	que
second	ADJ	second
passaient	VERB	passer
des	ADP	de
:	PUNCT	:
.	PUNCT	.
les	DET	le
jamais	ADV	jamais
un	DET	un
parfois	ADV	parfois
pas	ADV	pas
de	ADP	de
entendre	VERB	entendre
...	PUNCT	...
heures	NOUN	heure
et	CCONJ	et
philtres	NOUN	philtre
de	DET	de
une	DET	un
entre	ADP	entre
elle	PRON	lui
,	PUNCT	,
LE	DET	le
mois	NOUN	mois
agréable	ADJ	agréable
pâtisseries	NOUN	pâtisserie
—	PUNCT	—
sur	ADP	sur
projet	NOUN	projet
matin	NOUN	matin
de	ADP	de
son	DET	son
avait	AUX	avoir
fils	NOUN	fils
de	ADP	de
différent	ADJ	différent
avait	VERB	avoir
n'	ADV	n'
interdisant	VERB	interdire
pitié	NOUN	pitié
de	ADP	de
ce	DET	ce
en	PRON	en
cieux	NOUN	ciel
lui	PRON	lui
écailleux	ADJ	écailleux
mille	NUM	mille
de	ADP	de
,	PUNCT	,
manipuler	VERB	manipuler
estomac	NOUN	estomac
de	ADP	de
recommandations	NOUN	recommandation
plan	NOUN	plan
Traghom	PROPN	Traghom
