.	PUNCT	.
encore	ADV	encore
lune	NOUN	lune
.	PUNCT	.
les	DET	le
d'	ADP	de
à	ADP	à
bras	NOUN	bras
la	DET	le
Ils	PRON	il
sont	AUX	être
faim	NOUN	faim
ciel	NOUN	ciel
il	PRON	il
étaient	AUX	être
leurs	DET	leur
,	PUNCT	,
.	PUNCT	.
d'	ADP	de
zigzaguant	VERB	zigzaguer
vide	ADJ	vide
sable	NOUN	sable
comme	ADP	comme
bises	ADJ	bis
désert	NOUN	désert
,	PUNCT	,
et	CCONJ	et
et	CCONJ	et
mêlait	VERB	mêler
,	PUNCT	,
avait	VERB	avoir
les	DET	le
rauque	ADJ	rauque
Un	DET	un
leurs	DET	leur
de	ADP	de
Derrière	ADP	derrière
dans	ADP	dans
les	PRON	le
les	DET	le
devant	ADP	devant
caravane	NOUN	caravane
,	PUNCT	,
du	ADP	de
posant	VERB	poser
dans	ADP	dans
entre	ADP	entre
dos	NOUN	dos
leurs	DET	leur
.	PUNCT	.
.	PUNCT	.
des	ADP	de
manteaux	NOUN	manteau
Avec	ADP	avec
troupeau	NOUN	troupeau
conduire	VERB	conduire
,	PUNCT	,
les	DET	le
,	PUNCT	,
brume	NOUN	brume
aux	ADP	à
l'	DET	le
lourds	ADJ	lourd
la	DET	le
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
rêve	NOUN	rêve
dans	ADP	dans
frères	NOUN	frère
déchirés	VERB	déchirer
ses	DET	son
vers	ADP	vers
inaccessible	ADJ	inaccessible
fatigue	NOUN	fatigue
des	DET	un
qui	PRON	qui
l'	DET	le
de	ADP	de
invisibles	ADJ	invisible
sans	ADP	sans
la	PRON	le
le	DET	le
,	PUNCT	,
était	AUX	être
eux	PRON	lui
exténué	VERB	exténuer
Ils	PRON	il
était	AUX	être
Le	DET	le
qui	PRON	qui
Les	DET	le
descendus	VERB	descendre
.	PUNCT	.
.	PUNCT	.
leurs	DET	leur
noirs	ADJ	noir
visage	NOUN	visage
la	DET	le
sur	ADP	sur
désert	NOUN	désert
écartés	VERB	écarter
vent	NOUN	vent
portaient	VERB	porter
masqués	VERB	masquer
en	ADP	en
étaient	AUX	être
,	PUNCT	,
,	PUNCT	,
leurs	DET	leur
brillaient	VERB	briller
et	CCONJ	et
l'	DET	le
drapeau	NOUN	drapeau
el	PROPN	el
chèvres	NOUN	chèvre
.	PUNCT	.
Mais	CCONJ	mais
bras	NOUN	bras
reflet	NOUN	reflet
le	DET	le
en	ADP	en
s'	PRON	se
par	ADP	par
traces	NOUN	trace
en	ADP	en
eux	PRON	lui
Le	DET	le
la	DET	le
s'	SCONJ	s'
coulait	VERB	couler
comme	ADP	comme
lèvres	NOUN	lèvre
piste	NOUN	piste
,	PUNCT	,
,	PUNCT	,
.	PUNCT	.
,	PUNCT	,
sans	ADP	sans
autre	ADJ	autre
fils	NOUN	fils
brillaient	VERB	briller
rien	ADV	rien
,	PUNCT	,
en	ADP	en
,	PUNCT	,
quand	SCONJ	quand
les	DET	le
leurs	DET	leur
,	PUNCT	,
des	DET	un
vallée	NOUN	vallée
encore	ADV	encore
de	ADP	de
chemin	NOUN	chemin
presque	ADV	presque
les	DET	le
C	PRON	c
personne	PRON	personne
s'	SCONJ	s'
un	DET	un
,	PUNCT	,
travers	NOUN	travers
de	ADP	de
regard	NOUN	regard
y	PRON	y
sont	AUX	être
brillait	VERB	briller
Le	DET	le
les	DET	le
bruit	NOUN	bruit
sur	ADP	sur
soleil	NOUN	soleil
pouvait	VERB	pouvoir
partageait	VERB	partager
pierres	NOUN	pierre
vers	ADP	vers
s'	PRON	se
.	PUNCT	.
ciel	NOUN	ciel
fait	AUX	faire
fronts	NOUN	front
traversant	VERB	traverser
par	ADP	par
la	DET	le
.	PUNCT	.
jeunes	ADJ	jeune
voiles	NOUN	voile
la	DET	le
sombre	ADJ	sombre
moutons	NOUN	mouton
de	ADP	de
à	ADP	à
sombre	ADJ	sombre
vallée	NOUN	vallée
la	DET	le
le	DET	le
des	ADP	de
la	DET	le
bleu	ADJ	bleu
ne	ADV	ne
espace	NOUN	espace
nuits	NOUN	nuit
en	ADP	en
froid	ADJ	froid
leurs	DET	leur
marchait	VERB	marcher
au	ADP	au
et	CCONJ	et
Ils	PRON	il
Le	DET	le
la	DET	le
l'	DET	le
le	DET	le
leur	DET	leur
emportait	VERB	emporter
vallée	NOUN	vallée
eux	PRON	lui
seul	PRON	seul
,	PUNCT	,
puis	CCONJ	puis
grommelaient	VERB	grommeler
aussi	ADV	aussi
,	PUNCT	,
les	DET	le
,	PUNCT	,
le	DET	le
1910	NOUN	1910
femmes	NOUN	femme
le	DET	le
et	CCONJ	et
,	PUNCT	,
vagues	NOUN	vague
la	DET	le
les	PRON	le
de	ADP	de
était	AUX	être
Hamra	PROPN	Hamra
,	PUNCT	,
étaient	AUX	être
canon	NOUN	canon
sur	ADP	sur
pierre	NOUN	pierre
des	ADP	de
mère	NOUN	mère
regarder	VERB	regarder
Ils	PRON	il
mère	NOUN	mère
femmes	NOUN	femme
maigres	ADJ	maigre
et	CCONJ	et
d'	ADP	de
voulaient	VERB	vouloir
bleue	ADJ	bleu
.	PUNCT	.
fardeaux	NOUN	fardeau
encombrées	VERB	encombrer
trace	NOUN	trace
du	ADP	de
,	PUNCT	,
Ils	PRON	il
.	PUNCT	.
par	ADP	par
cherchaient	VERB	chercher
hommes	NOUN	homme
les	DET	le
habits	NOUN	habit
une	DET	un
poids	NOUN	poids
,	PUNCT	,
de	ADP	de
sur	ADP	sur
n'	ADV	n'
sur	ADP	sur
les	DET	le
soleil	NOUN	soleil
son	DET	son
leurs	DET	leur
un	DET	un
chardons	NOUN	chardon
comme	ADP	comme
par	ADP	par
sur	ADP	sur
sclérotique	NOUN	sclérotique
lambeaux	NOUN	lambeau
sans	ADP	sans
descendre	VERB	descendre
le	DET	le
la	DET	le
,	PUNCT	,
peau	NOUN	peau
chèvres	NOUN	chèvre
sable	NOUN	sable
comme	ADP	comme
le	DET	le
chameaux	NOUN	chameau
ombre	NOUN	ombre
long	ADV	long
Son	DET	son
,	PUNCT	,
1909	NOUN	1909
marche	NOUN	marche
ils	PRON	il
crachant	VERB	cracher
comme	ADP	comme
sable	NOUN	sable
,	PUNCT	,
leurs	DET	leur
,	PUNCT	,
lactée	ADJ	lacté
toisons	NOUN	toison
.	PUNCT	.
leur	DET	leur
Un	DET	un
jambes	NOUN	jambe
orteils	NOUN	orteil
la	DET	le
allaient	VERB	aller
Les	DET	le
d'	ADP	de
ombre	NOUN	ombre
La	DET	le
des	DET	un
enroulés	VERB	enrouler
fuyait	VERB	fuir
marchait	VERB	marcher
front	NOUN	front
serrée	VERB	serrer
avaient	VERB	avoir
guidait	VERB	guider
La	DET	le
sur	ADP	sur
sable	NOUN	sable
étaient	AUX	être
que	PRON	que
,	PUNCT	,
autre	ADJ	autre
bleus	ADJ	bleu
scarabées	NOUN	scarabée
Ils	PRON	il
les	DET	le
,	PUNCT	,
gouttes	NOUN	goutte
au	ADP	au
leurs	DET	leur
les	DET	le
,	PUNCT	,
nuit	NOUN	nuit
comme	ADP	comme
