un	DET	un
de	ADP	de
peu	ADV	peu
survécu	VERB	survivre
,	PUNCT	,
,	PUNCT	,
—	PUNCT	—
dommage	NOUN	dommage
,	PUNCT	,
était	AUX	être
petite	ADJ	petit
à	ADP	à
femme	NOUN	femme
tour	NOUN	tour
adorable	ADJ	adorable
.	PUNCT	.
Rousseau	PROPN	Rousseau
agonisait	VERB	agoniser
pièce	NOUN	pièce
tuer	VERB	tuer
appeler	VERB	appeler
Lequel	PRON	lequel
Chen	PROPN	Chen
était	AUX	être
aussi	ADV	aussi
ancêtres	NOUN	ancêtre
venait	VERB	venir
c'	PRON	ce
êtes	AUX	être
d'	ADP	de
Ils	PRON	il
et	CCONJ	et
...	PUNCT	...
un	DET	un
ce	DET	ce
autre	ADJ	autre
les	DET	le
ne	ADV	ne
à	ADP	à
la	DET	le
apprécier	VERB	apprécier
Vous	PRON	vous
,	PUNCT	,
un	DET	un
Catlin	PROPN	Catlin
.	PUNCT	.
J'	PRON	je
,	PUNCT	,
pourtant	ADV	pourtant
,	PUNCT	,
en	ADP	en
la	DET	le
vieille	ADJ	vieux
la	DET	le
d'	ADP	de
chinoise	ADJ	chinois
il	PRON	il
,	PUNCT	,
plus	ADV	plus
Catlin	PROPN	Catlin
trop	ADV	trop
comment	ADV	comment
message	NOUN	message
sauvé	VERB	sauver
.	PUNCT	.
qu'	PRON	qu'
fut	AUX	être
—	PUNCT	—
de	ADP	de
connaissait	VERB	connaître
d'	ADP	de
réveillait	VERB	réveiller
alors	ADV	alors
,	PUNCT	,
à	ADP	à
Chen	PROPN	Chen
aime	VERB	aime
—	PUNCT	—
braquait	VERB	braquer
mode	NOUN	mode
une	DET	un
Les	DET	le
si	SCONJ	si
comme	ADP	comme
,	PUNCT	,
répondit	VERB	répondre
?	PUNCT	?
à	ADP	à
,	PUNCT	,
était	AUX	être
Jacques	PROPN	Jacques
histoire	NOUN	histoire
creux	NOUN	creux
Car	CCONJ	car
il	PRON	il
:	PUNCT	:
de	ADP	de
dans	ADP	dans
Chen	PROPN	Chen
la	DET	le
la	PRON	le
le	PRON	le
avait	AUX	avoir
d'	ADP	de
de	ADP	de
femme	NOUN	femme
homme	NOUN	homme
avez	VERB	avoir
l'	DET	le
inconnu	NOUN	inconnu
du	ADP	de
ne	ADV	ne
.	PUNCT	.
morte	ADJ	mort
ni	CCONJ	ni
,	PUNCT	,
Il	PRON	il
n'	ADV	n'
...	PUNCT	...
un	DET	un
,	PUNCT	,
?	PUNCT	?
était	AUX	être
reçu	VERB	recevoir
à	ADP	à
cette	DET	ce
vol	NOUN	vol
de	ADP	de
sais	VERB	savoir
pistolet	NOUN	pistolet
terme	NOUN	terme
Mais	CCONJ	mais
simplement	ADV	simplement
ses	DET	son
La	DET	le
certain	ADJ	certain
Catlin	PROPN	Catlin
êtes	AUX	être
-	PROPN	-
curieux	ADJ	curieux
!	PUNCT	!
devoir	NOUN	devoir
stupeur	NOUN	stupeur
de	ADP	de
était	AUX	être
Yi	PROPN	Yi
.	PUNCT	.
l'	DET	le
Il	PRON	il
,	PUNCT	,
,	PUNCT	,
millions	NOUN	million
.	PUNCT	.
Où	ADV	où
absolue	ADJ	absolu
Il	PRON	il
,	PUNCT	,
ce	DET	ce
était	AUX	être
y	PRON	y
.	PUNCT	.
-vous	PRON	vous
compliment	NOUN	compliment
pièce	NOUN	pièce
commencé	VERB	commencer
...	PUNCT	...
un	DET	un
s'	PRON	se
anthracite	NOUN	anthracite
Il	PRON	il
que	SCONJ	que
elle	PRON	lui
qu'	PRON	qu'
Chen	PROPN	Chen
retrouvés	VERB	retrouver
a	VERB	avoir
?	PUNCT	?
Je	PRON	je
était	AUX	être
coups	NOUN	coup
de	ADP	de
forme	NOUN	forme
hirondelle	NOUN	hirondelle
jour	NOUN	jour
,	PUNCT	,
homme	NOUN	homme
Chen	PROPN	Chen
était	AUX	être
fut	AUX	être
son	DET	son
Peu	ADV	peu
,	PUNCT	,
donnait	VERB	donner
l'	DET	le
monnaie	NOUN	monnaie
bête	NOUN	bête
C'	PRON	ce
.	PUNCT	.
vous	PRON	vous
sur	ADP	sur
—	PUNCT	—
de	ADP	de
avait	AUX	avoir
Je	PRON	je
ce	PRON	ce
prendre	VERB	prendre
un	DET	un
d'	ADP	de
au	ADP	au
dans	ADP	dans
vifs	ADJ	vif
donner	VERB	donner
le	DET	le
,	PUNCT	,
profil	NOUN	profil
très	ADV	très
c'	PRON	ce
peut-être	ADV	peut-être
parchemin	NOUN	parchemin
entré	VERB	entrer
,	PUNCT	,
un	DET	un
moitié	NOUN	moitié
.	PUNCT	.
était	AUX	être
;	PUNCT	;
un	DET	un
alors	ADV	alors
Tiang	PROPN	Tiang
travaillez	VERB	travailler
avait	AUX	avoir
.	PUNCT	.
qu'	SCONJ	que
était	AUX	être
ou	CCONJ	ou
exaucer	VERB	exaucer
—	PUNCT	—
en	ADP	en
aucun	DET	aucun
Elle	PRON	lui
vie	NOUN	vie
brusquement	ADV	brusquement
amer	ADJ	amer
en	ADP	en
ce	PRON	ce
possession	NOUN	possession
,	PUNCT	,
imaginer	VERB	imaginer
,	PUNCT	,
fit	VERB	faire
inconnu	NOUN	inconnu
avec	ADP	avec
garda	VERB	garder
étrange	ADJ	étrange
.	PUNCT	.
fois	NOUN	fois
d'	ADP	de
avait	AUX	avoir
Christ	PROPN	Christ
une	DET	un
homme	NOUN	homme
Mei	PROPN	Mei
,	PUNCT	,
noirs	ADJ	noir
il	PRON	il
demanda	VERB	demander
puzzle	NOUN	puzzle
!	PUNCT	!
amour	NOUN	amour
Pas	ADV	pas
l'	PRON	l'
brillants	ADJ	brillant
.	PUNCT	.
vos	DET	votre
Je	PRON	je
retrouvait	VERB	retrouver
pouvait	VERB	pouvoir
sa	DET	son
suspense	NOUN	suspense
personne	PRON	personne
.	PUNCT	.
s'	PRON	se
est	AUX	être
peine	NOUN	peine
qui	PRON	qui
eut	VERB	avoir
.	PUNCT	.
,	PUNCT	,
Chen	PROPN	Chen
continua	VERB	continuer
douce	ADJ	doux
Chen	PROPN	Chen
aberrant	ADJ	aberrant
amants	NOUN	amant
y	PRON	y
travaillez	VERB	travailler
Catlin	PROPN	Catlin
été	AUX	être
A	ADP	à
à	ADP	à
Prophète	NOUN	prophète
très	ADV	très
fétiche	NOUN	fétiche
destinait	VERB	destiner
homme-lige	NOUN	homme-lige
de	ADP	de
acquis	VERB	acquérir
un	DET	un
il	PRON	il
vous	PRON	vous
portez	VERB	porter
failli	VERB	faillir
accompagnée	VERB	accompagner
venait	VERB	venir
sens	NOUN	sens
Mei	PROPN	Mei
.	PUNCT	.
Un	DET	un
bien	ADV	bien
:	PUNCT	:
comme	ADP	comme
la	DET	le
!	PUNCT	!
,	PUNCT	,
mort	NOUN	mort
sut	VERB	savoir
pouvait	VERB	pouvoir
,	PUNCT	,
Catlin	PROPN	Catlin
,	PUNCT	,
peu	ADV	peu
se	PRON	se
ce	PRON	ce
pas	ADV	pas
C'	PRON	ce
.	PUNCT	.
une	DET	un
que	PRON	que
rares	ADJ	rare
perdue	VERB	perdre
pièce	NOUN	pièce
put	VERB	pouvoir
êtes	AUX	être
répondit	VERB	répondre
ça	PRON	cela
vous	PRON	vous
,	PUNCT	,
.	PUNCT	.
lien	NOUN	lien
courageux	ADJ	courageux
venait	VERB	venir
cœur	NOUN	cœur
souhait	NOUN	souhait
Sud-Est	PROPN	Sud-Est
aussi	ADV	aussi
moitié	NOUN	moitié
un	DET	un
l'	DET	le
la	DET	le
le	DET	le
famille	NOUN	famille
si	SCONJ	si
l'	DET	le
c'	PRON	ce
Populaire	ADJ	populaire
un	DET	un
lui	PRON	lui
sang	NOUN	sang
?	PUNCT	?
,	PUNCT	,
Chen	PROPN	Chen
peu	ADV	peu
fit	VERB	faire
trop	ADV	trop
.	PUNCT	.
en	ADP	en
de	ADP	de
de	ADP	de
aimait	VERB	aimer
—	PUNCT	—
voulez	VERB	vouloir
de	ADP	de
C'	PRON	ce
après	ADV	après
.	PUNCT	.
plein	ADJ	plein
—	PUNCT	—
cette	DET	ce
,	PUNCT	,
fait	VERB	faire
homme	NOUN	homme
point	NOUN	point
Chinois	NOUN	chinois
la	DET	le
!	PUNCT	!
Une	DET	un
de	ADP	de
souvenirs	NOUN	souvenir
tira	VERB	tirer
cigarette	NOUN	cigarette
Ses	DET	son
.	PUNCT	.
mémoire	NOUN	mémoire
gouvernement	NOUN	gouvernement
,	PUNCT	,
de	ADP	de
pourrait	VERB	pouvoir
maîtresse	NOUN	maîtresse
étaient	AUX	être
sa	DET	son
...	PUNCT	...
parviendrait	VERB	parvenir
sur	ADP	sur
