un	DET	un
la	PRON	le
n'	ADV	n'
y	PRON	y
des	DET	un
elle-même	PRON	lui-même
qu'	SCONJ	que
de	ADP	de
n'	ADV	n'
de	ADP	de
'	DET	'
étant	AUX	être
mari	NOUN	mari
la	DET	le
il	PRON	il
pour	ADP	pour
est	VERB	être
toutes	ADJ	tout
que	SCONJ	que
prescrits	VERB	prescrire
menues	ADJ	menu
est	AUX	être
un	DET	un
qui	PRON	qui
malade	NOUN	malade
de	ADP	de
grand	ADJ	grand
«	PUNCT	«
C'	PRON	ce
l'	DET	le
elle	PRON	lui
de	ADP	de
la	DET	le
fille	NOUN	fille
!	PUNCT	!
C'	PRON	ce
délivre	VERB	délivre
bourreau	NOUN	bourreau
encore	ADV	encore
aimé	VERB	aimer
-	NOUN	-
dit	VERB	dire
,	PUNCT	,
n'	ADV	n'
il	PRON	il
dans	ADP	dans
je	PRON	je
pu	VERB	pouvoir
politique	ADJ	politique
suivi	VERB	suivre
y	PRON	y
avait	AUX	avoir
chère	ADJ	cher
prononcé	VERB	prononcer
.	PUNCT	.
,	PUNCT	,
«	PUNCT	«
supporter	VERB	supporter
soignée	VERB	soigner
.	PUNCT	.
sait	VERB	savoir
laïque	ADJ	laïque
,	PUNCT	,
donnait	VERB	donner
devenait	VERB	devenir
le	DET	le
nos	DET	notre
vers	ADP	vers
ou	CCONJ	ou
de	ADP	de
y	PRON	y
début	NOUN	début
,	PUNCT	,
qui	PRON	qui
n'	ADV	n'
le	PRON	le
follement	ADV	follement
et	CCONJ	et
la	DET	le
qui	PRON	qui
de	ADP	de
est	VERB	être
malades	NOUN	malade
.	PUNCT	.
sont	AUX	être
m'	PRON	me
Je	PRON	je
ces	DET	ce
ils	PRON	il
corps	NOUN	corps
.	PUNCT	.
.	PUNCT	.
présence	NOUN	présence
,	PUNCT	,
la	DET	le
était	VERB	être
peu	ADV	peu
a	AUX	avoir
eussent	AUX	avoir
,	PUNCT	,
cancer	NOUN	cancer
disait	VERB	dire
toujours	ADV	toujours
suis	AUX	être
elle	PRON	lui
ne	ADV	ne
et	CCONJ	et
d'	ADP	de
ceux	PRON	celui
pourrait	VERB	pouvoir
chaque	DET	chaque
mourir	VERB	mourir
pas	ADV	pas
pas	ADV	pas
le	PRON	le
où	PRON	où
piqûre	NOUN	piqûre
l'	PRON	l'
fondamentale	ADJ	fondamental
encore	ADV	encore
donc	ADV	donc
comme	SCONJ	comme
aider	VERB	aider
de	ADP	de
mais	CCONJ	mais
comme	ADP	comme
voient	VERB	voir
»	PUNCT	»
nous	PRON	nous
.	PUNCT	.
efficaces	ADJ	efficace
le	PRON	le
et	CCONJ	et
pas	ADV	pas
qu'	SCONJ	que
celui	PRON	celui
secours	NOUN	secours
prend	VERB	prendre
aussi	ADV	aussi
.	PUNCT	.
y	PRON	y
en	ADP	en
.	PUNCT	.
doux	ADJ	doux
de	ADP	de
l'	PRON	l'
problème	NOUN	problème
qu'	PRON	qu'
signifiait	VERB	signifier
la	DET	le
mari	NOUN	mari
courageuse	ADJ	courageux
de	ADP	de
aux	ADP	à
pour	ADP	pour
Je	PRON	je
,	PUNCT	,
,	PUNCT	,
impuissance	NOUN	impuissance
choses	NOUN	chose
qu'	PRON	qu'
fille	NOUN	fille
devenait	VERB	devenir
supporter	VERB	supporter
dont	PRON	dont
cette	DET	ce
»	PUNCT	»
Il	PRON	il
agressive	ADJ	agressif
faisait	VERB	faire
et	CCONJ	et
qui	PRON	qui
radio	NOUN	radio
m'	PRON	me
ce	PRON	ce
Même	ADV	même
la	DET	le
un	DET	un
yeux	NOUN	oeil
la	DET	le
qu'	SCONJ	que
un	DET	un
été	AUX	être
vivante	ADJ	vivant
du	ADP	de
et	CCONJ	et
avec	ADP	avec
était	AUX	être
Il	PRON	il
que	SCONJ	que
que	PRON	que
c'	PRON	ce
enfant	NOUN	enfant
hospitalier	ADJ	hospitalier
du	ADP	de
un	DET	un
.	PUNCT	.
qu'	SCONJ	que
chose	NOUN	chose
Elle	PRON	lui
.	PUNCT	.
elle	PRON	lui
,	PUNCT	,
sait	VERB	savoir
donc	ADV	donc
charme	NOUN	charme
en	PRON	en
.	PUNCT	.
ici	ADV	ici
visage	NOUN	visage
disponible	ADJ	disponible
guérir	VERB	guérir
le	DET	le
Vous	PRON	vous
nièce	NOUN	nièce
Elle	PRON	lui
on	PRON	on
parfois	ADV	parfois
était	AUX	être
,	PUNCT	,
vais	VERB	aller
travail	NOUN	travail
,	PUNCT	,
et	CCONJ	et
ce	DET	ce
.	PUNCT	.
,	PUNCT	,
que	ADV	que
n'	ADV	n'
:	PUNCT	:
ou	CCONJ	ou
enfant	NOUN	enfant
attention	NOUN	attention
elle	PRON	lui
plus	ADV	plus
le	DET	le
malheur	NOUN	malheur
échappatoires	NOUN	échappatoire
mot	NOUN	mot
sa	DET	son
une	DET	un
qui	PRON	qui
