Frédéric	PROPN	Frédéric
venir	VERB	venir
essoufflée	ADJ	essouffler
la	DET	le
parole	NOUN	parole
son	DET	son
en	ADP	en
faites	VERB	faire
qu'	SCONJ	que
de	ADP	de
!	PUNCT	!
elle	PRON	lui
être	AUX	être
.	PUNCT	.
se	PRON	se
aux	ADP	à
sur	ADP	sur
avait	AUX	avoir
qu'	PRON	qu'
deux	NUM	deux
par	ADP	par
.	PUNCT	.
montre	NOUN	montre
la	DET	le
!	PUNCT	!
ma	DET	mon
bureau	NOUN	bureau
une	DET	un
consulta	VERB	consulter
,	PUNCT	,
programmes	NOUN	programme
Rhône	PROPN	Rhône
sur	ADP	sur
de	ADP	de
refermait	VERB	refermer
saccadé	ADJ	saccader
!	PUNCT	!
murs	NOUN	mur
.	PUNCT	.
,	PUNCT	,
chaud	NOUN	chaud
enfonça	VERB	enfoncer
a	VERB	avoir
et	CCONJ	et
de	ADP	de
fit	VERB	faire
de	ADP	de
est	AUX	être
branchée	ADJ	branché
l'	PRON	l'
au	ADP	au
encore	ADV	encore
contrat	NOUN	contrat
-	PROPN	-
Lyon	PROPN	Lyon
Jean-Paul	PROPN	Jean-Paul
elle	PRON	lui
de	ADP	de
son	DET	son
.	PUNCT	.
je	PRON	je
l'	DET	le
consommer	VERB	consommer
telle	ADJ	tel
lui	PRON	lui
rendez-vous	NOUN	rendez-vous
véhicule	NOUN	véhicule
que	PRON	que
chez	ADP	chez
un	DET	un
elle	PRON	lui
les	DET	le
se	PRON	se
rouge	NOUN	rouge
,	PUNCT	,
hausser	VERB	hausser
et	CCONJ	et
d'	ADP	de
le	DET	le
Tout	ADV	tout
lieu	NOUN	lieu
mit	VERB	mettre
avec	ADP	avec
—	PUNCT	—
arrive	VERB	arrive
clavier	NOUN	clavier
pas	ADV	pas
de	ADP	de
ton	NOUN	ton
messages	NOUN	message
sonorités	NOUN	sonorité
mère	NOUN	mère
affaires	NOUN	affaire
est	AUX	être
son	DET	son
au	ADP	au
-	PROPN	-
-t	PRON	-t
pourtant	ADV	pourtant
,	PUNCT	,
.	PUNCT	.
de	ADP	de
la	DET	le
elle	PRON	lui
laissez-les-moi	PRON	laissez-les-moi
horloge	NOUN	horloge
!	PUNCT	!
la	DET	le
de	ADP	de
rédaction	NOUN	rédaction
petit	ADJ	petit
oreilles	NOUN	oreille
que	SCONJ	que
—	PUNCT	—
vos	DET	votre
répondeur	NOUN	répondeur
saisit	VERB	saisir
France	PROPN	France
fils	NOUN	fils
mon	DET	mon
Consultez	VERB	consulter
!	PUNCT	!
es	AUX	être
pas	ADV	pas
bien	ADV	bien
,	PUNCT	,
savais	VERB	savoir
Lyon	PROPN	Lyon
voix	NOUN	voix
.	PUNCT	.
de	ADP	de
donnez	VERB	donner
à	ADP	à
Très	ADV	très
pas	ADV	pas
devant	ADP	devant
cinq	NUM	cinq
le	DET	le
l'	DET	le
réguliers	ADJ	régulier
Golf	PROPN	Golf
vous	PRON	vous
talons	NOUN	talon
puis	CCONJ	puis
sortie	VERB	sortir
à	ADP	à
cause	NOUN	cause
du	ADP	de
abonné	NOUN	abonné
Muriel	PROPN	Muriel
précisément	ADV	précisément
la	PRON	le
dans	ADP	dans
et	CCONJ	et
dont	PRON	dont
Machinalement	ADV	machinalement
à	ADP	à
Rond	PROPN	Rond
pub	NOUN	pub
à	ADP	à
branchés	VERB	brancher
.	PUNCT	.
...	PUNCT	...
est	VERB	être
.	PUNCT	.
mois	NOUN	mois
permanence	NOUN	permanence
de	ADP	de
y	PRON	y
mèche	NOUN	mèche
faire	AUX	faire
téléphone	VERB	téléphone
passe	VERB	passer
ici	ADV	ici
leurs	DET	leur
«	PUNCT	«
dîner	VERB	dîner
repoussa	VERB	repousser
j'	PRON	je
cinq	NUM	cinq
Ton	DET	ton
s'	PRON	se
!	PUNCT	!
es	AUX	être
bureau	NOUN	bureau
engouffrer	VERB	engouffrer
à	ADP	à
appelle	VERB	appeler
assit	VERB	asseoir
voix	NOUN	voix
vous	PRON	vous
pris	VERB	prendre
l'	DET	le
la	DET	le
on	PRON	on
du	ADP	de
homme	NOUN	homme
les	DET	le
et	CCONJ	et
Radio	PROPN	Radio
homme	NOUN	homme
sur	ADP	sur
garer	VERB	garer
tout	ADV	tout
était	VERB	être
me	PRON	me
par	ADP	par
journaux	NOUN	journal
T.G.V.	NOUN	t.g.v.
que	ADV	que
moquette	NOUN	moquette
le	DET	le
ordre	NOUN	ordre
rire	NOUN	rire
allait	VERB	aller
ongles	NOUN	ongle
ritournelle	NOUN	ritournelle
,	PUNCT	,
agenda	NOUN	agenda
du	ADP	de
corridor	NOUN	corridor
secrétaire	NOUN	secrétaire
à	ADP	à
Muriel	PROPN	Muriel
de	ADP	de
à	ADP	à
dois	VERB	devoir
lime	NOUN	lime
contempla	VERB	contempler
Muriel	PROPN	Muriel
méticuleusement	ADV	méticuleusement
pouvait	VERB	pouvoir
qui	PRON	qui
.	PUNCT	.
un	DET	un
—	PUNCT	—
,	PUNCT	,
une	DET	un
invitait	VERB	inviter
1	NUM	1
sauta	VERB	sauter
prit	VERB	prendre
devenus	VERB	devenir
de	ADP	de
vit	VERB	voir
De	ADP	de
provoqua	VERB	provoquer
,	PUNCT	,
les	DET	le
un	DET	un
le	DET	le
parvenait	VERB	parvenir
éclata	VERB	éclater
c'	PRON	ce
,	PUNCT	,
une	DET	un
tu	PRON	tu
Miracle	NOUN	miracle
.	PUNCT	.
encore	ADV	encore
envahissait	VERB	envahir
présager	VERB	présager
France	PROPN	France
avec	ADP	avec
l'	DET	le
Le	DET	le
de	ADP	de
et	CCONJ	et
fut	AUX	être
,	PUNCT	,
dans	ADP	dans
Ranelagh	PROPN	Ranelagh
de	ADP	de
rue	NOUN	rue
gare	NOUN	gare
signé	VERB	signer
mensualiser	VERB	mensualiser
?	PUNCT	?
Je	PRON	je
vitesse	NOUN	vitesse
Elle	PRON	lui
tu	PRON	tu
des	ADP	de
...	PUNCT	...
falloir	VERB	falloir
et	CCONJ	et
-	PROPN	-
allait	VERB	aller
peu	ADV	peu
ses	DET	son
!	PUNCT	!
le	DET	le
fit	AUX	faire
te	PRON	te
—	PUNCT	—
son	DET	son
sans	ADP	sans
Muriel	PROPN	Muriel
part	VERB	partir
consulta	VERB	consulter
ici	ADV	ici
canicule	NOUN	canicule
velouté	NOUN	velouté
rebelle	ADJ	rebelle
ses	DET	son
.	PUNCT	.
salle	NOUN	salle
h	NOUN	heure
laissant	VERB	laisser
Avant	ADP	avant
en	ADP	en
Bleu	ADJ	bleu
,	PUNCT	,
...	PUNCT	...
et	CCONJ	et
moment	NOUN	moment
laqués	VERB	laquer
Paris	PROPN	Paris
devoir	NOUN	devoir
sa	DET	son
vernis	NOUN	vernis
par	ADP	par
panique	NOUN	panique
tu	PRON	tu
blanc	ADJ	blanc
bout	NOUN	bout
de	ADP	de
Demandez	VERB	demander
réservé	VERB	réserver
d'	ADP	de
donne	VERB	donne
jeune	ADJ	jeune
allait	VERB	aller
sourcils	NOUN	sourcil
,	PUNCT	,
d'	ADP	de
Muriel	PROPN	Muriel
