m'	PRON	me
roi	NOUN	roi
l'	DET	le
dans	ADP	dans
,	PUNCT	,
le	DET	le
ne	ADV	ne
avec	ADP	avec
l'	DET	le
du	ADP	de
il	PRON	il
.	PUNCT	.
évidence	NOUN	évidence
l'	PRON	l'
le	DET	le
ma	DET	mon
public	NOUN	public
tête	NOUN	tête
«	PUNCT	«
et	CCONJ	et
Thackeray	PROPN	Thackeray
force	NOUN	force
:	PUNCT	:
grands	ADJ	grand
de	DET	de
.	PUNCT	.
passé	NOUN	passé
sans	ADP	sans
conscience	NOUN	conscience
d'	ADP	de
,	PUNCT	,
monde	NOUN	monde
me	PRON	me
de	ADP	de
des	ADP	de
l'	DET	le
un	DET	un
même	ADJ	même
France	PROPN	France
l'	DET	le
-là	NOUN	-là
par	ADP	par
certes	ADV	certes
leur	DET	leur
tâche	NOUN	tâche
«	PUNCT	«
de	ADP	de
quatre	NUM	quatre
,	PUNCT	,
très	ADV	très
que	PRON	que
Nantes	PROPN	Nantes
Inquisition	NOUN	inquisition
donné	VERB	donner
.	PUNCT	.
,	PUNCT	,
à	ADP	à
la	DET	le
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
et	CCONJ	et
tour	NOUN	tour
ne	ADV	ne
plus	ADV	plus
moi	PRON	moi
de	ADP	de
livre	NOUN	livre
du	ADP	de
de	ADP	de
ont	VERB	avoir
accomplie	VERB	accomplir
s'	PRON	se
de	ADP	de
des	ADP	de
une	DET	un
passées	VERB	passer
flegme	NOUN	flegme
davantage	ADV	davantage
jeune	ADJ	jeune
son	DET	son
n'	ADV	n'
Assurément	ADV	assurément
Fortune	PROPN	Fortune
devenue	VERB	devenir
auteurs	NOUN	auteur
embrasser	VERB	embrasser
dit	VERB	dire
écrit	VERB	écrire
,	PUNCT	,
profondément	ADV	profondément
faits	NOUN	fait
de	ADP	de
savaient	VERB	savoir
surtout	ADV	surtout
elles	PRON	lui
-	PROPN	-
tyrannie	NOUN	tyrannie
cette	DET	ce
et	CCONJ	et
volume	NOUN	volume
Paris	PROPN	Paris
minutes	NOUN	minute
côte	NOUN	côte
l'	DET	le
mars	NOUN	mars
doit	VERB	devoir
et	CCONJ	et
,	PUNCT	,
suivre	VERB	suivre
sans	ADP	sans
Mars	PROPN	Mars
ce	PRON	ce
justice	NOUN	justice
et	CCONJ	et
les	PRON	le
dans	ADP	dans
d'	ADP	de
