épouvantable	ADJ	épouvantable
amertume	NOUN	amertume
,	PUNCT	,
infirme	NOUN	infirme
Bénissez	VERB	bénir
adorable	ADJ	adorable
avenir	NOUN	avenir
État	NOUN	état
gris	ADJ	gris
.	PUNCT	.
renommée	NOUN	renommée
une	DET	un
c'	PRON	ce
finirez	VERB	finir
.	PUNCT	.
pas	ADV	pas
vous	PRON	vous
plus	ADV	plus
paire	NOUN	paire
changer	VERB	changer
que	SCONJ	que
le	DET	le
prendre	VERB	prendre
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
Vous	PRON	vous
vous	PRON	vous
pas	ADV	pas
de	ADP	de
pire	ADJ	pire
vous	PRON	vous
.	PUNCT	.
K.	PROPN	K.
lui	PRON	lui
accuse	VERB	accuse
près	ADV	près
le	DET	le
capable	ADJ	capable
qu'	SCONJ	que
le	DET	le
ne	ADV	ne
faut	VERB	falloir
qu'	SCONJ	que
de	ADP	de
il	PRON	il
ne	ADV	ne
minus	NOUN	minus
admirateurs	NOUN	admirateur
,	PUNCT	,
plus	ADV	plus
une	DET	un
qui	PRON	qui
est	AUX	être
des	DET	un
ce	DET	ce
étoiles	NOUN	étoile
résume	VERB	résume
vous	PRON	vous
la	DET	le
pas	ADV	pas
je	PRON	je
sont	AUX	être
propre	ADJ	propre
leur	DET	leur
période	NOUN	période
place	NOUN	place
vous	PRON	vous
tomber	VERB	tomber
non	ADV	non
jamais	ADV	jamais
ne	ADV	ne
,	PUNCT	,
pas	ADV	pas
expérience	NOUN	expérience
avoir	AUX	avoir
succès	NOUN	succès
que	SCONJ	que
se	PRON	se
me	PRON	me
l'	DET	le
paire	NOUN	paire
horreur	NOUN	horreur
mal	NOUN	mal
foules	NOUN	foule
de	ADP	de
de	ADP	de
que	SCONJ	que
appris	VERB	apprendre
dans	ADP	dans
partage	VERB	partager
la	DET	le
de	ADP	de
celles	PRON	celui
croyez	VERB	croire
devriez	VERB	devoir
,	PUNCT	,
soit	AUX	être
imbécile	NOUN	imbécile
vous	PRON	vous
tout-puissant	ADJ	tout-puissant
de	ADP	de
chêne	NOUN	chêne
qui	PRON	qui
un	DET	un
mer	NOUN	mer
le	DET	le
sorte	NOUN	sorte
êtes	AUX	être
qui	PRON	qui
et	CCONJ	et
patron	NOUN	patron
du	ADP	de
vie	NOUN	vie
de	ADP	de
vous	PRON	vous
