voisine	NOUN	voisin
Institut	NOUN	institut
en	ADP	en
moi	PRON	moi
d'	ADP	de
leur	DET	leur
de	ADP	de
Geneviève	PROPN	Geneviève
le	DET	le
studio	NOUN	studio
de	ADP	de
cachés	VERB	cacher
nuit	NOUN	nuit
pour	ADP	pour
sonné	VERB	sonner
Sainte	PROPN	Sainte
rue	NOUN	rue
Saint-Jacques-du-Haut-Pas	PROPN	Saint-Jacques-du-Haut-Pas
.	PUNCT	.
brique	NOUN	brique
pieds	NOUN	pied
vitres	NOUN	vitre
novembre	NOUN	novembre
transformé	VERB	transformer
droite	NOUN	droite
avenir	NOUN	avenir
ses	DET	son
Une	DET	un
tinrent	VERB	tenir
était	AUX	être
les	PRON	le
numéro	NOUN	numéro
années	NOUN	année
pour	ADP	pour
immeuble	NOUN	immeuble
des	DET	un
était	AUX	être
.	PUNCT	.
?	PUNCT	?
s'	PRON	se
ne	ADV	ne
Je	PRON	je
le	DET	le
M.	NOUN	m.
.	PUNCT	.
dans	ADP	dans
heures	NOUN	heure
des	ADP	de
découvrit	VERB	découvrir
porte	NOUN	porte
je	PRON	je
rez-de-chaussée	NOUN	rez-de-chaussée
hôtel	NOUN	hôtel
était	AUX	être
de	ADP	de
de	ADP	de
fenêtres	NOUN	fenêtre
voisine	ADJ	voisin
!	PUNCT	!
la	DET	le
âge	NOUN	âge
,	PUNCT	,
et	CCONJ	et
le	DET	le
des	ADP	de
rappelant	VERB	rappeler
.	PUNCT	.
Elle	PRON	lui
,	PUNCT	,
une	DET	un
avait	AUX	avoir
du	ADP	de
deux	NUM	deux
,	PUNCT	,
la	DET	le
vers	ADP	vers
un	DET	un
l'	PRON	l'
Elle	PRON	lui
ensoleillée	ADJ	ensoleillé
un	DET	un
,	PUNCT	,
pas	NOUN	pas
Et	CCONJ	et
abandonnés	VERB	abandonner
La	DET	le
atelier	NOUN	atelier
avril	NOUN	avril
doucement	ADV	doucement
.	PUNCT	.
-	NOUN	-
de	ADP	de
Il	PRON	il
manifestations	NOUN	manifestation
pour	ADP	pour
porte	NOUN	porte
,	PUNCT	,
une	DET	un
dans	ADP	dans
quand	SCONJ	quand
.	PUNCT	.
Quelques	DET	quelque
fixée	VERB	fixer
petite	ADJ	petit
