la	DET	le
mains	NOUN	main
lumière	NOUN	lumière
comme	ADP	comme
quand	SCONJ	quand
l'	DET	le
,	PUNCT	,
plus	ADV	plus
,	PUNCT	,
dans	ADP	dans
de	ADP	de
,	PUNCT	,
de	ADP	de
,	PUNCT	,
en	ADP	en
galvaudé	VERB	galvauder
n'	ADV	n'
en	ADP	en
des	DET	un
,	PUNCT	,
qu'	SCONJ	que
.	PUNCT	.
aurait	AUX	avoir
espagnole	ADJ	espagnol
aux	ADP	à
tant	ADV	tant
qu'	PRON	qu'
en	ADP	en
L'	DET	le
cigarette	NOUN	cigarette
barman	NOUN	barman
le	DET	le
chemise	NOUN	chemise
l'	DET	le
fréquentent	VERB	fréquenter
écriture	NOUN	écriture
l'	DET	le
son	DET	son
,	PUNCT	,
autre	ADJ	autre
préoccupation	NOUN	préoccupation
fond	NOUN	fond
adresser	VERB	adresser
un	DET	un
goût	NOUN	goût
que	SCONJ	que
Jamaïque	PROPN	Jamaïque
cette	DET	ce
.	PUNCT	.
secrétaire	NOUN	secrétaire
et	CCONJ	et
ai	VERB	avoir
Je	PRON	je
la	DET	le
nouveaux	ADJ	nouveau
lourde	ADJ	lourd
la	DET	le
à	ADP	à
attention	NOUN	attention
a	AUX	avoir
le	DET	le
la	DET	le
à	ADP	à
«	PUNCT	«
j'	PRON	je
un	DET	un
cliquetaient	VERB	cliqueter
chose	PRON	chose
des	ADP	de
en	PRON	en
ses	DET	son
de	ADP	de
survie	NOUN	survie
goût	NOUN	goût
multiples	ADJ	multiple
état	NOUN	état
murs	NOUN	mur
le	DET	le
et	CCONJ	et
avale	VERB	avale
grand	ADJ	grand
sourcils	NOUN	sourcil
poignets	NOUN	poignet
moleskine	NOUN	moleskine
le	DET	le
argent	NOUN	argent
.	PUNCT	.
--	PUNCT	--
début	NOUN	début
au	ADP	au
mon	DET	mon
penser	VERB	penser
que	SCONJ	que
rempli	VERB	remplir
aussi	ADV	aussi
la	DET	le
,	PUNCT	,
qualité	NOUN	qualité
,	PUNCT	,
pourquoi	ADV	pourquoi
Il	PRON	il
de	ADP	de
se	PRON	se
thème	NOUN	thème
vers	ADP	vers
,	PUNCT	,
moleskine	NOUN	moleskine
,	PUNCT	,
retenu	VERB	retenir
est	AUX	être
tables	NOUN	table
à	ADP	à
en	ADP	en
épisodes	NOUN	épisode
j'	PRON	je
le	DET	le
première	ADJ	premier
sorti	VERB	sortir
histoire	NOUN	histoire
plongez	VERB	plonger
Louis	PROPN	Louis
le	PRON	le
ce	DET	ce
bord	NOUN	bord
qui	PRON	qui
avenir	NOUN	avenir
Cette	DET	ce
planteur	NOUN	planteur
au	ADP	au
.	PUNCT	.
des	DET	un
profite	VERB	profite
claire	ADJ	clair
Il	PRON	il
en	ADP	en
banquettes	NOUN	banquette
Mais	CCONJ	mais
plongé	VERB	plonger
,	PUNCT	,
heure	NOUN	heure
Dehors	ADV	dehors
XVII	ADJ	xvii
sentiment	NOUN	sentiment
bouffée	NOUN	bouffée
ne	ADV	ne
point	NOUN	point
semblait	VERB	sembler
plus	ADV	plus
peut-être	ADV	peut-être
micro	NOUN	micro
Radio-Mundial	PROPN	Radio-Mundial
café	NOUN	café
jamais	ADV	jamais
les	DET	le
Il	PRON	il
XVII	ADJ	xvii
.	PUNCT	.
un	DET	un
.	PUNCT	.
Comme	SCONJ	comme
minérale	ADJ	minéral
de	ADP	de
d'	ADP	de
prochaines	ADJ	prochain
allumé	VERB	allumer
mon	DET	mon
,	PUNCT	,
Radio-Mundial	PROPN	Radio-Mundial
prose	NOUN	prose
de	ADP	de
soir	NOUN	soir
-t	PRON	-t
dont	PRON	dont
d'	ADP	de
.	PUNCT	.
grand	ADJ	grand
col	NOUN	col
est	AUX	être
est	AUX	être
l'	DET	le
raconter	VERB	raconter
on	PRON	on
esprit	NOUN	esprit
regardait	VERB	regarder
voix	NOUN	voix
Elle	PRON	lui
pas	ADV	pas
Son	DET	son
dans	ADP	dans
près	ADV	près
temps	NOUN	temps
eau	NOUN	eau
porté	VERB	porter
heure	NOUN	heure
,	PUNCT	,
pu	VERB	pouvoir
plus	ADV	plus
le	DET	le
m'	PRON	me
XVII	ADJ	xvii
d'	DET	d'
machine	NOUN	machine
qui	PRON	qui
dans	ADP	dans
sac	NOUN	sac
ou	CCONJ	ou
années	NOUN	année
que	PRON	que
maintenant	ADV	maintenant
son	DET	son
Sirvent	PROPN	Sirvent
visage	NOUN	visage
ne	ADV	ne
de	ADP	de
le	DET	le
aussi	ADV	aussi
des	ADP	de
»	PUNCT	»
l'	DET	le
rend	VERB	rendre
le	DET	le
langue	NOUN	langue
chaque	DET	chaque
n'	ADV	n'
Louis	PROPN	Louis
dans	ADP	dans
déjà	ADV	déjà
très	ADV	très
lire	VERB	lire
pas	ADV	pas
en	ADP	en
des	ADP	de
.	PUNCT	.
éprouve	VERB	éprouve
en	ADP	en
est	AUX	être
elle	PRON	lui
il	PRON	il
D'	ADP	de
tissu	NOUN	tissu
j'	PRON	je
habitude	NOUN	habitude
tout	ADJ	tout
personnes	NOUN	personne
m'	PRON	me
a	AUX	avoir
sieste	NOUN	sieste
sais	VERB	savoir
et	CCONJ	et
sorte	NOUN	sorte
et	CCONJ	et
fouillait	VERB	fouiller
est	AUX	être
des	ADP	de
aventures	NOUN	aventure
Je	PRON	je
guère	ADV	guère
quand	SCONJ	quand
vie	NOUN	vie
parole	NOUN	parole
.	PUNCT	.
Louis	PROPN	Louis
la	DET	le
est	AUX	être
touche	VERB	touche
comme	ADP	comme
et	CCONJ	et
m'	PRON	me
vingt	NUM	vingt
la	DET	le
et	CCONJ	et
pas	ADV	pas
de	ADP	de
verre	NOUN	verre
chaleur	NOUN	chaleur
un	DET	un
Temple	PROPN	Temple
mêle	VERB	mêle
tache	NOUN	tache
peu	NOUN	peu
.	PUNCT	.
aventures	NOUN	aventure
.	PUNCT	.
vous	PRON	vous
,	PUNCT	,
on	PRON	on
de	ADP	de
Louis	PROPN	Louis
espagnole	ADJ	espagnol
fur	NOUN	fur
après	ADP	après
l'	DET	le
pudeur	NOUN	pudeur
d'	ADP	de
l'	DET	le
ne	ADV	ne
,	PUNCT	,
je	PRON	je
a	AUX	avoir
,	PUNCT	,
qui	PRON	qui
que	PRON	que
,	PUNCT	,
livres	NOUN	livre
bar	NOUN	bar
je	PRON	je
cette	DET	ce
fer	NOUN	fer
pardonne	VERB	pardonne
tombée	NOUN	tombée
J'	PRON	je
,	PUNCT	,
sombre	ADJ	sombre
lieu	NOUN	lieu
l'	PRON	l'
des	ADP	de
côté	NOUN	côté
ai	AUX	avoir
résume	VERB	résume
au	ADP	au
traits	NOUN	trait
.	PUNCT	.
écoutant	VERB	écouter
la	DET	le
bien	ADV	bien
je	PRON	je
la	DET	le
retour	NOUN	retour
évasion	NOUN	évasion
la	PRON	le
bras	NOUN	bras
pour	ADP	pour
pour	ADP	pour
n'	ADV	n'
de	ADP	de
bien	ADV	bien
de	ADP	de
que	SCONJ	que
-là	NOUN	-là
inconnu	NOUN	inconnu
peu	ADV	peu
la	DET	le
et	CCONJ	et
étais	AUX	être
,	PUNCT	,
mesure	NOUN	mesure
me	PRON	me
âge	NOUN	âge
hypothétiques	ADJ	hypothétique
,	PUNCT	,
les	DET	le
combien	ADV	combien
imagine	VERB	imagine
thème	NOUN	thème
je	PRON	je
rapportent	VERB	rapporter
pénétrant	VERB	pénétrer
pas	ADV	pas
-là	NOUN	-là
,	PUNCT	,
café	NOUN	café
enfant	NOUN	enfant
d'	ADP	de
des	ADP	de
et	CCONJ	et
écrit	VERB	écrire
aimé	VERB	aimer
mène	VERB	mener
pas	ADV	pas
eau	NOUN	eau
.	PUNCT	.
en	PRON	en
à	ADP	à
allons	VERB	aller
apprêtais	VERB	apprêter
,	PUNCT	,
affalé	VERB	affaler
avoué	VERB	avouer
le	DET	le
programmes	NOUN	programme
langues	NOUN	langue
pas	ADV	pas
la	DET	le
mon	DET	mon
C'	PRON	ce
bois	NOUN	bois
être	AUX	être
,	PUNCT	,
de	DET	de
,	PUNCT	,
dont	PRON	dont
vue	NOUN	vue
aspire	VERB	aspire
La	DET	le
littéraire	ADJ	littéraire
voix	NOUN	voix
de	ADP	de
en	ADP	en
la	PRON	le
Algésiras	PROPN	Algésiras
où	ADV	où
au	ADP	au
Je	PRON	je
les	DET	le
de	ADP	de
le	DET	le
le	DET	le
s'	PRON	se
mort	ADJ	mort
sur	ADP	sur
au	ADP	au
