presque	ADV	presque
première	ADJ	premier
le	DET	le
semblait	VERB	sembler
femme	NOUN	femme
je	PRON	je
jours	NOUN	jour
hôtel	NOUN	hôtel
mélange	NOUN	mélange
avenues	NOUN	avenue
rues	NOUN	rue
elle	PRON	lui
m'	PRON	me
:	PUNCT	:
nombreuse	ADJ	nombreux
je	PRON	je
qu'	PRON	qu'
.	PUNCT	.
peut-être	ADV	peut-être
l'	DET	le
tous	ADJ	tout
le	PRON	le
clientèle	NOUN	clientèle
pour	ADP	pour
?	PUNCT	?
et	CCONJ	et
traduise	VERB	traduire
deux	NUM	deux
avant	ADP	avant
mon	DET	mon
s'	SCONJ	s'
un	DET	un
à	ADP	à
du	ADP	de
suicide	NOUN	suicide
m'	PRON	me
suicide	NOUN	suicide
.	PUNCT	.
A	ADP	à
nouveau	ADJ	nouveau
,	PUNCT	,
.	PUNCT	.
Le	DET	le
moment	NOUN	moment
ai	AUX	avoir
me	PRON	me
-là	NOUN	-là
jardins	NOUN	jardin
impression	NOUN	impression
La	DET	le
que	SCONJ	que
qui	PRON	qui
.	PUNCT	.
d'	ADP	de
des	DET	un
de	ADP	de
l'	DET	le
ne	ADV	ne
boire	VERB	boire
.	PUNCT	.
d'	ADP	de
couloirs	NOUN	couloir
Milan	PROPN	Milan
bar	NOUN	bar
C'	PRON	ce
subsiste	VERB	subsiste
»	PUNCT	»
de	ADP	de
librairie	NOUN	librairie
»	PUNCT	»
déserte	ADJ	désert
et	CCONJ	et
à	ADP	à
librairie	NOUN	librairie
était	AUX	être
commis	VERB	commettre
du	ADP	de
la	DET	le
un	PRON	un
dans	ADP	dans
?	PUNCT	?
ai	AUX	avoir
venue	VERB	venir
comme	SCONJ	comme
et	CCONJ	et
pas	ADV	pas
Elle	PRON	lui
avait	AUX	avoir
le	DET	le
dans	ADP	dans
attendre	VERB	attendre
moi	PRON	moi
autour	ADV	autour
brune	ADJ	brun
Les	DET	le
expliquait	VERB	expliquer
s'	PRON	se
.	PUNCT	.
seule	ADJ	seul
ville	NOUN	ville
qu'	SCONJ	que
la	DET	le
l'	DET	le
15	NUM	15
gare	NOUN	gare
maladresse	NOUN	maladresse
façade	NOUN	façade
sa	DET	son
la	DET	le
Que	PRON	que
train	NOUN	train
.	PUNCT	.
:	PUNCT	:
et	CCONJ	et
Il	PRON	il
contraire	NOUN	contraire
Mah	PROPN	Mah
d'	ADP	de
avait	AUX	avoir
à	ADP	à
fraîcheur	NOUN	fraîcheur
aujourd'hui	ADV	aujourd'hui
appelé	VERB	appeler
dans	ADP	dans
étais	AUX	être
J'	PRON	je
un	DET	un
magasins	NOUN	magasin
du	ADP	de
Une	DET	un
échouant	VERB	échouer
,	PUNCT	,
sinon	ADV	sinon
ne	ADV	ne
Une	DET	un
à	ADP	à
réprobateur	ADJ	réprobateur
le	DET	le
mois	NOUN	mois
une	DET	un
quelques	DET	quelque
j'	PRON	je
son	DET	son
.	PUNCT	.
au	ADP	au
,	PUNCT	,
,	PUNCT	,
aspect	NOUN	aspect
Place	NOUN	place
beaucoup	ADV	beaucoup
Encore	ADV	encore
nous	PRON	nous
»	PUNCT	»
demander	VERB	demander
ambulance	NOUN	ambulance
rien	PRON	rien
étaient	AUX	être
l'	PRON	l'
l'	DET	le
qui	PRON	qui
que	SCONJ	que
dont	PRON	dont
des	ADP	de
sous	ADP	sous
.	PUNCT	.
un	PRON	un
tombait	VERB	tomber
,	PUNCT	,
,	PUNCT	,
puits	NOUN	puits
Victor	PROPN	Victor
la	DET	le
long	ADV	long
avec	ADP	avec
,	PUNCT	,
chose	NOUN	chose
les	DET	le
sorti	VERB	sortir
Mah	PROPN	Mah
la	DET	le
un	DET	un
qui	PRON	qui
moment	NOUN	moment
trois	NUM	trois
avait	AUX	avoir
à	ADP	à
août	NOUN	août
le	DET	le
terme	NOUN	terme
au	ADP	au
nous	PRON	nous
fond	NOUN	fond
ce	DET	ce
16	NUM	16
tenait	VERB	tenir
,	PUNCT	,
décision	NOUN	décision
,	PUNCT	,
du	ADP	de
vous	PRON	vous
cette	DET	ce
soleil	NOUN	soleil
veille	NOUN	veille
devant	ADP	devant
suis	AUX	être
française	ADJ	français
,	PUNCT	,
Milan	PROPN	Milan
Vous	PRON	vous
en	ADP	en
que	PRON	que
l'	DET	le
au	ADP	au
,	PUNCT	,
une	DET	un
qui	PRON	qui
,	PUNCT	,
du	ADP	de
Emmanuel	PROPN	Emmanuel
mois	NOUN	mois
passer	VERB	passer
ville	NOUN	ville
stationnaient	VERB	stationner
.	PUNCT	.
au-delà	ADV	au-delà
Une	DET	un
des	DET	un
autre	ADJ	autre
bar	NOUN	bar
eu	VERB	avoir
encore	ADV	encore
une	DET	un
Tout	ADJ	tout
qu'	SCONJ	que
Française	NOUN	français
de	ADP	de
hôtel	NOUN	hôtel
avenues	NOUN	avenue
.	PUNCT	.
d'	ADP	de
et	CCONJ	et
Il	PRON	il
dans	ADP	dans
avait	VERB	avoir
la	DET	le
fermés	VERB	fermer
la	DET	le
ici	ADV	ici
.	PUNCT	.
à	ADP	à
grande	ADJ	grand
puits	NOUN	puits
à	ADP	à
ville	NOUN	ville
l'	DET	le
client	NOUN	client
L'	DET	le
avais	AUX	avoir
chauffeur	NOUN	chauffeur
police	NOUN	police
prendre	VERB	prendre
,	PUNCT	,
qui	PRON	qui
heure	NOUN	heure
nous	PRON	nous
les	DET	le
un	DET	un
.	PUNCT	.
leur	PRON	leur
leur	PRON	leur
le	DET	le
était	AUX	être
Aujourd'hui	ADV	aujourd'hui
un	DET	un
de	ADP	de
hésité	VERB	hésiter
Elle	PRON	lui
aussi	ADV	aussi
la	DET	le
attendaient	VERB	attendre
fond	NOUN	fond
à	ADP	à
vu	VERB	voir
la	DET	le
y	PRON	y
le	DET	le
l'	PRON	l'
moment	NOUN	moment
jamais	ADV	jamais
la	DET	le
reprendraient	VERB	reprendre
homme	NOUN	homme
déposé	VERB	déposer
sentir	VERB	sentir
consigne	NOUN	consigne
j'	PRON	je
rencontrés	VERB	rencontrer
étais	AUX	être
soleil	NOUN	soleil
ce	DET	ce
les	DET	le
pour	ADP	pour
d'	ADP	de
faire	VERB	faire
nous	PRON	nous
isole	VERB	isole
venue	VERB	venir
.	PUNCT	.
avait	AUX	avoir
la	DET	le
au	ADP	au
et	CCONJ	et
blond	ADJ	blond
un	DET	un
matin	NOUN	matin
la	DET	le
me	PRON	me
résonnait	VERB	résonner
j'	PRON	je
Après	ADP	après
dit	VERB	dire
un	DET	un
barman	NOUN	barman
pour	ADP	pour
écoutais	VERB	écouter
.	PUNCT	.
jus	NOUN	jus
Au	ADP	au
Milan	PROPN	Milan
visitaient	VERB	visiter
-là	NOUN	-là
j'	PRON	je
la	DET	le
vides	ADJ	vide
cherche	VERB	cherche
je	PRON	je
:	PUNCT	:
soulagement	NOUN	soulagement
centaines	NOUN	centaine
,	PUNCT	,
elle	PRON	lui
femme	NOUN	femme
de	ADP	de
s'	PRON	se
,	PUNCT	,
rayon	NOUN	rayon
pas	ADV	pas
rien	PRON	rien
au	ADP	au
,	PUNCT	,
J'	PRON	je
je	PRON	je
valise	NOUN	valise
ne	ADV	ne
plus	ADV	plus
.	PUNCT	.
par	ADP	par
du	ADP	de
peu	ADV	peu
soleil	NOUN	soleil
en	PRON	en
des	DET	un
y	PRON	y
et	CCONJ	et
moi	PRON	moi
Je	PRON	je
un	DET	un
de	ADP	de
pied	NOUN	pied
nom	NOUN	nom
retournés	VERB	retourner
mouvement	NOUN	mouvement
un	DET	un
veille	NOUN	veille
m'	PRON	me
donne	VERB	donne
de	ADP	de
dans	ADP	dans
tuer	VERB	tuer
d'	ADP	de
jours	NOUN	jour
le	DET	le
retrouvé	VERB	retrouver
indiqué	VERB	indiquer
avait	AUX	avoir
mes	DET	mon
Pas	ADV	pas
pour	ADP	pour
aide	NOUN	aide
.	PUNCT	.
chaleur	NOUN	chaleur
,	PUNCT	,
blockhaus	NOUN	blockhaus
j'	PRON	je
l'	DET	le
de	ADP	de
Allemands	NOUN	allemand
avait	AUX	avoir
suis	AUX	être
,	PUNCT	,
après-midi	NOUN	après-midi
ma	DET	mon
à	ADP	à
gigantesque	ADJ	gigantesque
feuilletais	VERB	feuilleter
un	DET	un
Milan	PROPN	Milan
A	ADP	à
.	PUNCT	.
Je	PRON	je
août	NOUN	août
août	NOUN	août
,	PUNCT	,
de	ADP	de
fermé	VERB	fermer
ont	AUX	avoir
aussitôt	ADV	aussitôt
et	CCONJ	et
ouvert	VERB	ouvrir
cet	DET	ce
entraîné	VERB	entraîner
les	DET	le
est	AUX	être
.	PUNCT	.
dans	ADP	dans
de	ADP	de
le	DET	le
ville	NOUN	ville
des	ADP	de
et	CCONJ	et
était	AUX	être
et	CCONJ	et
sur	ADP	sur
taxis	NOUN	taxi
cette	DET	ce
de	ADP	de
«	PUNCT	«
pause	NOUN	pause
a	AUX	avoir
train	NOUN	train
du	ADP	de
fois	NOUN	fois
le	DET	le
année	NOUN	année
la	DET	le
l'	DET	le
un	DET	un
des	ADP	de
le	DET	le
était	AUX	être
dont	PRON	dont
des	DET	un
.	PUNCT	.
de	ADP	de
de	ADP	de
Cinq	NUM	Cinq
n'	ADV	n'
un	DET	un
hôtel	NOUN	hôtel
derrière	ADP	derrière
étaient	AUX	être
rentrer	VERB	rentrer
sûr	ADJ	sûr
l'	DET	le
mois	NOUN	mois
pu	VERB	pouvoir
«	PUNCT	«
.	PUNCT	.
parlaient	VERB	parler
ce	DET	ce
œil	NOUN	œil
,	PUNCT	,
mais	CCONJ	mais
,	PUNCT	,
en	ADP	en
longeait	VERB	longer
au	ADP	au
bien	ADV	bien
je	PRON	je
,	PUNCT	,
orange	NOUN	orange
étais	AUX	être
ne	ADV	ne
ce	PRON	ce
les	DET	le
instant	NOUN	instant
l'	DET	le
touristes	NOUN	touriste
-	PROPN	-
l'	DET	le
gare	NOUN	gare
venait	VERB	venir
Paris	PROPN	Paris
Aujourd'hui	ADV	aujourd'hui
.	PUNCT	.
,	PUNCT	,
:	PUNCT	:
de	ADP	de
-elle	PRON	lui
grave	ADJ	grave
meurtriers	ADJ	meurtrier
considéré	VERB	considérer
qu'	SCONJ	que
août	NOUN	août
s'	PRON	se
à	ADP	à
Le	DET	le
et	CCONJ	et
avenue	NOUN	avenue
Italiens	NOUN	italien
,	PUNCT	,
d'	ADP	de
»	PUNCT	»
me	PRON	me
seul	ADJ	seul
homme	NOUN	homme
fallait	VERB	falloir
de	ADP	de
de	ADP	de
on	PRON	on
chacun	PRON	chacun
elle	PRON	lui
,	PUNCT	,
de	ADP	de
du	ADP	de
incapable	ADJ	incapable
inaperçue	ADJ	inaperçu
,	PUNCT	,
aussi	ADV	aussi
se	PRON	se
l'	DET	le
avais	AUX	avoir
au	ADP	au
étiez	VERB	être
entrefilet	NOUN	entrefilet
client	NOUN	client
me	PRON	me
plus	ADV	plus
la	DET	le
jusqu'	ADP	jusque
là	ADV	là
Victor	PROPN	Victor
conversation	NOUN	conversation
la	DET	le
soir	NOUN	soir
une	DET	un
en	ADP	en
mon	DET	mon
Corriere	PROPN	Corriere
août	NOUN	août
Il	PRON	il
le	DET	le
autre	NOUN	autre
d'	ADP	de
Milan	PROPN	Milan
avais	AUX	avoir
proposé	VERB	proposer
approuvé	VERB	approuver
plomb	NOUN	plomb
.	PUNCT	.
réfugié	VERB	réfugier
un	PRON	un
de	ADP	de
ce	DET	ce
moi	PRON	moi
me	PRON	me
,	PUNCT	,
-elle	PRON	lui
hésitation	NOUN	hésitation
qu'	SCONJ	que
de	ADP	de
la	DET	le
cette	DET	ce
assez	ADV	assez
pour	ADP	pour
cette	DET	ce
l'	DET	le
de	ADP	de
dans	ADP	dans
de	ADP	de
reviendront	VERB	revenir
et	CCONJ	et
ce	DET	ce
soir	NOUN	soir
à	ADP	à
ce	DET	ce
d'	ADP	de
me	PRON	me
bien	ADV	bien
décrire	VERB	décrire
cela	PRON	cela
avant	ADP	avant
français	NOUN	français
tout	ADJ	tout
le	DET	le
,	PUNCT	,
,	PUNCT	,
galerie	NOUN	galerie
fournir	VERB	fournir
marcher	VERB	marcher
qui	PRON	qui
la	DET	le
d'	ADP	de
,	PUNCT	,
avais	VERB	avoir
Ils	PRON	il
en	ADP	en
.	PUNCT	.
je	PRON	je
.	PUNCT	.
ville	NOUN	ville
vêtement	NOUN	vêtement
pour	ADP	pour
Était	AUX	être
engagé	VERB	engager
.	PUNCT	.
serions	AUX	être
Le	DET	le
d'	ADP	de
dans	ADP	dans
,	PUNCT	,
à	ADP	à
certain	ADJ	certain
me	PRON	me
vérifier	VERB	vérifier
parlait	VERB	parler
.	PUNCT	.
bar	NOUN	bar
s'	PRON	se
,	PUNCT	,
la	DET	le
bureau	NOUN	bureau
,	PUNCT	,
.	PUNCT	.
Dôme	PROPN	Dôme
lendemain	NOUN	lendemain
monté	VERB	monter
la	DET	le
tout	PRON	tout
on	PRON	on
.	PUNCT	.
la	DET	le
si	SCONJ	si
ponctuer	VERB	ponctuer
conduire	VERB	conduire
-il	PRON	il
au	ADP	au
souvenir	NOUN	souvenir
mois	NOUN	mois
étrangère	ADJ	étranger
.	PUNCT	.
!	PUNCT	!
à	ADP	à
.	PUNCT	.
se	PRON	se
de	ADP	de
effacé	VERB	effacer
