cette	DET	ce
l'	NOUN	l'
usé	VERB	user
lui	PRON	lui
était	AUX	être
le	PRON	le
n'	ADV	n'
Avocat	NOUN	avocat
Raz	PROPN	Raz
Inutile	ADV	inutile
craint	VERB	craindre
quinze	NUM	quinze
les	DET	le
difficulté	NOUN	difficulté
féminité	NOUN	féminité
22	NUM	22
de	ADP	de
a	AUX	avoir
attendre	VERB	attendre
si	SCONJ	si
plus	ADV	plus
sur	ADP	sur
diplômes	NOUN	diplôme
hésiter	VERB	hésiter
à	ADP	à
la	DET	le
quelques	DET	quelque
ce	PRON	ce
D.E.S.S.	NOUN	d.e.s.s.
.	PUNCT	.
violente	ADJ	violent
un	DET	un
un	DET	un
.	PUNCT	.
le	DET	le
s'	PRON	se
.	PUNCT	.
,	PUNCT	,
trente	NUM	trente
avait	AUX	avoir
un	DET	un
quarantaine	NOUN	quarantaine
l'	PRON	l'
elle	PRON	lui
Notamment	ADV	notamment
mordre	VERB	mordre
était	AUX	être
,	PUNCT	,
type	NOUN	type
,	PUNCT	,
de	ADP	de
son	DET	son
.	PUNCT	.
question	NOUN	question
7	NUM	7
navire	NOUN	navire
pavillon	NOUN	pavillon
jolie	ADJ	joli
,	PUNCT	,
heure	NOUN	heure
toi	PRON	toi
désastre	NOUN	désastre
parisiennes	ADJ	parisien
de	ADP	de
de	ADP	de
d'	ADP	de
,	PUNCT	,
prendre	VERB	prendre
,	PUNCT	,
sa	DET	son
avait	VERB	avoir
furent	AUX	être
Jane	PROPN	Jane
,	PUNCT	,
stage	NOUN	stage
ports	NOUN	port
,	PUNCT	,
de	ADP	de
entouré	VERB	entourer
discrètes	ADJ	discret
chahuté	VERB	chahuter
un	DET	un
et	CCONJ	et
.	PUNCT	.
pour	ADP	pour
ne	ADV	ne
soixante-douze	NUM	soixante-douze
années	NOUN	année
complexe	NOUN	complexe
s'	PRON	se
avocate	NOUN	avocat
sa	DET	son
30	NUM	30
ses	DET	son
.	PUNCT	.
cassa	VERB	casser
cette	DET	ce
.	PUNCT	.
force	NOUN	force
déviait	VERB	dévier
des	ADP	de
d'	ADP	de
me	PRON	me
posa	VERB	poser
aussi	ADV	aussi
—	PUNCT	—
gigantesque	ADJ	gigantesque
et	CCONJ	et
Grande	ADJ	grand
éclaircit	VERB	éclaircir
.	PUNCT	.
vent	NOUN	vent
sa	DET	son
marée	NOUN	marée
