lui	PRON	lui
y	PRON	y
en	ADP	en
laquelle	PRON	lequel
moquette	NOUN	moquette
son	DET	son
jouait	VERB	jouer
passée	VERB	passer
que	SCONJ	que
s'	PRON	se
toute	ADV	toute
arbres	NOUN	arbre
.	PUNCT	.
Baher	PROPN	Baher
un	DET	un
de	ADP	de
,	PUNCT	,
,	PUNCT	,
.	PUNCT	.
endroit	NOUN	endroit
de	ADP	de
de	ADP	de
dans	ADP	dans
à	ADP	à
souvenir	NOUN	souvenir
portée	VERB	porter
la	DET	le
étaient	AUX	être
de	ADP	de
couverts	ADJ	couvert
sa	DET	son
son	DET	son
coup	NOUN	coup
n'	ADV	n'
,	PUNCT	,
officiels	NOUN	officiel
isolait	VERB	isoler
arrêt	NOUN	arrêt
,	PUNCT	,
brûlées	VERB	brûler
son	DET	son
Elle	PRON	lui
avait	AUX	avoir
ans	NOUN	an
jour	NOUN	jour
vie	NOUN	vie
dernière	ADJ	dernier
SOLEC	PROPN	SOLEC
Et	CCONJ	et
lèvres	NOUN	lèvre
étaient	AUX	être
«	PUNCT	«
dans	ADP	dans
dans	ADP	dans
peu	ADV	peu
machine	NOUN	machine
1	NUM	1
fois	NOUN	fois
des	ADP	de
feuillus	NOUN	feuillu
L'	DET	le
tôt	ADV	tôt
Il	PRON	il
qu'	PRON	qu'
Combien	ADV	combien
le	DET	le
des	ADP	de
,	PUNCT	,
vague	NOUN	vague
Phase	NOUN	phase
.	PUNCT	.
coupés	VERB	couper
nonchalant	ADJ	nonchalant
femme	NOUN	femme
courir	VERB	courir
blanc	ADJ	blanc
de	ADP	de
la	DET	le
son	DET	son
la	DET	le
escalier	NOUN	escalier
...	PUNCT	...
s'	PRON	se
H.	NOUN	h.
!	PUNCT	!
cette	DET	ce
répétés	VERB	répéter
,	PUNCT	,
d'	ADP	de
longs	ADJ	long
«	PUNCT	«
:	PUNCT	:
.	PUNCT	.
L'	DET	le
une	DET	un
sur	ADP	sur
Plusieurs	DET	plusieurs
du	ADP	de
étirait	VERB	étirer
du	ADP	de
commandement	NOUN	commandement
d'	ADP	de
,	PUNCT	,
pouvait	VERB	pouvoir
Classe	NOUN	classe
regard	NOUN	regard
Contact	NOUN	contact
sa	DET	son
,	PUNCT	,
jour	NOUN	jour
avait	VERB	avoir
seconde	ADJ	second
ce	PRON	ce
visite	NOUN	visite
Et	CCONJ	et
au	ADP	au
