.	PUNCT	.
.	PUNCT	.
exotique	ADJ	exotique
incapable	ADJ	incapable
belle	ADJ	bel
méthodiquement	ADV	méthodiquement
lu	VERB	lire
si	SCONJ	si
ses	DET	son
.	PUNCT	.
à	ADP	à
avait	AUX	avoir
martelé	VERB	marteler
est	AUX	être
de	ADP	de
La	DET	le
.	PUNCT	.
d'	ADP	de
sur	ADP	sur
Le	DET	le
console	NOUN	console
qui	PRON	qui
Ce	DET	ce
pour	ADP	pour
Sur	ADP	sur
une	DET	un
,	PUNCT	,
à	ADP	à
la	DET	le
téléphone	NOUN	téléphone
me	PRON	me
une	DET	un
de	ADP	de
,	PUNCT	,
que	SCONJ	que
la	DET	le
argent	NOUN	argent
.	PUNCT	.
C'	PRON	ce
gracieusement	ADV	gracieusement
gémissement	NOUN	gémissement
en	ADP	en
de	ADP	de
,	PUNCT	,
il	PRON	il
avait	VERB	avoir
son	DET	son
pied	NOUN	pied
épaules	NOUN	épaule
la	DET	le
du	ADP	de
d'	ADP	de
traversé	VERB	traverser
cette	DET	ce
que	PRON	que
,	PUNCT	,
se	PRON	se
dire	VERB	dire
chômage	NOUN	chômage
l'	DET	le
enlisait	VERB	enliser
niveau	NOUN	niveau
à	ADP	à
ras	NOUN	ras
:	PUNCT	:
sourcils	NOUN	sourcil
impuissance	NOUN	impuissance
plaqué	VERB	plaquer
livres	NOUN	livre
firent	VERB	faire
vienne	VERB	venir
:	PUNCT	:
accoudoirs	NOUN	accoudoir
,	PUNCT	,
?	PUNCT	?
)	PUNCT	)
avant-coureur	ADJ	avant-coureur
comme	ADP	comme
jours	NOUN	jour
une	DET	un
,	PUNCT	,
d'	ADP	de
ordinateur	NOUN	ordinateur
emparé	VERB	emparer
tous	PRON	tout
.	PUNCT	.
avais	AUX	avoir
qu'	SCONJ	que
de	ADP	de
a	AUX	avoir
levé	VERB	lever
sous	ADP	sous
il	PRON	il
de	ADP	de
pif	NOUN	pif
type	NOUN	type
La	DET	le
Je	PRON	je
.	PUNCT	.
géant	NOUN	géant
mis	VERB	mettre
au	ADP	au
téléphones	NOUN	téléphone
aux	ADP	à
Nom	NOUN	nom
taille	NOUN	taille
primitives	ADJ	primitif
l'	DET	le
prisonnier	ADJ	prisonnier
communiquaient	VERB	communiquer
,	PUNCT	,
me	PRON	me
là	ADV	là
Death	PROPN	Death
processus	NOUN	processus
:	PUNCT	:
l'	DET	le
de	ADP	de
?	PUNCT	?
le	PRON	le
