le	DET	le
d'	ADP	de
prêté	VERB	prêter
discernement	NOUN	discernement
Hermann	PROPN	Hermann
pas	ADV	pas
le	DET	le
l'	DET	le
,	PUNCT	,
Messieurs	NOUN	monsieur
Faust(que	PROPN	Faust(que
préfère	VERB	préférer
au	ADP	au
l'	DET	le
ci	PRON	ci
commerce	NOUN	commerce
Quant	ADV	quant
l'	DET	le
l'	DET	le
ne	ADV	ne
,	PUNCT	,
plusieurs	DET	plusieurs
fut	AUX	être
encre	NOUN	encre
Lindemann	PROPN	Lindemann
secrète	ADJ	secret
(	PUNCT	(
que	SCONJ	que
domaine	NOUN	domaine
de	ADP	de
Heinrich	PROPN	Heinrich
ce	PRON	ce
,	PUNCT	,
peintre	NOUN	peintre
dont	PRON	dont
section	NOUN	section
dont	PRON	dont
côtés	NOUN	côté
plus	ADV	plus
quelques	DET	quelque
bien	ADV	bien
pièces	NOUN	pièce
à	ADP	à
parmi	ADP	parmi
avec	ADP	avec
opérette	NOUN	opérette
eu	VERB	avoir
Impériale	ADJ	impérial
réinvestissant	VERB	réinvestir
ballets	NOUN	ballet
heure	NOUN	heure
plutôt	ADV	plutôt
publicités	NOUN	publicité
bienveillant	ADJ	bienveillant
Gottlieb	PROPN	Gottlieb
)	PUNCT	)
onze	NUM	onze
,	PUNCT	,
.	PUNCT	.
revues	NOUN	revue
peintures	NOUN	peinture
mais	CCONJ	mais
développement	NOUN	développement
ensemble	NOUN	ensemble
des	DET	un
,	PUNCT	,
«	PUNCT	«
,	PUNCT	,
Barry	PROPN	Barry
de	DET	de
la	DET	le
de	ADP	de
interprétation	NOUN	interprétation
l'	DET	le
célèbres	ADJ	célèbre
est	AUX	être
Thomas	PROPN	Thomas
d'	ADP	de
malheureusement	ADV	malheureusement
du	ADP	de
sans	ADP	sans
-	PROPN	-
deux	NUM	deux
elle	PRON	lui
dont	PRON	dont
O'	PROPN	O'
dans	ADP	dans
accourus	VERB	accourir
-	ADJ	-
Morgenstemde	PROPN	Morgenstemde
ses	DET	son
des	ADP	de
de	ADP	de
trois	NUM	trois
des	ADP	de
expositions	NOUN	exposition
par	ADP	par
Chicago	PROPN	Chicago
parents	NOUN	parent
Bavaria	PROPN	Bavaria
,	PUNCT	,
le	DET	le
la	DET	le
,	PUNCT	,
tout	ADV	tout
inspiration	NOUN	inspiration
de	ADP	de
peu	ADV	peu
admirer	VERB	admirer
exaltation	NOUN	exaltation
la	PRON	le
les	DET	le
,	PUNCT	,
succédèrent	VERB	succéder
le	DET	le
qui	PRON	qui
,	PUNCT	,
Amerika	PROPN	Amerika
acier	NOUN	acier
,	PUNCT	,
symbolisme	NOUN	symbolisme
robuste	ADJ	robuste
mois	NOUN	mois
Kunst	PROPN	Kunst
James	PROPN	James
a	AUX	avoir
La	DET	le
mentionner	VERB	mentionner
trois	NUM	trois
,	PUNCT	,
plus	ADV	plus
a	AUX	avoir
interruption	NOUN	interruption
à	ADP	à
ce	DET	ce
se	PRON	se
titres	NOUN	titre
à	ADP	à
opérettes	NOUN	opérette
Chancellerie	NOUN	chancellerie
pas	ADV	pas
bientôt	ADV	bientôt
les	DET	le
et	CCONJ	et
exigeait	VERB	exiger
Raffke	PROPN	Raffke
avait	AUX	avoir
,	PUNCT	,
sur	ADP	sur
d'	ADP	de
,	PUNCT	,
peintre	NOUN	peintre
les	DET	le
décrivit	VERB	décrire
du	ADP	de
il	PRON	il
du	ADP	de
solistes	NOUN	soliste
de	ADP	de
Garten	PROPN	Garten
Vieux	ADJ	vieux
1913	NUM	1913
en	ADP	en
Vaterland	PROPN	Vaterland
subtil	ADJ	subtil
»	PUNCT	»
anecdotes	NOUN	anecdote
beaucoup	ADV	beaucoup
;	PUNCT	;
Thadeus	PROPN	Thadeus
se	PRON	se
,	PUNCT	,
modernes	ADJ	moderne
de	ADP	de
,	PUNCT	,
«	PUNCT	«
,	PUNCT	,
l'	DET	le
beaucoup	ADV	beaucoup
Beau	PROPN	Beau
poësque	ADJ	poësqu
célèbre	ADJ	célèbre
d'	ADP	de
dynamique	ADJ	dynamique
,	PUNCT	,
métaphysique	ADJ	métaphysique
octobre	NOUN	octobre
de	ADP	de
de	ADP	de
si	SCONJ	si
financé	VERB	financer
Zapfen	PROPN	Zapfen
Second	ADJ	second
et	CCONJ	et
une	DET	un
les	DET	le
extraordinaire	ADJ	extraordinaire
qu'	SCONJ	que
peut-être	ADV	peut-être
totalité	NOUN	totalité
succès	NOUN	succès
brasse	VERB	brasser
c'	PRON	ce
B.	PROPN	B.
devant	ADP	devant
à	ADP	à
estimer	VERB	estimer
intégrale	NOUN	intégrale
nettement	ADV	nettement
article	NOUN	article
,	PUNCT	,
et	CCONJ	et
conteste	NOUN	conteste
propice	ADJ	propice
attachement	NOUN	attachement
à	ADP	à
discret	ADJ	discret
passe-partout	ADJ	passe-partout
pinceau	NOUN	pinceau
cents	DET	cent
preuve	NOUN	preuve
de	ADP	de
de	ADP	de
amateur	NOUN	amateur
nouvelles	ADJ	nouveau
de	ADP	de
seraient	AUX	être
que	SCONJ	que
deux	NUM	deux
tableau	NOUN	tableau
il	PRON	il
à	ADP	à
l'	DET	le
faisant	AUX	faire
couvraient	VERB	couvrir
pluie	NOUN	pluie
généralités	NOUN	généralité
un	DET	un
dans	ADP	dans
magazines	NOUN	magazine
la	DET	le
nietzschéennes	ADJ	nietzschéen
favoriser	VERB	favoriser
,	PUNCT	,
cœur	NOUN	cœur
huit	NUM	huit
recul	NOUN	recul
sous	ADP	sous
à	ADP	à
tout	ADJ	tout
maints	ADJ	maint
,	PUNCT	,
critiques	NOUN	critique
parfois	ADV	parfois
et	CCONJ	et
des	ADP	de
dans	ADP	dans
sans	ADP	sans
dont	PRON	dont
coins	NOUN	coin
la	DET	le
avons	AUX	avoir
sans	ADP	sans
à	ADP	à
d'	ADP	de
-	PROPN	-
qu'	PRON	qu'
-	PRON	-
sommes	AUX	être
---	PUNCT	---
collectionneur	NOUN	collectionneur
dire	VERB	dire
des	ADP	de
de	ADP	de
,	PUNCT	,
assis	VERB	asseoir
Hermann	PROPN	Hermann
œuvres	NOUN	œuvre
est	AUX	être
allemande	ADJ	allemand
valeurs	NOUN	valeur
New	X	New
organisée	VERB	organiser
,	PUNCT	,
l'	DET	le
de	ADP	de
éclatante	ADJ	éclatant
mortes	ADJ	mort
Doppelgleis	PROPN	Doppelgleis
n'	ADV	n'
faire	AUX	faire
Théo	PROPN	Théo
,	PUNCT	,
regretta	VERB	regretter
regretté	ADJ	regretter
---	PUNCT	---
entières	ADJ	entier
Christian	PROPN	Christian
des	ADP	de
brasseries	NOUN	brasserie
II	NUM	II
réalisme	NOUN	réalisme
peinture	NOUN	peinture
de	ADP	de
membres	NOUN	membre
Bannertrager	PROPN	Bannertrager
Un	DET	un
uns	ADJ	un
d'	ADP	de
les	DET	le
Pendant	ADP	pendant
origine	NOUN	origine
Hermann	PROPN	Hermann
de	ADP	de
,	PUNCT	,
ceux	PRON	celui
Dans	ADP	dans
Continent	PROPN	Continent
qualité	NOUN	qualité
au	ADP	au
création	NOUN	création
un	PRON	un
qu'	PRON	qu'
,	PUNCT	,
de	ADP	de
ses	DET	son
Maritza	PROPN	Maritza
York	PROPN	York
série	NOUN	série
il	PRON	il
ateliers	NOUN	atelier
le	PRON	le
,	PUNCT	,
«	PUNCT	«
de	ADP	de
Anton	PROPN	Anton
Fugger	PROPN	Fugger
l'	DET	le
équivalent	NOUN	équivalent
,	PUNCT	,
à	ADP	à
parce	SCONJ	parce
Art	NOUN	art
Pennsylvanie	PROPN	Pennsylvanie
bénéficia	VERB	bénéficier
un	DET	un
le	DET	le
Raffke	PROPN	Raffke
la	DET	le
toujours	ADV	toujours
nos	DET	notre
-	ADJ	-
contrée	NOUN	contrée
qui	PRON	qui
-	NOUN	-
d'	ADP	de
tant	ADV	tant
présentes	ADJ	présent
table	NOUN	table
ceux	PRON	celui
allemande	ADJ	allemand
opéras	NOUN	opéra
mannequins	NOUN	mannequin
est	VERB	être
noms	NOUN	nom
envoyé	NOUN	envoyé
une	DET	un
furent	AUX	être
était	AUX	être
dans	ADP	dans
théâtre	NOUN	théâtre
et	CCONJ	et
semble	VERB	semble
juge	NOUN	juge
(	PUNCT	(
à	ADP	à
une	DET	un
rassembler	VERB	rassembler
occasion	NOUN	occasion
la	DET	le
peu	ADV	peu
de	ADP	de
que	SCONJ	que
seulement	ADV	seulement
qu'	SCONJ	que
de	ADP	de
les	DET	le
l'	DET	le
cause	NOUN	cause
,	PUNCT	,
et	CCONJ	et
qu'	PRON	qu'
qu'	SCONJ	que
:	PUNCT	:
,	PUNCT	,
tenue	NOUN	tenue
dû	VERB	devoir
bien	ADV	bien
en	ADP	en
»	PUNCT	»
flatteuses	ADJ	flatteur
de	ADP	de
dont	PRON	dont
,	PUNCT	,
,	PUNCT	,
en	ADP	en
milieu	NOUN	milieu
son	DET	son
fiers	ADJ	fier
tableaux	NOUN	tableau
exposition	NOUN	exposition
,	PUNCT	,
,	PUNCT	,
portrait	NOUN	portrait
au	ADP	au
très	ADV	très
de	ADP	de
de	ADP	de
et	CCONJ	et
nous	PRON	nous
voyages	NOUN	voyage
Kellogg	PROPN	Kellogg
,	PUNCT	,
Europe	PROPN	Europe
billet	NOUN	billet
,	PUNCT	,
et	CCONJ	et
et	CCONJ	et
d'	ADP	de
et	CCONJ	et
du	ADP	de
magasins	NOUN	magasin
de	ADP	de
et	CCONJ	et
débuts	NOUN	début
.	PUNCT	.
du	ADP	de
le	DET	le
de	ADP	de
cette	DET	ce
la	DET	le
air	NOUN	air
cinquante	NUM	cinquante
primeur	NOUN	primeur
.	PUNCT	.
,	PUNCT	,
ner	PROPN	ner
aux	ADP	à
exposition	NOUN	exposition
oratorio	NOUN	oratorio
fini	VERB	finir
de	ADP	de
quelques	DET	quelque
qu'	PRON	qu'
occasion	NOUN	occasion
les	DET	le
:	PUNCT	:
Et	CCONJ	et
richissime	ADJ	richissime
leurs	DET	leur
,	PUNCT	,
sur	ADP	sur
suivre	VERB	suivre
murs	NOUN	mur
