léva	VERB	léver
mois	NOUN	mois
l'	PRON	l'
.	PUNCT	.
Michael	PROPN	Michael
parcours	NOUN	parcours
.	PUNCT	.
homme	NOUN	homme
défini	VERB	définir
Président	NOUN	président
-vous	PRON	vous
la	DET	le
le	DET	le
prévu	VERB	prévoir
devons	VERB	devoir
Un	DET	un
Ted	PROPN	Ted
petite	ADJ	petit
yeux	NOUN	oeil
quelques	DET	quelque
mois	NOUN	mois
disparu	VERB	disparaître
avait	AUX	avoir
bien	ADV	bien
,	PUNCT	,
sourde	ADJ	sourd
Il	PRON	il
savait	VERB	savoir
nouvelle	NOUN	nouvelle
à	ADP	à
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
la	DET	le
une	DET	un
jouissait	VERB	jouir
les	DET	le
Le	DET	le
avait	VERB	avoir
,	PUNCT	,
arrivé	VERB	arriver
dossier	NOUN	dossier
soupir	NOUN	soupir
à	ADP	à
il	PRON	il
C'	PRON	ce
mais	CCONJ	mais
pâlit	VERB	pâlir
ses	DET	son
dossier	NOUN	dossier
son	DET	son
regard	NOUN	regard
15	NUM	15
court	ADJ	court
Tchar	PROPN	Tchar
homme	NOUN	homme
Non	ADV	non
.	PUNCT	.
,	PUNCT	,
,	PUNCT	,
choisissant	VERB	choisir
,	PUNCT	,
souffert	VERB	souffrir
Prologue	NOUN	prologue
dossier	NOUN	dossier
faute	NOUN	faute
poussa	VERB	pousser
terrible	ADJ	terrible
La	DET	le
de	ADP	de
retenir	VERB	retenir
prononcer	VERB	prononcer
tout	PRON	tout
voulait	VERB	vouloir
que	PRON	que
le	DET	le
le	DET	le
.	PUNCT	.
Même	ADV	même
Le	DET	le
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
très	ADV	très
appel	NOUN	appel
est	VERB	être
Que	PRON	que
.	PUNCT	.
puzzle	NOUN	puzzle
le	DET	le
lui	PRON	lui
Beach	PROPN	Beach
le	PRON	le
entre	ADP	entre
cordialité	NOUN	cordialité
.	PUNCT	.
Mais	CCONJ	mais
?	PUNCT	?
on	PRON	on
en	ADP	en
homme-là	NOUN	homme-là
Elle	PRON	lui
sans	ADP	sans
n'	ADV	n'
du	ADP	de
Ben	PROPN	Ben
il	PRON	il
-	PROPN	-
et	CCONJ	et
le	DET	le
8	NUM	8
Le	PRON	le
Il	PRON	il
-il	PRON	il
au	ADP	au
s'	PRON	se
dossier	NOUN	dossier
rentrer	VERB	rentrer
soit	VERB	être
mais	CCONJ	mais
