)	PUNCT	)
aujourd'hui	ADV	aujourd'hui
que	SCONJ	que
de	ADP	de
cubes	NOUN	cube
un	PRON	un
fantastique	ADJ	fantastique
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
Kesselring	PROPN	Kesselring
EN	ADP	en
)	PUNCT	)
«	PUNCT	«
matin	NOUN	matin
Après	ADP	après
disparue	VERB	disparaître
,	PUNCT	,
nouvelle	NOUN	nouvelle
des	ADP	de
Présence	NOUN	présence
Fernand	PROPN	Fernand
.	PUNCT	.
Hachette	PROPN	Hachette
EPREUVES	NOUN	epreuve
Railleurs	PROPN	Railleurs
avec	ADP	avec
au	ADP	au
et	CCONJ	et
auquel	PRON	auquel
adolescents	NOUN	adolescent
.	PUNCT	.
seront	AUX	être
nouvelles	NOUN	nouvelle
.	NOUN	.
'	ADV	'
1972	NUM	1972
anachronisme	NOUN	anachronisme
'	PUNCT	'
,	PUNCT	,
atelier	NOUN	atelier
année	NOUN	année
1979	NUM	1979
cerises	NOUN	cerise
,	PUNCT	,
avons	AUX	avoir
entrepris	VERB	entreprendre
Etrange	PROPN	Etrange
musique	NOUN	musique
)	PUNCT	)
nombre	NOUN	nombre
la	DET	le
de	ADP	de
autre	PRON	autre
des	DET	un
»	PUNCT	»
nom	NOUN	nom
recueil	NOUN	recueil
Ed	PROPN	Ed
Voyages	NOUN	voyage
aux	ADP	à
NUIT	NOUN	nuit
,	PUNCT	,
Victor	PROPN	Victor
'	PUNCT	'
SAPIENS	NOUN	sapien
paru	VERB	paraître
»	PUNCT	»
et	CCONJ	et
Mais	CCONJ	mais
Fiction	NOUN	fiction
Poche	NOUN	poche
1980	NUM	1980
écrit	VERB	écrire
Ed	PROPN	Ed
NUIT	NOUN	nuit
le	DET	le
POUR	ADP	pour
»	PUNCT	»
Le	DET	le
à	ADP	à
textes	NOUN	texte
La	DET	le
sans	ADP	sans
elle	PRON	lui
d'	DET	d'
personnages	NOUN	personnage
»	PUNCT	»
Ed	PROPN	Ed
(	PUNCT	(
l'	PRON	l'
grand	ADJ	grand
autres	ADJ	autre
ombre	NOUN	ombre
1977	NUM	1977
,	PUNCT	,
LIBRAIRIE	NOUN	librairie
pour	ADP	pour
«	PUNCT	«
dans	ADP	dans
S.	PROPN	S.
.	PUNCT	.
amour	NOUN	amour
toujours	ADV	toujours
plume	NOUN	plume
est	AUX	être
,	PUNCT	,
psychologie	NOUN	psychologie
«	PUNCT	«
était	AUX	être
Bernard	PROPN	Bernard
qui	PRON	qui
de	ADP	de
avec	ADP	avec
Ed	NOUN	ed
essayait	VERB	essayer
Renard	PROPN	Renard
,	PUNCT	,
depuis	ADP	depuis
pris	VERB	prendre
intéresserait	VERB	intéresser
supérieures	ADJ	supérieur
Bibliothèque	NOUN	bibliothèque
des	ADP	de
.	NOUN	.
,	PUNCT	,
du	ADP	de
improbable	ADJ	improbable
car	CCONJ	car
été	AUX	être
six	NUM	six
du	ADP	de
Et	CCONJ	et
souvent	ADV	souvent
écrire	VERB	écrire
1979	NUM	1979
me	PRON	me
«	PUNCT	«
:	PUNCT	:
l.	NOUN	l.
Paris	PROPN	Paris
AVENIR	VERB	avenir
,	PUNCT	,
le	DET	le
est	AUX	être
de	ADP	de
,	PUNCT	,
.	NOUN	.
,	PUNCT	,
plus	ADV	plus
.	PUNCT	.
par	ADP	par
fût	AUX	être
la	DET	le
ce	DET	ce
(	PUNCT	(
de	ADP	de
Ed	NOUN	ed
voire	NOUN	voire
parenthèses	NOUN	parenthèse
1979	NUM	1979
adolescents	NOUN	adolescent
récit	NOUN	récit
nouvelles	NOUN	nouvelle
sous	ADP	sous
in	ADP	in
,	PUNCT	,
charme	NOUN	charme
nombre	NOUN	nombre
je	PRON	je
un	DET	un
beauté	NOUN	beauté
amateurs	NOUN	amateur
fantastique	ADJ	fantastique
in	ADP	in
Mirone	PROPN	Mirone
la	DET	le
grands	ADJ	grand
pour	ADP	pour
A	ADP	à
Nathan	PROPN	Nathan
»	PUNCT	»
rouge	ADJ	rouge
et	CCONJ	et
sa	DET	son
,	PUNCT	,
roman	NOUN	roman
à	ADP	à
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
terme	NOUN	terme
Ed	PROPN	Ed
inédits	ADJ	inédit
épuisé	VERB	épuiser
Christine	PROPN	Christine
,	PUNCT	,
malgré	ADP	malgré
(	PUNCT	(
la	DET	le
de	ADP	de
être	VERB	être
,	PUNCT	,
l'	DET	le
du	ADP	de
étrangère	ADJ	étranger
Poche	NOUN	poche
Christine	PROPN	Christine
eu	VERB	avoir
mante	NOUN	mante
mots	NOUN	mot
Fuente	NOUN	fuente
pas.rA	PROPN	pas.rA
effet	NOUN	effet
79	NUM	79
en	ADP	en
genres	NOUN	genre
autres	ADJ	autre
a	AUX	avoir
LA	DET	le
Casterman	PROPN	Casterman
par	ADP	par
de	ADP	de
avis	NOUN	avis
qu'	PRON	qu'
7	NUM	7
la	DET	le
:	PUNCT	:
C'	PRON	ce
de	ADP	de
de	DET	de
sortaient	VERB	sortir
.	PUNCT	.
.	PUNCT	.
Hachette	PROPN	Hachette
d'	DET	d'
,	PUNCT	,
,	PUNCT	,
en	ADP	en
recueil	NOUN	recueil
ia	PROPN	ia
D'	ADP	de
ou	CCONJ	ou
.	PUNCT	.
douceurs	NOUN	douceur
.	NOUN	.
récit	NOUN	récit
c'	PRON	ce
Ailleurs	NOUN	ailleurs
avenir	NOUN	avenir
imaginés	VERB	imaginer
et	CCONJ	et
,	PUNCT	,
véritable	ADJ	véritable
fil	NOUN	fil
ai	AUX	avoir
Maintenant	ADV	maintenant
MONDE	NOUN	monde
MÊME	ADJ	même
pour	ADP	pour
de	ADP	de
de	ADP	de
'	PUNCT	'
LA	DET	le
.	PUNCT	.
un	PRON	un
a	AUX	avoir
Forgit	PROPN	Forgit
»	PUNCT	»
notre	DET	notre
les	DET	le
Illustration	NOUN	illustration
,	PUNCT	,
épuisé	VERB	épuiser
,	PUNCT	,
,	PUNCT	,
bonheur	NOUN	bonheur
plairait	VERB	plaire
après	ADP	après
Ed	PROPN	Ed
de	ADP	de
laquelle	PRON	lequel
Ici	PROPN	Ici
de	ADP	de
à	ADP	à
DU	ADP	de
.	PUNCT	.
-	NOUN	-
du	ADP	de
imprégnés	VERB	imprégner
Paris	PROPN	Paris
Retour	NOUN	retour
«	PUNCT	«
,	PUNCT	,
inédits	ADJ	inédit
Florence	PROPN	Florence
temps	NOUN	temps
elle	PRON	lui
progressivement	ADV	progressivement
in	ADP	in
de	ADP	de
,	PUNCT	,
La	DET	le
Renard	PROPN	Renard
des	ADP	de
Rayon	NOUN	rayon
.	PUNCT	.
lettre	NOUN	lettre
a	AUX	avoir
d'	ADP	de
enseignement	NOUN	enseignement
-	NOUN	-
Christine	PROPN	Christine
en	ADP	en
créait	VERB	créer
vocation	NOUN	vocation
.	PUNCT	.
roman	NOUN	roman
Que	PRON	que
son	DET	son
de	ADP	de
«	PUNCT	«
»	PUNCT	»
avec	ADP	avec
-	PROPN	-
Rayon	NOUN	rayon
«	PUNCT	«
lesquels	PRON	lequel
,	PUNCT	,
Lumineux	NOUN	lumineu
je	PRON	je
les	DET	le
fantastique	NOUN	fantastique
ces	DET	ce
tant	ADV	tant
»	PUNCT	»
.	PUNCT	.
ai	AUX	avoir
mon	DET	mon
enfants	NOUN	enfant
.	NOUN	.
Médecins	NOUN	médecin
,	PUNCT	,
?	PUNCT	?
(	PUNCT	(
notre	DET	notre
va	VERB	aller
lecture	NOUN	lecture
-	PROPN	-
répondu	VERB	répondre
pas	ADV	pas
le	DET	le
,	PUNCT	,
auteurs	NOUN	auteur
suggérer	VERB	suggérer
français	ADJ	français
1979	NUM	1979
des	ADP	de
,	PUNCT	,
En	ADP	en
mettait	VERB	mettre
dans	ADP	dans
1977	NUM	1977
lisant	VERB	lire
.	NOUN	.
.	NOUN	.
planète	NOUN	planète
,	PUNCT	,
Fiction	PROPN	Fiction
cette	DET	ce
Ponte	PROPN	Ponte
pages	NOUN	page
du	ADP	de
de	ADP	de
le	DET	le
.	PROPN	.
y	PRON	y
supposé	VERB	supposer
admirer	VERB	admirer
publiée	VERB	publier
recherches	NOUN	recherche
science	NOUN	science
Renard	PROPN	Renard
Renard	PROPN	Renard
épuisé	VERB	épuiser
propre	ADJ	propre
autre	PRON	autre
LUMINEUX	NOUN	lumineu
Ed	PROPN	Ed
adolescents	NOUN	adolescent
recueils	NOUN	recueil
l'	DET	le
)	PUNCT	)
égal	ADJ	égal
l'	DET	le
l'	DET	le
,	PUNCT	,
—	PUNCT	—
de	ADP	de
.	PUNCT	.
,	PUNCT	,
mais	CCONJ	mais
de	ADP	de
)	PUNCT	)
.	PUNCT	.
à	ADP	à
désormais	ADV	désormais
Galliéra	PROPN	Galliéra
A	PROPN	A
se	PRON	se
Andrevon	PROPN	Andrevon
Ferrand	PROPN	Ferrand
«	PUNCT	«
La	DET	le
de	ADP	de
dans	ADP	dans
la	PRON	le
cherchant	VERB	chercher
elle	PRON	lui
récit	NOUN	récit
»	PUNCT	»
»	PUNCT	»
Présence	NOUN	présence
même	ADJ	même
lire	VERB	lire
terre	NOUN	terre
«	PUNCT	«
la	DET	le
elle	PRON	lui
.	PUNCT	.
récits	NOUN	récit
des	ADP	de
,	PUNCT	,
de	ADP	de
)	PUNCT	)
partie	VERB	partir
Hachette	PROPN	Hachette
.	PROPN	.
in	ADP	in
.	PUNCT	.
roman	NOUN	roman
,	PUNCT	,
:	PUNCT	:
et	CCONJ	et
«	PUNCT	«
jamais	ADV	jamais
d'	ADP	de
,	PUNCT	,
des	ADP	de
son	DET	son
de	ADP	de
a.	AUX	a.
,	PUNCT	,
socialiste	ADJ	socialiste
d'	ADP	de
en	ADP	en
avait	AUX	avoir
sa	DET	son
)	PUNCT	)
faisait	VERB	faire
elle	PRON	lui
—	PUNCT	—
-	PROPN	-
thèse	NOUN	thèse
—	PUNCT	—
de	ADP	de
.	NOUN	.
subtile	ADJ	subtil
cité	VERB	citer
Julliard	PROPN	Julliard
talent	NOUN	talent
.	PUNCT	.
avant	ADP	avant
'	PUNCT	'
»	PUNCT	»
vue	VERB	voir
Christine	PROPN	Christine
laissé	VERB	laisser
est	AUX	être
a	AUX	avoir
trouver	VERB	trouver
village	NOUN	village
,	PUNCT	,
Vargelonne	PROPN	Vargelonne
en	ADP	en
Philippart	PROPN	Philippart
lettres	NOUN	lettre
à	ADP	à
Les	DET	le
LUMINEUX	NOUN	lumineu
dans	ADP	dans
réveillez	VERB	réveiller
roman	NOUN	roman
.	PUNCT	.
comme	ADP	comme
s'	PRON	se
1977	NUM	1977
premier	ADJ	premier
Collection	NOUN	collection
Hachette	PROPN	Hachette
Ed	NOUN	ed
terre	NOUN	terre
«	PUNCT	«
anglais	NOUN	anglais
©	PROPN	©
grâce	NOUN	grâce
»	PUNCT	»
t/	SYM	t/
,	PUNCT	,
romans	NOUN	roman
j'	PRON	je
contre	ADV	contre
ont	AUX	avoir
temps	NOUN	temps
sa	DET	son
PAS	ADV	pas
parut	VERB	paraître
de	ADP	de
pour	ADP	pour
«	PUNCT	«
poupées	NOUN	poupée
.	PUNCT	.
Château	NOUN	château
ne	ADV	ne
Planète	NOUN	planète
littérature	NOUN	littérature
treizième	ADJ	treizième
fiction	NOUN	fiction
1963	NUM	1963
.	PUNCT	.
métiers	NOUN	métier
,	PUNCT	,
suivront	VERB	suivre
,	PUNCT	,
études	NOUN	étude
conte	NOUN	conte
d'	ADP	de
et	CCONJ	et
quitté	VERB	quitter
plus	ADV	plus
ce	DET	ce
est	AUX	être
une	DET	un
PAR	ADP	par
Il	PRON	il
cette	DET	ce
En	ADP	en
de	ADP	de
jours	NOUN	jour
que	PRON	que
in	ADP	in
récit	NOUN	récit
petit	ADJ	petit
ans	NOUN	an
de	ADP	de
fiction	NOUN	fiction
.	PUNCT	.
autre	PRON	autre
de	ADP	de
Marabout	PROPN	Marabout
fées	NOUN	fée
couverture	NOUN	couverture
Car	CCONJ	car
(	PUNCT	(
Villaret	PROPN	Villaret
manuscrits	NOUN	manuscrit
science	NOUN	science
est	AUX	être
,	PUNCT	,
,	PUNCT	,
Hachette	PROPN	Hachette
a	AUX	avoir
spécialistes	NOUN	spécialiste
»	PUNCT	»
