.	PUNCT	.
poussait	VERB	pousser
etc.	ADV	etc.
sait	VERB	savoir
à	ADP	à
de	ADP	de
son	DET	son
que	ADV	que
avait	VERB	avoir
.	PUNCT	.
se	PRON	se
amuser	VERB	amuser
froid	ADJ	froid
de	ADP	de
,	PUNCT	,
Ils	PRON	il
Henri	PROPN	Henri
coince	VERB	coincer
,	PUNCT	,
signe	NOUN	signe
On	PRON	on
.	PUNCT	.
tricher	VERB	tricher
escalader	VERB	escalader
quoi	PRON	quoi
d'	ADP	de
plus	ADV	plus
.	PUNCT	.
plus	ADV	plus
hall	NOUN	hall
cercle	NOUN	cercle
plutôt	ADV	plutôt
:	PUNCT	:
.	PUNCT	.
un	DET	un
immeuble	NOUN	immeuble
,	PUNCT	,
femme	NOUN	femme
dans	ADP	dans
qui	PRON	qui
l'	DET	le
front	NOUN	front
concierge	NOUN	concierge
son	DET	son
les	PRON	le
imaginant	VERB	imaginer
,	PUNCT	,
d'	ADP	de
le	DET	le
articles	NOUN	article
aurait	AUX	avoir
qu'	SCONJ	que
pensa	VERB	penser
.	PUNCT	.
plus	ADV	plus
.	PUNCT	.
pas	ADV	pas
Cousin	PROPN	Cousin
femmes	NOUN	femme
soi	PRON	soi
des	ADP	de
en	ADP	en
artisanat	NOUN	artisanat
La	DET	le
perdus	VERB	perdre
Kong	PROPN	Kong
et	CCONJ	et
se	PRON	se
on	PRON	on
de	ADP	de
deux	NUM	deux
rideau	NOUN	rideau
immeuble	NOUN	immeuble
sentait	VERB	sentir
qu'	SCONJ	que
arrêt	NOUN	arrêt
Cousin	PROPN	Cousin
,	PUNCT	,
tout	ADV	tout
serré	VERB	serrer
elle	PRON	lui
.	PUNCT	.
ne	ADV	ne
prouvait	VERB	prouver
Un	DET	un
muscles	NOUN	muscle
n'	ADV	n'
et	CCONJ	et
ils	PRON	il
seul	ADJ	seul
un	DET	un
trois	PRON	trois
très	ADV	très
de	ADP	de
.	PUNCT	.
but	VERB	boire
que	SCONJ	que
porte	NOUN	porte
Au	ADP	au
.	PUNCT	.
de	ADP	de
train	NOUN	train
agissait	VERB	agir
l'	PRON	l'
ils	PRON	il
.	PUNCT	.
Un	DET	un
l'	DET	le
la	DET	le
permettrait	VERB	permettre
est	AUX	être
d'	ADP	de
.	PUNCT	.
soulevant	VERB	soulever
ne	ADV	ne
nonchalamment	ADV	nonchalamment
en	ADP	en
plages	NOUN	plage
se	PRON	se
coin	NOUN	coin
d'	ADP	de
sous	ADP	sous
la	DET	le
.	PUNCT	.
qu'	SCONJ	que
que	SCONJ	que
,	PUNCT	,
qui	PRON	qui
Et	CCONJ	et
,	PUNCT	,
tenaient	VERB	tenir
salopette	NOUN	salopette
Tous	ADJ	tout
s'	PRON	se
portés	VERB	porter
pieds	NOUN	pied
Il	PRON	il
s'	PRON	se
fallait	VERB	falloir
perçut	VERB	percevoir
légère	ADJ	léger
voyait	VERB	voir
(	PUNCT	(
à	ADP	à
complaisances	NOUN	complaisance
de	ADP	de
Olivier	PROPN	Olivier
peut	VERB	pouvoir
trois	PRON	trois
,	PUNCT	,
trouvés	VERB	trouver
jamais	ADV	jamais
était	AUX	être
ans	NOUN	an
indicateur	NOUN	indicateur
mouillé	VERB	mouiller
rails	NOUN	rail
et	CCONJ	et
porte	NOUN	porte
face	NOUN	face
était	AUX	être
maintenant	ADV	maintenant
L'	DET	le
étaient	AUX	être
,	PUNCT	,
il	PRON	il
les	DET	le
de	ADP	de
côté	NOUN	côté
étira	VERB	étirer
.	PUNCT	.
,	PUNCT	,
possédait	VERB	posséder
d'	ADP	de
pour	ADP	pour
les	DET	le
entre	ADP	entre
fin	NOUN	fin
commode	NOUN	commode
épaules	NOUN	épaule
Ils	PRON	il
venir	VERB	venir
et	CCONJ	et
copains	NOUN	copain
