quémande	VERB	quémande
ce	PRON	ce
qui	PRON	qui
empêcher	VERB	empêcher
voix	NOUN	voix
quand	SCONJ	quand
plus	ADV	plus
—	PUNCT	—
et	CCONJ	et
été	AUX	être
adhérait	VERB	adhérer
parfois	ADV	parfois
de	ADP	de
leur	DET	leur
l'	DET	le
des	DET	un
comme	ADP	comme
et	CCONJ	et
,	PUNCT	,
qu'	SCONJ	que
ces	DET	ce
maintenir	VERB	maintenir
avaient	AUX	avoir
,	PUNCT	,
rient	VERB	rire
palier	NOUN	palier
terminer	VERB	terminer
la	DET	le
n'	ADV	n'
moi	PRON	moi
ils	PRON	il
pas	ADV	pas
un	DET	un
d'	ADP	de
moi	PRON	moi
sur	ADP	sur
,	PUNCT	,
,	PUNCT	,
fort	ADJ	fort
dignement	ADV	dignement
ç'	PRON	ç'
aveuglante	ADJ	aveuglant
leur	PRON	leur
leur	PRON	leur
ils	PRON	il
obscurément	ADV	obscurément
Et	CCONJ	et
défendre	VERB	défendre
à	ADP	à
pour	ADP	pour
elle	PRON	lui
était	AUX	être
je	PRON	je
simplement	ADV	simplement
me	PRON	me
,	PUNCT	,
seuil	NOUN	seuil
s'	PRON	se
pour	ADP	pour
eux	PRON	lui
qui	PRON	qui
moi	PRON	moi
de	ADP	de
mon	DET	mon
bien	ADV	bien
cela	PRON	cela
,	PUNCT	,
ne	ADV	ne
les	PRON	le
cela	PRON	cela
,	PUNCT	,
comme	ADP	comme
est	AUX	être
,	PUNCT	,
ne	ADV	ne
,	PUNCT	,
convaincant	ADJ	convaincant
Moi	PRON	moi
que	SCONJ	que
la	DET	le
décent	ADJ	décent
sec	ADJ	sec
trop	ADV	trop
sou	NOUN	sou
-	NOUN	-
,	PUNCT	,
main	NOUN	main
.	PUNCT	.
je	PRON	je
sans	ADP	sans
approchant	VERB	approcher
.	PUNCT	.
«	PUNCT	«
ils	PRON	il
est	AUX	être
à	ADP	à
à	ADP	à
qu'	SCONJ	que
s'	PRON	se
,	PUNCT	,
...	PUNCT	...
déjà	ADV	déjà
elle	PRON	lui
décidés	VERB	décider
cas	NOUN	cas
à	ADP	à
avec	ADP	avec
commencé	VERB	commencer
qui	PRON	qui
surprendre	VERB	surprendre
d'	ADP	de
,	PUNCT	,
laissent	VERB	laisser
comme	SCONJ	comme
of	X	of
quelque	DET	quelque
me	PRON	me
acceptent	VERB	accepter
suis	AUX	être
eh	INTJ	eh
Je	PRON	je
d'	ADP	de
,	PUNCT	,
...	PUNCT	...
ils	PRON	il
vague	ADJ	vague
tout	ADV	tout
je	PRON	je
peut-être	ADV	peut-être
un	DET	un
sur	ADP	sur
sur	ADP	sur
des	DET	un
à	ADP	à
aspirait	VERB	aspirer
lancent	VERB	lancer
plus	ADV	plus
quelque	DET	quelque
,	PUNCT	,
,	PUNCT	,
ne	ADV	ne
de	ADP	de
retenir	VERB	retenir
c'	PRON	ce
-ils	PRON	il
moi	PRON	moi
contre	ADP	contre
maniaque	NOUN	maniaque
,	PUNCT	,
dangereux	ADJ	dangereux
Cela	PRON	cela
voix	NOUN	voix
,	PUNCT	,
»	PUNCT	»
un	DET	un
voix	NOUN	voix
à	ADP	à
sans	ADP	sans
,	PUNCT	,
pas	ADV	pas
Mais	CCONJ	mais
ils	PRON	il
de	ADP	de
vraiment	ADV	vraiment
pourquoi	ADV	pourquoi
qui	PRON	qui
cela	PRON	cela
une	DET	un
voix	NOUN	voix
égoïste	NOUN	égoïste
écart	NOUN	écart
sentaient	VERB	sentir
je	PRON	je
d'	ADP	de
«	PUNCT	«
se	PRON	se
qu'	SCONJ	que
comme	SCONJ	comme
ai	AUX	avoir
sorte	VERB	sortir
trop	ADV	trop
leur	DET	leur
,	PUNCT	,
arrive	VERB	arrive
j'	PRON	je
femmes	NOUN	femme
d'	ADP	de
d'	ADP	de
Ils	PRON	il
disent	VERB	dire
Oui	ADV	oui
l'	DET	le
l'	DET	le
moment	NOUN	moment
semblant	NOUN	semblant
dans	ADP	dans
croisent	VERB	croiser
,	PUNCT	,
pas	ADV	pas
cela	PRON	cela
que	SCONJ	que
et	CCONJ	et
:	PUNCT	:
,	PUNCT	,
gens	NOUN	gens
il	PRON	il
,	PUNCT	,
vous	PRON	vous
subtils	ADJ	subtil
un	DET	un
de	ADP	de
qu'	ADV	qu'
bon	ADJ	bon
tombe	VERB	tombe
une	DET	un
Je	PRON	je
bien	ADV	bien
,	PUNCT	,
sans	ADP	sans
dessus	NOUN	dessus
factet	NOUN	factet
avaient	VERB	avoir
n'	ADV	n'
et	CCONJ	et
fallait	VERB	falloir
plein	ADJ	plein
,	PUNCT	,
à	ADP	à
par	ADP	par
peu	ADV	peu
est	AUX	être
demandé	VERB	demander
je	PRON	je
en	ADP	en
-là	NOUN	-là
glissent	VERB	glisser
,	PUNCT	,
ne	ADV	ne
,	PUNCT	,
,	PUNCT	,
ont	VERB	avoir
qui	PRON	qui
gens	NOUN	gens
préoccupées	VERB	préoccuper
,	PUNCT	,
un	DET	un
il	PRON	il
inconscients	ADJ	inconscient
,	PUNCT	,
et	CCONJ	et
effet	NOUN	effet
pas	ADV	pas
.	PUNCT	.
mot	NOUN	mot
»	PUNCT	»
quelque	DET	quelque
.	PUNCT	.
rabroué	VERB	rabrouer
douceâtre	ADJ	douceâtre
faux	ADJ	faux
d'	ADP	de
cela	PRON	cela
calmé	VERB	calmer
un	DET	un
trouvaient	VERB	trouver
de	ADP	de
pour	ADP	pour
chiquenaudes	NOUN	chiquenaude
il	PRON	il
droit	NOUN	droit
ennuyeuse	ADJ	ennuyeux
,	PUNCT	,
ma	DET	mon
ont	AUX	avoir
que	SCONJ	que
attente	NOUN	attente
je	PRON	je
m'	PRON	me
matter	X	matter
»	PUNCT	»
,	PUNCT	,
Alors	ADV	alors
chose	NOUN	chose
me	PRON	me
»	PUNCT	»
n'	ADV	n'
elle	PRON	lui
à	ADP	à
ces	DET	ce
,	PUNCT	,
que	SCONJ	que
18	DET	18
;	PUNCT	;
sortir	VERB	sortir
qui	PRON	qui
désarroi	NOUN	désarroi
,	PUNCT	,
pour	ADP	pour
tombées	VERB	tomber
pas	ADV	pas
pas	ADV	pas
cloue	VERB	cloue
fort	ADJ	fort
,	PUNCT	,
sortait	VERB	sortir
,	PUNCT	,
,	PUNCT	,
à	ADP	à
,	PUNCT	,
leur	DET	leur
insinue	VERB	insinue
s'	PRON	se
ils	PRON	il
à	ADP	à
ils	PRON	il
parfois	ADV	parfois
reconnais	VERB	reconnaître
la	DET	le
que	SCONJ	que
.	PUNCT	.
sur	ADP	sur
rappeler	VERB	rappeler
,	PUNCT	,
au-dessus	ADV	au-dessus
eux	PRON	lui
vieil	ADJ	vieux
trop	ADV	trop
moi	PRON	moi
-il	PRON	il
elles	PRON	lui
me	PRON	me
ayant	VERB	avoir
,	PUNCT	,
,	PUNCT	,
juste	ADV	juste
sien	PROPN	sien
,	PUNCT	,
Toujours	ADV	toujours
pas	ADV	pas
senti	VERB	sentir
sa	DET	son
rire	NOUN	rire
m'	PRON	me
Une	DET	un
les	DET	le
légères	ADJ	léger
étaient	AUX	être
suis	AUX	être
le	PRON	le
-ils	PRON	il
moi	PRON	moi
me	PRON	me
faut	VERB	falloir
cela	PRON	cela
et	CCONJ	et
,	PUNCT	,
de	ADP	de
y	PRON	y
essayé	VERB	essayer
Je	PRON	je
comme	ADP	comme
,	PUNCT	,
qui	PRON	qui
au	ADP	au
tire	VERB	tire
assommer	VERB	assommer
paraissaient	VERB	paraître
...	PUNCT	...
drôle	ADJ	drôle
un	DET	un
,	PUNCT	,
à	ADP	à
voulaient	VERB	vouloir
trouve	VERB	trouve
tout	ADV	tout
étaient	AUX	être
sortait	VERB	sortir
fade	ADJ	fade
égaré	VERB	égarer
eux	PRON	lui
,	PUNCT	,
elle	PRON	lui
,	PUNCT	,
devait	VERB	devoir
sur	ADP	sur
juste	ADV	juste
,	PUNCT	,
dit	VERB	dire
elle	PRON	lui
deux	NUM	deux
de	ADP	de
se	PRON	se
me	PRON	me
de	ADP	de
d'	ADP	de
imprudent	ADJ	imprudent
pu	VERB	pouvoir
,	PUNCT	,
,	PUNCT	,
:	PUNCT	:
est	AUX	être
.	PUNCT	.
,	PUNCT	,
finir	VERB	finir
un	DET	un
recevrai	VERB	recevoir
d'	ADP	de
,	PUNCT	,
chose	NOUN	chose
-vous	PRON	vous
immobile	ADJ	immobile
tenir	VERB	tenir
un	DET	un
