front	NOUN	front
,	PUNCT	,
dépitée	ADJ	dépité
Elle	PRON	lui
ensemble	ADV	ensemble
trouvera	VERB	trouver
,	PUNCT	,
enfin	ADV	enfin
vite	ADV	vite
jeta	VERB	jeter
étendues	NOUN	étendue
vers	ADP	vers
à	ADP	à
joyeuse	ADJ	joyeux
jeune	ADJ	jeune
il	PRON	il
exerçait	VERB	exercer
,	PUNCT	,
,	PUNCT	,
aimable	ADJ	aimable
d'	ADP	de
couleuvre	NOUN	couleuvre
le	DET	le
-là	NOUN	-là
!	PUNCT	!
est-elle	PRON	est-elle
il	PRON	il
.	PUNCT	.
vite	ADV	vite
tous	ADJ	tout
la	DET	le
assistance	NOUN	assistance
d'	ADP	de
Isabelle	PROPN	Isabelle
adulée	VERB	aduler
verra	VERB	voir
d'	ADP	de
François	PROPN	François
,	PUNCT	,
pouvoir	NOUN	pouvoir
nombreuse	ADJ	nombreux
et	CCONJ	et
,	PUNCT	,
de	ADP	de
se	PRON	se
le	DET	le
vase	NOUN	vase
se	PRON	se
début	NOUN	début
regard	NOUN	regard
un	DET	un
père	NOUN	père
adore	VERB	adore
et	CCONJ	et
sombre	ADJ	sombre
à	ADP	à
-	VERB	-
lança	VERB	lancer
fille	NOUN	fille
s'	PRON	se
l'	DET	le
s'	PRON	se
amis	NOUN	ami
ses	DET	son
eut	AUX	avoir
,	PUNCT	,
,	PUNCT	,
,	PUNCT	,
autre	PRON	autre
aurait	AUX	avoir
il	PRON	il
elle	PRON	lui
mine	NOUN	mine
immenses	ADJ	immense
espaces	NOUN	espace
paissent	VERB	paître
.	PUNCT	.
montrer	VERB	montrer
apprêta	VERB	apprêter
inhumaine	ADJ	inhumain
invités	NOUN	invité
ou	CCONJ	ou
implorant	VERB	implorer
qui	PRON	qui
grosse	ADJ	gros
,	PUNCT	,
caramels	NOUN	caramel
accueillit	VERB	accueillir
de	ADP	de
drames	NOUN	drame
pour	ADP	pour
s'	PRON	se
domination	NOUN	domination
des	ADP	de
un	DET	un
y	PROPN	y
suivi	VERB	suivre
le	DET	le
teint	NOUN	teint
lui	PRON	lui
.	PUNCT	.
sentait	VERB	sentir
à	ADP	à
la	DET	le
en	ADP	en
""""	PUNCT	""""
aux	ADP	à
fleurs	NOUN	fleur
danse	NOUN	danse
Demande	NOUN	demande
bande	NOUN	bande
…	PUNCT	…
.	PUNCT	.
!	PUNCT	!
père	NOUN	père
l'	DET	le
un	DET	un
peine	ADV	peine
fille	NOUN	fille
compliments	NOUN	compliment
de	ADP	de
mystérieux	ADJ	mystérieux
l'	PRON	l'
peut-être	ADV	peut-être
de	ADP	de
éclata	VERB	éclater
conflit	NOUN	conflit
le	PRON	le
de	ADP	de
dame	NOUN	dame
tête	NOUN	tête
les	DET	le
accepte	VERB	accepte
et	CCONJ	et
heure	NOUN	heure
Jalosey	PROPN	Jalosey
—	PUNCT	—
sur	ADP	sur
elle	PRON	lui
laissez	VERB	laisser
—	PUNCT	—
ses	DET	son
de	ADP	de
et	CCONJ	et
vingt-huit	NUM	vingt-huit
…	PUNCT	…
Mince	ADJ	mince
courts	ADJ	court
un	DET	un
qu'	SCONJ	que
un	DET	un
eau	NOUN	eau
veut	VERB	vouloir
Mon	DET	mon
soumission	NOUN	soumission
,	PUNCT	,
au	ADP	au
scintillante	ADJ	scintillant
.	PUNCT	.
aimes	VERB	aimer
souffle	VERB	souffle
veux	VERB	vouloir
ses	DET	son
,	PUNCT	,
faite	VERB	faire
au	ADP	au
avait	VERB	avoir
