affaire	NOUN	affaire
centre	NOUN	centre
.	PUNCT	.
tournées	NOUN	tournée
Au	ADV	au
avait	AUX	avoir
par	ADP	par
de	ADP	de
qui	PRON	qui
ses	DET	son
véritables	ADJ	véritable
une	DET	un
provenait	VERB	provenir
accrochée	VERB	accrocher
les	DET	le
froissée	VERB	froisser
supérieure	ADJ	supérieur
jusqu'	ADP	jusque
son	DET	son
contreforts	NOUN	contrefort
dessous	ADV	dessous
la	DET	le
Lou	PROPN	Lou
au	ADP	au
vent	NOUN	vent
Limpide	ADJ	limpide
un	DET	un
cap	NOUN	cap
semblait	VERB	sembler
soleil	NOUN	soleil
Ce	PRON	ce
membrures	NOUN	membrure
maître	NOUN	maître
fait	AUX	faire
du	ADP	de
au	ADP	au
pédalant	VERB	pédaler
dos	NOUN	dos
Et	CCONJ	et
volant	ADJ	volant
:	PUNCT	:
une	DET	un
d'	ADP	de
me	PRON	me
lueurs	NOUN	lueur
avait	VERB	avoir
loi	NOUN	loi
photopiles	NOUN	photopile
LOU	PROPN	LOU
peut-être	ADV	peut-être
les	DET	le
en	ADP	en
lui	PRON	lui
des	ADP	de
,	PUNCT	,
une	DET	un
plus	ADV	plus
,	PUNCT	,
Dans	ADP	dans
,	PUNCT	,
d'	ADP	de
mauve	NOUN	mauve
Des	DET	un
la	PRON	le
de	ADP	de
filtre	NOUN	filtre
écarts	NOUN	écart
profond	ADJ	profond
l'	DET	le
est	AUX	être
,	PUNCT	,
aile	NOUN	aile
les	DET	le
ce	DET	ce
et	CCONJ	et
la	DET	le
et	CCONJ	et
Tribu	NOUN	tribu
l'	DET	le
aigle	NOUN	aigle
cap	NOUN	cap
l'	DET	le
la	DET	le
Bleu	NOUN	bleu
que	SCONJ	que
cette	DET	ce
Il	PRON	il
accidentés	ADJ	accidenté
d'	ADP	de
de	ADP	de
il	PRON	il
erreur	NOUN	erreur
s'	PRON	se
courbe	VERB	courbe
la	DET	le
de	ADP	de
une	DET	un
pourpre	NOUN	pourpre
,	PUNCT	,
ploie	VERB	ployer
de	ADP	de
avec	ADP	avec
Mirage	PROPN	Mirage
nécessaire	ADJ	nécessaire
trouvait	VERB	trouver
-	ADV	-
qui	PRON	qui
dans	ADP	dans
énergie	NOUN	énergie
,	PUNCT	,
étaient	AUX	être
vent	NOUN	vent
que	SCONJ	que
surprendre	VERB	surprendre
Les	DET	le
muées	VERB	muer
à	ADP	à
quelques	ADJ	quelque
ce	DET	ce
-	ADV	-
une	DET	un
devenait	VERB	devenir
que	SCONJ	que
bonheur	NOUN	bonheur
et	CCONJ	et
certaines	DET	certain
noirs	ADJ	noir
Un	DET	un
.	PUNCT	.
et	CCONJ	et
suivait	VERB	suivre
grognements	NOUN	grognement
intérieur	NOUN	intérieur
la	DET	le
et	CCONJ	et
fond	NOUN	fond
l'	DET	le
gothiques	ADJ	gothique
portante	ADJ	portant
plus	ADV	plus
chaque	DET	chaque
la	DET	le
guère	ADV	guère
un	DET	un
aussi	ADV	aussi
nuages	NOUN	nuage
Mirage	PROPN	Mirage
se	PRON	se
il	PRON	il
la	DET	le
les	DET	le
faire	VERB	faire
laborieusement	ADV	laborieusement
,	PUNCT	,
il	PRON	il
au	ADP	au
de	ADP	de
d'	ADP	de
allait	VERB	aller
parant	VERB	parer
pour	ADP	pour
sommets	NOUN	sommet
pâle	ADJ	pâle
pédaler	VERB	pédaler
et	CCONJ	et
se	PRON	se
très	ADV	très
,	PUNCT	,
leurs	DET	leur
-	ADV	-
réjouissent	VERB	réjouir
.	PUNCT	.
de	ADP	de
à	ADP	à
suffisamment	ADV	suffisamment
l'	DET	le
par	ADP	par
-là	NOUN	-là
autre	ADJ	autre
énergie	NOUN	énergie
sud-est	NOUN	sud-est
pratiquement	ADV	pratiquement
en	ADP	en
purifier	VERB	purifier
kilomètres	NOUN	kilomètre
soleil	NOUN	soleil
est	NOUN	est
.	PUNCT	.
même	ADV	même
l'	DET	le
contraint	VERB	contraindre
comme	ADP	comme
volante	ADJ	volant
s'	PRON	se
trouvait	VERB	trouver
se	PRON	se
s'	PRON	se
énergie	NOUN	énergie
Quelque	ADV	quelque
.	PUNCT	.
vent	NOUN	vent
les	DET	le
guère	ADV	guère
de	ADP	de
,	PUNCT	,
doit	VERB	devoir
ombre	NOUN	ombre
un	DET	un
selle	NOUN	selle
ces	DET	ce
sur	ADP	sur
le	DET	le
maintenant	VERB	maintenir
pantin	NOUN	pantin
sérénité	NOUN	sérénité
il	PRON	il
aigle	NOUN	aigle
absence	NOUN	absence
de	ADP	de
LIMPIDE	ADJ	limpide
pédales	NOUN	pédale
il	PRON	il
parmi	ADP	parmi
