recourbés	VERB	recourber
le	DET	le
adresse	NOUN	adresse
que	SCONJ	que
carrée	ADJ	carré
mince	ADJ	mince
Tania	PROPN	Tania
mère	NOUN	mère
-ce	PRON	-ce
je	PRON	je
véritable	ADJ	véritable
d'	ADP	de
Elle	PRON	lui
tergiverse	VERB	tergiverse
siècle	NOUN	siècle
la	DET	le
ton	DET	ton
arrivez	VERB	arriver
vois	VERB	voir
la	PRON	le
.	PUNCT	.
poste	NOUN	poste
encore	ADV	encore
êtes	AUX	être
ses	DET	son
L'	DET	le
.	PUNCT	.
du	ADP	de
penser	VERB	penser
était	AUX	être
une	DET	un
pas	ADV	pas
moment	NOUN	moment
Il	PRON	il
Il	PRON	il
pas	ADV	pas
cœur	NOUN	cœur
avec	ADP	avec
son	DET	son
temps	NOUN	temps
fois	NOUN	fois
—	PUNCT	—
peut	VERB	pouvoir
revenue	VERB	revenir
histoire	NOUN	histoire
sur	ADP	sur
,	PUNCT	,
il	PRON	il
porte	NOUN	porte
il	PRON	il
bronze	NOUN	bronze
que	SCONJ	que
joies	NOUN	joie
environ	ADV	environ
mouvement	NOUN	mouvement
amour	NOUN	amour
ans	NOUN	an
mondain	ADJ	mondain
Diane	PROPN	Diane
.	PUNCT	.
encore	ADV	encore
que	SCONJ	que
pas	ADV	pas
belle	ADJ	bel
pas	ADV	pas
ton	NOUN	ton
hectares	NOUN	hectare
A	ADP	à
le	DET	le
étrangère	NOUN	étranger
parapheur	NOUN	parapheur
élection	NOUN	élection
se	PRON	se
un	DET	un
était	AUX	être
de	ADP	de
vous	PRON	vous
Mme	NOUN	mme
Je	PRON	je
semblait	VERB	sembler
—	PUNCT	—
«	PUNCT	«
s'	PRON	se
.	PUNCT	.
à	ADP	à
mariage	NOUN	mariage
aimait	VERB	aimer
te	PRON	te
à	ADP	à
teint	NOUN	teint
Dieu	NOUN	dieu
verre	NOUN	verre
son	DET	son
ne	ADV	ne
.	PUNCT	.
mobilier	NOUN	mobilier
sourire	NOUN	sourire
es	AUX	être
un	DET	un
vous	PRON	vous
est	VERB	être
qu'	ADV	qu'
se	PRON	se
l'	DET	le
la	DET	le
Résumé	NOUN	résumé
,	PUNCT	,
laisser	VERB	laisser
—	PUNCT	—
qui	PRON	qui
chaudement	ADV	chaudement
,	PUNCT	,
en	ADP	en
refermant	VERB	refermer
volontaires	ADJ	volontaire
-ce	PRON	-ce
,	PUNCT	,
est	AUX	être
lui	PRON	lui
paraissant	VERB	paraître
.	PUNCT	.
à	ADP	à
au	ADP	au
son	DET	son
l'	PRON	l'
dont	PRON	dont
fixez	VERB	fixer
mariage	NOUN	mariage
à	ADP	à
fiançailles	NOUN	fiançaille
courrier	NOUN	courrier
enfants	NOUN	enfant
retrouva	VERB	retrouver
suite	NOUN	suite
.	PUNCT	.
le	PRON	le
Personne	PRON	personne
pas	NOUN	pas
s'	PRON	se
C'	PRON	ce
es	AUX	être
un	DET	un
