quatre	NUM	quatre
freiner	VERB	freiner
soit	AUX	être
étudiée	VERB	étudier
...	PUNCT	...
regardaient	VERB	regarder
pouvait	VERB	pouvoir
,	PUNCT	,
affrontaient	VERB	affronter
la	PRON	le
de	ADP	de
ce	DET	ce
-	PRON	-
penchant	NOUN	penchant
?	PUNCT	?
jouer	VERB	jouer
voir	VERB	voir
,	PUNCT	,
plus	ADV	plus
numéro	NOUN	numéro
.	PUNCT	.
lire	VERB	lire
de	ADP	de
bégonias	NOUN	bégonia
mauvaise	ADJ	mauvais
Non	ADV	non
de	DET	de
glaces	NOUN	glace
Je	PRON	je
ça	PRON	cela
commissaire1	NOUN	commissaire1
Bien	ADV	bien
ils	PRON	il
et	CCONJ	et
de	ADP	de
,	PUNCT	,
pas	ADV	pas
ni	CCONJ	ni
à	ADP	à
sergent	NOUN	sergent
main	NOUN	main
d'	ADP	de
sur	ADP	sur
Tu	PRON	tu
plus	ADV	plus
le	DET	le
partie	NOUN	partie
Le	DET	le
franchement	ADV	franchement
Suzanne	PROPN	Suzanne
premier	ADJ	premier
d'	ADP	de
,	PUNCT	,
importance	NOUN	importance
Mais	CCONJ	mais
une	DET	un
Mais	CCONJ	mais
ne	ADV	ne
taches	NOUN	tache
chuchotante	ADJ	chuchotant
à	ADP	à
remarquaient	VERB	remarquer
de	ADP	de
Pourtant	ADV	pourtant
Rien	PRON	rien
au	ADP	au
cas	NOUN	cas
épaisse	ADJ	épais
qui	PRON	qui
injurié	VERB	injurier
homme	NOUN	homme
elle	PRON	lui
veinée	VERB	veiner
Je	PRON	je
dans	ADP	dans
rues	NOUN	rue
interrompait	VERB	interrompre
mieux	ADV	mieux
les	DET	le
à	ADP	à
couvrit	VERB	couvrir
pour	ADP	pour
du	ADP	de
bureau	NOUN	bureau
près	ADV	près
Des	DET	un
va-et-vient	NOUN	va-et-vient
mis	VERB	mettre
un	DET	un
me	PRON	me
votre	DET	votre
ton	DET	ton
Aucune	DET	aucun
Je	PRON	je
qui	PRON	qui
.	PUNCT	.
,	PUNCT	,
être	AUX	être
place	NOUN	place
