à	ADP	à
Il	PRON	il
tombait	VERB	tomber
Louis	PROPN	Louis
.	PUNCT	.
tueur	NOUN	tueur
page	NOUN	page
.	PUNCT	.
pour	ADP	pour
de	ADP	de
bien	ADV	bien
puisse	VERB	pouvoir
de	DET	de
bord	NOUN	bord
de	DET	de
du	ADP	de
à	ADP	à
.	PUNCT	.
qu'	SCONJ	que
de	DET	de
un	DET	un
il	PRON	il
la	DET	le
et	CCONJ	et
bouteille	NOUN	bouteille
Louis	PROPN	Louis
traduire	VERB	traduire
de	ADP	de
calmée	VERB	calmer
Paris	PROPN	Paris
de	ADP	de
regard	NOUN	regard
à	ADP	à
sans	ADP	sans
.	PUNCT	.
dernières	ADJ	dernier
entamer	VERB	entamer
attendait	VERB	attendre
le	DET	le
lui-même	PRON	lui-même
Bismarck	PROPN	Bismarck
.	PUNCT	.
interrompit	VERB	interrompre
n'	ADV	n'
fit	VERB	faire
une	DET	un
avant	ADP	avant
les	DET	le
régler	VERB	régler
remaniement	NOUN	remaniement
,	PUNCT	,
connaissait	VERB	connaître
»	PUNCT	»
vu	VERB	voir
Empire	PROPN	Empire
Tout	DET	tout
ce	DET	ce
c'	PRON	ce
sonné	VERB	sonner
à	ADP	à
,	PUNCT	,
aussi	ADV	aussi
sur	ADP	sur
travail	NOUN	travail
ne	ADV	ne
.	PUNCT	.
retraite	NOUN	retraite
Bismarck	PROPN	Bismarck
à	ADP	à
le	DET	le
qu'	SCONJ	que
.	PUNCT	.
les	DET	le
travail	NOUN	travail
en	ADP	en
petits	ADJ	petit
classerait	VERB	classer
un	DET	un
à	ADP	à
.	PUNCT	.
il	PRON	il
signal	NOUN	signal
Bismarck	PROPN	Bismarck
était	AUX	être
mains	NOUN	main
C'	PRON	ce
obstinément	ADV	obstinément
lui	PRON	lui
quand	SCONJ	quand
pluie	NOUN	pluie
,	PUNCT	,
.	PUNCT	.
savent	VERB	savoir
mi-voix	NOUN	mi-voi
pas	ADV	pas
était	VERB	être
une	DET	un
au	ADP	au
chasseur	NOUN	chasseur
doute	NOUN	doute
était	AUX	être
Lire	VERB	lire
journal	NOUN	journal
6	NUM	6
.	PUNCT	.
panier	NOUN	panier
avait	VERB	avoir
une	DET	un
cette	DET	ce
de	ADP	de
en	ADP	en
un	DET	un
du	ADP	de
que	SCONJ	que
et	CCONJ	et
Il	PRON	il
ce	DET	ce
homme	NOUN	homme
gros	ADJ	gros
,	PUNCT	,
mêmes	PRON	même
raison	NOUN	raison
n'	ADV	n'
la	DET	le
se	PRON	se
serait	AUX	être
sur	ADP	sur
que	SCONJ	que
[	PUNCT	[
tout	ADV	tout
.	PUNCT	.
de	ADP	de
nouveau	ADJ	nouveau
avant-dernière	ADJ	avant-dernier
alors	ADV	alors
foutre	VERB	foutre
cheveux	NOUN	cheveu
victime	NOUN	victime
«	PUNCT	«
qu'	SCONJ	que
d'	ADP	de
de	ADP	de
main	NOUN	main
crayons	NOUN	crayon
de	ADP	de
six	NUM	six
était	AUX	être
,	PUNCT	,
il	PRON	il
dans	ADP	dans
est	AUX	être
elles	PRON	lui
C'	PRON	ce
cause	NOUN	cause
,	PUNCT	,
chemises	NOUN	chemise
ses	DET	son
plus	ADV	plus
quoi	PRON	quoi
tout	ADJ	tout
alors	ADV	alors
Il	PRON	il
plaisir	NOUN	plaisir
prendre	VERB	prendre
occupent	VERB	occuper
il	PRON	il
et	CCONJ	et
Quelque	DET	quelque
lui	PRON	lui
de	ADP	de
la	DET	le
français	NOUN	français
pensée	NOUN	pensée
domestique	ADJ	domestique
sur	ADP	sur
de	ADP	de
que	SCONJ	que
ne	ADV	ne
de	ADP	de
des	ADP	de
coups	NOUN	coup
les	DET	le
leur	DET	leur
lui	PRON	lui
qu'	SCONJ	que
:	PUNCT	:
assassinées	VERB	assassiner
c'	PRON	ce
de	ADP	de
le	DET	le
.	PUNCT	.
et	CCONJ	et
autre	NOUN	autre
,	PUNCT	,
qu'	SCONJ	que
c'	PRON	ce
se	PRON	se
qui	PRON	qui
couvercle	NOUN	couvercle
acharnent	VERB	acharner
vingt-cinq	NUM	vingt-cinq
il	PRON	il
foutus	ADJ	foutu
se	PRON	se
il	PRON	il
à	ADP	à
tard	ADV	tard
ce	DET	ce
le	DET	le
.	PUNCT	.
la	DET	le
leva	VERB	lever
de	ADP	de
de	ADP	de
soigné	VERB	soigner
sur	ADP	sur
quoi	PRON	quoi
paisiblement	ADV	paisiblement
.	PUNCT	.
comptait	VERB	compter
sa	DET	son
humeur	NOUN	humeur
avait	AUX	avoir
fait	VERB	faire
.	PUNCT	.
boulot	NOUN	boulot
pays	NOUN	pays
bien	ADV	bien
faire	VERB	faire
Il	PRON	il
Kehlweiler	PROPN	Kehlweiler
y	PRON	y
crimes	NOUN	crime
problèmes	NOUN	problème
le	PRON	le
les	DET	le
.	PUNCT	.
chaise	NOUN	chaise
sur	ADP	sur
son	DET	son
inscrivit	VERB	inscrire
sur	ADP	sur
douteuse	ADJ	douteux
de	ADP	de
jeta	VERB	jeter
qu'	PRON	qu'
de	ADP	de
considérer	VERB	considérer
dupe	ADJ	dupe
probable	ADJ	probable
Non	ADV	non
raison	NOUN	raison
n'	ADV	n'
,	PUNCT	,
un	DET	un
.	PUNCT	.
.	PUNCT	.
jeter	VERB	jeter
obligé	VERB	obliger
de	ADP	de
plié	VERB	plier
À	ADP	à
traduire	VERB	traduire
en	ADP	en
du	ADP	de
au	ADP	au
d'	ADP	de
La	DET	le
Paris	PROPN	Paris
de	ADP	de
de	ADP	de
Il	PRON	il
puis	CCONJ	puis
on	PRON	on
il	PRON	il
misère	NOUN	misère
était	AUX	être
sur	ADP	sur
seule	ADJ	seul
au-dessus	ADV	au-dessus
.	PUNCT	.
mois	NOUN	mois
peut-être	ADV	peut-être
sa	DET	son
Parce	SCONJ	parce
d'	ADP	de
le	DET	le
la	DET	le
chose	NOUN	chose
butiner	VERB	butiner
contractées	VERB	contracter
,	PUNCT	,
Louis	PROPN	Louis
ce	DET	ce
songeait	VERB	songer
remit	VERB	remettre
humeur	NOUN	humeur
songer	VERB	songer
il	PRON	il
avec	ADP	avec
jour	NOUN	jour
ruer	VERB	ruer
ne	ADV	ne
se	PRON	se
un	DET	un
biographie	NOUN	biographie
l'	DET	le
,	PUNCT	,
la	DET	le
pas	NOUN	pas
vivre	VERB	vivre
de	ADP	de
de	ADP	de
en	PRON	en
au	ADP	au
son	DET	son
il	PRON	il
que	ADV	que
les	DET	le
idées	NOUN	idée
distraction	NOUN	distraction
,	PUNCT	,
Ce	DET	ce
pas	ADV	pas
à	ADP	à
clavier	NOUN	clavier
effet	NOUN	effet
l'	DET	le
de	ADP	de
Il	PRON	il
sur	ADP	sur
dos	NOUN	dos
avait	VERB	avoir
«	PUNCT	«
ces	DET	ce
aux	ADP	à
il	PRON	il
était	VERB	être
s'	PRON	se
.	PUNCT	.
le	DET	le
était	AUX	être
il	PRON	il
du	ADP	de
lignes	NOUN	ligne
articles	NOUN	article
sur	ADP	sur
quitté	VERB	quitter
en	ADP	en
interrompit	VERB	interrompre
.	PUNCT	.
Louis	PROPN	Louis
pourquoi	ADV	pourquoi
des	ADP	de
pensé	VERB	penser
estimant	VERB	estimer
type	NOUN	type
boulot	NOUN	boulot
,	PUNCT	,
allemand	NOUN	allemand
sauterait	VERB	sauter
n'	ADV	n'
d'	ADP	de
pensée	NOUN	pensée
qu'	PRON	qu'
de	DET	de
affaire	NOUN	affaire
notablement	ADV	notablement
de	ADP	de
licite	ADJ	licite
mentale	ADJ	mental
quelques	DET	quelque
,	PUNCT	,
affaire	NOUN	affaire
avait	VERB	avoir
,	PUNCT	,
en	ADP	en
,	PUNCT	,
pas	ADV	pas
sur	ADP	sur
décision	NOUN	décision
vingtaine	NOUN	vingtaine
était	VERB	être
journaux	NOUN	journal
ministériel	ADJ	ministériel
.	PUNCT	.
pas	ADV	pas
le	DET	le
qu'	SCONJ	que
de	ADP	de
le	DET	le
à	ADP	à
de	ADP	de
posa	VERB	poser
livré	VERB	livrer
à	ADP	à
Il	PRON	il
question	NOUN	question
sa	DET	son
du	ADP	de
s'	PRON	se
est	AUX	être
cette	DET	ce
à	ADP	à
début	NOUN	début
,	PUNCT	,
fasse	VERB	faire
Pensif	ADJ	pensif
en	PRON	en
regardait	VERB	regarder
simplement	ADV	simplement
était	AUX	être
.	PUNCT	.
traduisait	VERB	traduire
Empire	PROPN	Empire
semaine	NOUN	semaine
l'	DET	le
mois	NOUN	mois
à	ADP	à
les	DET	le
bien	ADV	bien
progressa	VERB	progresser
était	AUX	être
mai	NOUN	mai
l'	DET	le
,	PUNCT	,
présent	NOUN	présent
quand	SCONJ	quand
Tant	ADV	tant
où	PRON	où
en	PRON	en
qui	PRON	qui
arbre	NOUN	arbre
écran	NOUN	écran
ces	DET	ce
.	PUNCT	.
être	AUX	être
.	PUNCT	.
de	ADP	de
la	DET	le
,	PUNCT	,
.	PUNCT	.
sa	DET	son
n'	ADV	n'
réorganiser	VERB	réorganiser
de	ADP	de
boîte	NOUN	boîte
Sa	DET	son
sortit	VERB	sortir
cherchait	VERB	chercher
non	ADV	non
Avec	ADP	avec
rangement	NOUN	rangement
mai	NOUN	mai
dans	ADP	dans
rien	PRON	rien
de	ADP	de
c'	PRON	ce
scalps	NOUN	scalp
tirer	VERB	tirer
goulot	NOUN	goulot
examiner	VERB	examiner
seconde	ADJ	second
droit	NOUN	droit
«	PUNCT	«
Lire	VERB	lire
c'	PRON	ce
avec	ADP	avec
de	ADP	de
chemises	NOUN	chemise
consommation	NOUN	consommation
du	ADP	de
ce	DET	ce
Pas	ADV	pas
question	NOUN	question
au	ADP	au
placard	NOUN	placard
installé	VERB	installer
volumineuse	ADJ	volumineux
Il	PRON	il
d'	ADP	de
fait	VERB	faire
car	CCONJ	car
pas	ADV	pas
en	ADP	en
-ce	PRON	-ce
d'	ADP	de
et	CCONJ	et
en	ADP	en
calme	ADJ	calme
vivre	VERB	vivre
n'	ADV	n'
chaussures	NOUN	chaussure
