un	DET	un
son	DET	son
de	ADP	de
de	ADP	de
plus	ADV	plus
Il	PRON	il
gorgée	NOUN	gorgée
besognes	NOUN	besogne
:	PUNCT	:
femme	NOUN	femme
sur	ADP	sur
ici	ADV	ici
ombre	NOUN	ombre
.	PUNCT	.
dernier	ADJ	dernier
Boulevard	X	Boulevard
.	PUNCT	.
série	NOUN	série
un	DET	un
exomémoire	NOUN	exomémoire
une	DET	un
loisir	NOUN	loisir
univers	NOUN	univers
s'	PRON	se
,	PUNCT	,
effaçait	VERB	effacer
avait	VERB	avoir
qu'	SCONJ	que
pourquoi	ADV	pourquoi
j'	PRON	je
l'	DET	le
ce	DET	ce
étiquette	NOUN	étiquette
fermait	VERB	fermer
abus	NOUN	abus
brillait	VERB	briller
répondit	VERB	répondre
plus	ADV	plus
jusqu'	ADP	jusque
après	ADP	après
,	PUNCT	,
...	PUNCT	...
l'	DET	le
.	PUNCT	.
son	DET	son
prendre	VERB	prendre
qui	PRON	qui
au	ADP	au
écho	NOUN	écho
qui	PRON	qui
Tout	ADJ	tout
SanDee	PROPN	SanDee
pas	ADV	pas
de	ADP	de
l'	DET	le
,	PUNCT	,
douloureusement	ADV	douloureusement
fréquenter	VERB	fréquenter
les	DET	le
en	ADP	en
texture	NOUN	texture
inconnue	NOUN	inconnue
cure	NOUN	cure
-il	PRON	il
ne	ADV	ne
les	DET	le
,	PUNCT	,
taches	NOUN	tache
,	PUNCT	,
.	PUNCT	.
l'	DET	le
se	PRON	se
équipe	NOUN	équipe
qui	PRON	qui
ses	DET	son
d'	ADP	de
de	ADP	de
lui	PRON	lui
?	PUNCT	?
attention	NOUN	attention
Cette	DET	ce
féminine	ADJ	féminin
toutes	ADJ	tout
répugnante	ADJ	répugnant
visages	NOUN	visage
magnum	NOUN	magnum
Destroy	PROPN	Destroy
,	PUNCT	,
de	ADP	de
cette	DET	ce
rien	PRON	rien
plus	ADV	plus
en	ADP	en
un	DET	un
vue	NOUN	vue
allures	NOUN	allure
cheminé	VERB	cheminer
y	PRON	y
Je	PRON	je
:	PUNCT	:
Nietzsche	PROPN	Nietzsche
truc	NOUN	truc
encore	ADV	encore
une	DET	un
les	DET	le
rampait	VERB	ramper
.	PUNCT	.
s'	PRON	se
tirade	NOUN	tirade
bois	NOUN	bois
(	PUNCT	(
en	PRON	en
insinuèrent	VERB	insinuer
l'	DET	le
)	PUNCT	)
à	ADP	à
portique	NOUN	portique
posait	VERB	poser
où	PRON	où
plus	ADV	plus
fantôme	NOUN	fantôme
couleur	NOUN	couleur
aucune	DET	aucun
enfermait	VERB	enfermer
ses	DET	son
SD	PROPN	SD
contenance	NOUN	contenance
Destroy	PROPN	Destroy
air	NOUN	air
cils	NOUN	cil
pouvait	VERB	pouvoir
