Je	PRON	je
tard	ADV	tard
intérieurement	ADV	intérieurement
en	ADP	en
l'	DET	le
les	DET	le
une	DET	un
mystérieuse	ADJ	mystérieux
un	DET	un
,	PUNCT	,
dans	ADP	dans
mon	DET	mon
jamais	ADV	jamais
après	ADP	après
connaissons	VERB	connaître
s'	PRON	se
Leurs	DET	leur
d'	ADP	de
libérait	VERB	libérer
,	PUNCT	,
je	PRON	je
que	SCONJ	que
cils	NOUN	cil
une	DET	un
I	NOUN	i
,	PUNCT	,
sais	VERB	savoir
béret	NOUN	béret
à	ADP	à
t'	PRON	te
trouvèrent	VERB	trouver
appelons	VERB	appeler
librement	ADV	librement
de	ADP	de
eu	VERB	avoir
étaient	AUX	être
,	PUNCT	,
de	ADP	de
taille	NOUN	taille
commença	VERB	commencer
intense	ADJ	intense
siècles	NOUN	siècle
pouce	NOUN	pouce
la	DET	le
était	AUX	être
le	DET	le
,	PUNCT	,
ces	DET	ce
godiche	ADJ	godiche
moquèrent	VERB	moquer
Léthéville	PROPN	Léthéville
laboratoire	NOUN	laboratoire
n'	ADV	n'
leurs	DET	leur
m'	PRON	me
le	DET	le
,	PUNCT	,
ou	CCONJ	ou
n'	ADV	n'
à	ADP	à
,	PUNCT	,
à	ADP	à
et	CCONJ	et
toutes	ADJ	tout
les	DET	le
cru	VERB	croire
gros	ADJ	gros
aurais	AUX	avoir
—	PUNCT	—
l'	DET	le
ne	ADV	ne
contre	ADP	contre
sergent	NOUN	sergent
passablement	ADV	passablement
.	PUNCT	.
était	AUX	être
jouais	VERB	jouer
y	PRON	y
affublé	VERB	affubler
Marie-Anne	PROPN	Marie-Anne
adorait	VERB	adorer
Hachichins	PROPN	Hachichins
la	DET	le
contre	ADP	contre
DATE	NOUN	date
,	PUNCT	,
atteint	VERB	atteindre
On	PRON	on
les	DET	le
.	PUNCT	.
Il	PRON	il
tout	ADV	tout
Année	NOUN	année
radioactivité	NOUN	radioactivité
lointains	ADJ	lointain
la	DET	le
.	PUNCT	.
dzETTE	PROPN	dzETTE
de	ADP	de
qui	PRON	qui
Il	PRON	il
dans	ADP	dans
—	PUNCT	—
les	DET	le
civilisation	NOUN	civilisation
,	PUNCT	,
refleurît	VERB	refleurir
quelquefois	ADV	quelquefois
sur	ADP	sur
pas	ADV	pas
doux	ADJ	doux
capote	NOUN	capote
sourcils	NOUN	sourcil
,	PUNCT	,
blanc	ADJ	blanc
nucléaire	ADJ	nucléaire
,	PUNCT	,
de	ADP	de
même	PRON	même
spéciaux	ADJ	spécial
recouverts	VERB	recouvrir
revers	NOUN	revers
ouvris	VERB	ouvrir
Il	PRON	il
par	ADP	par
jour	NOUN	jour
Services	NOUN	service
.	PUNCT	.
la	DET	le
comment	ADV	comment
sur	ADP	sur
et	CCONJ	et
de	ADP	de
mon	DET	mon
mère	NOUN	mère
,	PUNCT	,
poitrine	NOUN	poitrine
aussi	ADV	aussi
autres	PRON	autre
ne	ADV	ne
d'	ADP	de
avec	ADP	avec
toute	DET	tout
quelques	DET	quelque
nous	PRON	nous
les	DET	le
,	PUNCT	,
disparu	VERB	disparaître
moins	ADV	moins
suite	NOUN	suite
il	PRON	il
sait	VERB	savoir
souvenaient	VERB	souvenir
avec	ADP	avec
avait	AUX	avoir
qui	PRON	qui
.	PUNCT	.
énorme	ADJ	énorme
ère	NOUN	ère
au	ADP	au
.	PUNCT	.
je	PRON	je
et	CCONJ	et
tentaculaire	ADJ	tentaculaire
pour	ADP	pour
La	DET	le
une	DET	un
les	DET	le
on	PRON	on
Christ	PROPN	Christ
uniformité	NOUN	uniformité
période	NOUN	période
avais	VERB	avoir
la	DET	le
dans	ADP	dans
eu	VERB	avoir
d'	ADP	de
l'	DET	le
-	NOUN	-
vous	PRON	vous
grand	ADJ	grand
conte	NOUN	conte
sauvait	VERB	sauver
.	PUNCT	.
un	DET	un
Ils	PRON	il
familier	ADJ	familier
et	CCONJ	et
s'	PRON	se
vous	PRON	vous
:	PUNCT	:
luttèrent	VERB	lutter
géant	NOUN	géant
Charles	PROPN	Charles
avez	AUX	avoir
au	ADP	au
me	PRON	me
immédiatement	ADV	immédiatement
puissante	ADJ	puissant
,	PUNCT	,
cher	ADJ	cher
les	DET	le
je	PRON	je
engins	NOUN	engin
plus	ADV	plus
vouer	VERB	vouer
spectromètres	NOUN	spectromètre
pour	ADP	pour
ça	PRON	cela
histoire	NOUN	histoire
glacée	ADJ	glacé
époque	NOUN	époque
dans	ADP	dans
et	CCONJ	et
jours	NOUN	jour
me	PRON	me
quolibets	NOUN	quolibet
détruit	VERB	détruire
les	DET	le
,	PUNCT	,
principes	NOUN	principe
jour	NOUN	jour
de	ADP	de
Minotaures	NOUN	minotaure
,	PUNCT	,
ce	DET	ce
puis	CCONJ	puis
homme	NOUN	homme
terre	NOUN	terre
chanson	NOUN	chanson
,	PUNCT	,
dans	ADP	dans
on	PRON	on
tout	DET	tout
fut	AUX	être
ridicule	ADJ	ridicule
.	PUNCT	.
,	PUNCT	,
d'	ADP	de
\général	ADJ	\général
plus	ADV	plus
galaxiques	ADJ	galaxique
ce	DET	ce
une	DET	un
après	ADP	après
balistiques	ADJ	balistique
main	NOUN	main
entrailles	NOUN	entrailles
y	PRON	y
grand	ADJ	grand
il	PRON	il
Ainsi	ADV	ainsi
dont	PRON	dont
presque	ADV	presque
:	PUNCT	:
Inconcevable	ADJ	inconcevable
ainsi	ADV	ainsi
à	ADP	à
cap	NOUN	cap
comme	ADP	comme
qui	PRON	qui
venaient	VERB	venir
,	PUNCT	,
prévu	VERB	prévoir
mirent	VERB	mettre
rien	PRON	rien
passé	VERB	passer
pour	ADP	pour
,	PUNCT	,
j'	PRON	je
faune	NOUN	faune
ce	DET	ce
,	PUNCT	,
l'	DET	le
si	SCONJ	si
premier	ADJ	premier
ta	DET	ton
à	ADP	à
nom	NOUN	nom
ne	ADV	ne
ongles	NOUN	ongle
DE	ADP	de
il	PRON	il
an	NOUN	an
l'	DET	le
,	PUNCT	,
Mon	DET	mon
la	DET	le
,	PUNCT	,
talons	NOUN	talon
que	PRON	que
propre	ADJ	propre
de	ADP	de
Là	ADV	là
d'	ADP	de
sur	ADP	sur
un	DET	un
catastrophe	NOUN	catastrophe
.	PUNCT	.
des	DET	un
fourrier	PROPN	fourrier
ne	ADV	ne
:	PUNCT	:
s'	PRON	se
On	PRON	on
NICOLAS	PROPN	NICOLAS
intergalaxiques	ADJ	intergalaxique
studio	NOUN	studio
vivant	ADJ	vivant
aller	VERB	aller
ère	NOUN	ère
précédente	ADJ	précédent
chardon	NOUN	chardon
cœur	NOUN	cœur
,	PUNCT	,
végétaux	NOUN	végétal
Paganini	PROPN	Paganini
,	PUNCT	,
.	PUNCT	.
ne	ADV	ne
qui	PRON	qui
noire	ADJ	noir
que	SCONJ	que
avaient	AUX	avoir
que	SCONJ	que
.	PROPN	.
ils	PRON	il
que	SCONJ	que
à	ADP	à
,	PUNCT	,
l'	DET	le
,	PUNCT	,
,	PUNCT	,
sera	AUX	être
tête	NOUN	tête
revers	NOUN	revers
.	PUNCT	.
15	PRON	15
,	PUNCT	,
nous	PRON	nous
me	PRON	me
referma	VERB	refermer
inconsciemment	ADV	inconsciemment
je	PRON	je
à	ADP	à
mais	CCONJ	mais
la	DET	le
noir	ADJ	noir
aussi	ADV	aussi
femmes	NOUN	femme
Au	ADP	au
les	DET	le
leui	DET	leui
de	ADP	de
,	PUNCT	,
il	PRON	il
sens	NOUN	sens
mon	DET	mon
maître	NOUN	maître
humaine	ADJ	humain
et	CCONJ	et
suçait	VERB	sucer
vaincue	VERB	vaincre
espèce	NOUN	espèce
solaire	ADJ	solaire
étaient	AUX	être
825	NUM	825
sur	ADP	sur
les	DET	le
argent	NOUN	argent
ne	ADV	ne
fragile	ADJ	fragile
et	CCONJ	et
Je	PRON	je
le	DET	le
-	PROPN	-
leur	DET	leur
je	PRON	je
fut	AUX	être
jusqu'	ADP	jusque
du	ADP	de
—	PUNCT	—
je	PRON	je
humour	NOUN	humour
j'	PRON	je
le	DET	le
du	ADP	de
pas	ADV	pas
si	SCONJ	si
Goliath	PROPN	Goliath
avait	AUX	avoir
rendit	VERB	rendre
PETIT	ADJ	petit
après-midi	NOUN	après-midi
sur	ADP	sur
médiocre	ADJ	médiocre
régiment	NOUN	régiment
cadencé	VERB	cadencer
cœur	NOUN	cœur
:	PUNCT	:
se	PRON	se
inutilisable	ADJ	inutilisable
animales	ADJ	animal
Les	DET	le
les	DET	le
même	ADV	même
répéter	VERB	répéter
tant	ADV	tant
lèvres	NOUN	lèvre
à	ADP	à
.	PUNCT	.
...	PUNCT	...
Je	PRON	je
d'	ADP	de
pas	ADV	pas
par	ADP	par
moi	PRON	moi
d'	ADP	de
ménagerie	NOUN	ménagerie
des	DET	un
Je	PRON	je
efficaces	ADJ	efficace
un	PRON	un
écraser	VERB	écraser
permission	NOUN	permission
,	PUNCT	,
entraînement	NOUN	entraînement
uns	ADJ	un
debout	ADJ	debout
lumière	NOUN	lumière
terre	NOUN	terre
du	ADP	de
et	CCONJ	et
,	PUNCT	,
autresferont	VERB	autresfer
les	DET	le
la	DET	le
geste	NOUN	geste
,	PUNCT	,
un	DET	un
sans	ADP	sans
ci	NOUN	ci
prince	NOUN	prince
...	PUNCT	...
penseurs	NOUN	penseur
sorciers	NOUN	sorcier
avais	AUX	avoir
biseau	NOUN	biseau
-	NOUN	-
.	PUNCT	.
dont	PRON	dont
planète	NOUN	planète
les	DET	le
ksi	PROPN	ksi
fût	AUX	être
pas	ADV	pas
que	SCONJ	que
à	ADP	à
l'	DET	le
-il	PRON	il
536	NOUN	536
avait	AUX	avoir
On	PRON	on
Je	PRON	je
ère	NOUN	ère
inventer	VERB	inventer
tant	ADV	tant
diagonale	NOUN	diagonale
et	CCONJ	et
le	DET	le
-	PROPN	-
réfugiais	VERB	réfugier
,	PUNCT	,
ombre	NOUN	ombre
la	DET	le
tout-puissants	ADJ	tout-puissant
qui	PRON	qui
espace	NOUN	espace
grand	ADJ	grand
mon	DET	mon
sages	ADJ	sage
signa	VERB	signer
psi	PROPN	psi
comment	ADV	comment
les	DET	le
songèrent	VERB	songer
de	ADP	de
un	DET	un
le	DET	le
Quand	SCONJ	quand
MMII	NOUN	mmii
comme	ADP	comme
les	DET	le
en	PRON	en
dont	PRON	dont
mais	CCONJ	mais
,	PUNCT	,
—	PUNCT	—
ère	NOUN	ère
recommandèrent	VERB	recommander
»	PUNCT	»
.	PUNCT	.
l'	DET	le
toujours	ADV	toujours
qui	PRON	qui
avait	AUX	avoir
comment	ADV	comment
cornet	NOUN	cornet
me	PRON	me
ce	PRON	ce
.	PUNCT	.
des	ADP	de
la	DET	le
une	DET	un
deuil	NOUN	deuil
deuil	NOUN	deuil
Là	ADV	là
lutte	NOUN	lutte
bien-aimée	NOUN	bien-aimé
vierge	ADJ	vierge
,	PUNCT	,
peu	ADV	peu
cette	DET	ce
grottes	NOUN	grotte
déplaisait	VERB	déplaire
dans	ADP	dans
adjudant	NOUN	adjudant
le	DET	le
regard	NOUN	regard
:	PUNCT	:
.	PUNCT	.
ai	AUX	avoir
,	PUNCT	,
feu	NOUN	feu
costume	NOUN	costume
jamais	ADV	jamais
,	PUNCT	,
:	PUNCT	:
colonie	NOUN	colonie
,	PUNCT	,
nôtre	NOUN	nôtre
mais	CCONJ	mais
ton	DET	ton
de	ADP	de
chez	ADP	chez
mes	DET	mon
C'	PRON	ce
pour	ADP	pour
survivants	NOUN	survivant
!	PUNCT	!
de	ADP	de
dans	ADP	dans
les	DET	le
\dû	VERB	\dû
m'	PRON	me
avait	VERB	avoir
aussi	ADV	aussi
.	PUNCT	.
cet	DET	ce
Jésus	PROPN	Jésus
chuchotait	VERB	chuchoter
Nathalie	PROPN	Nathalie
affaire	NOUN	affaire
de	ADP	de
d'	ADP	de
plus	ADV	plus
moi	PRON	moi
étouffons	VERB	étouffer
qui	PRON	qui
étais	AUX	être
et	CCONJ	et
avaient	AUX	avoir
cette	DET	ce
l'	DET	le
espèce	NOUN	espèce
sous	ADP	sous
«	PUNCT	«
ils	PRON	il
été	AUX	être
,	PUNCT	,
le	DET	le
forêt	NOUN	forêt
N-	NOUN	n-
permettait	VERB	permettre
de	ADP	de
se	PRON	se
,	PUNCT	,
la	DET	le
que	PRON	que
derniers	ADJ	dernier
métro	NOUN	métro
comment	ADV	comment
me	PRON	me
marchais	VERB	marcher
cas	NOUN	cas
sur	ADP	sur
,	PUNCT	,
défier	VERB	défier
»	PUNCT	»
battait	VERB	battre
cette	DET	ce
L'	DET	le
j'	PRON	je
On	PRON	on
mon	DET	mon
et	CCONJ	et
.	PUNCT	.
avait	VERB	avoir
d'	ADP	de
.	PUNCT	.
désignait	VERB	désigner
astronef	NOUN	astronef
libératrice	ADJ	libérateur
,	PUNCT	,
horions	NOUN	horion
acheva	VERB	achever
ÈRE	NOUN	ère
,	PUNCT	,
rescapés	NOUN	rescapé
l'	DET	le
bergers	NOUN	berger
!	PUNCT	!
.	PUNCT	.
repeuplée	VERB	repeupler
des	ADP	de
fallu	VERB	falloir
musicien	NOUN	musicien
Yacha	PROPN	Yacha
Et	CCONJ	et
survécu	VERB	survivre
...	PUNCT	...
blessure	NOUN	blessure
sujet	NOUN	sujet
rouillèrent	VERB	rouiller
terre	NOUN	terre
perdue	VERB	perdre
laboureurs	NOUN	laboureur
me	PRON	me
dû	VERB	devoir
eus	VERB	avoir
ancêtres	NOUN	ancêtre
circulaient	VERB	circuler
»	PUNCT	»
vie	NOUN	vie
Mais	CCONJ	mais
terminée	VERB	terminer
par	ADP	par
enfin	ADV	enfin
ENREGISTREMENT	PROPN	ENREGISTREMENT
sait	VERB	savoir
ère	NOUN	ère
natale	ADJ	natal
—	PUNCT	—
psi	PROPN	psi
ce	PRON	ce
me	PRON	me
leurs	DET	leur
coûte	VERB	coûte
cosmonautes	NOUN	cosmonaute
devinrent	VERB	devenir
multitude	NOUN	multitude
et	CCONJ	et
sur	ADP	sur
vas	VERB	aller
même	PRON	même
.	PUNCT	.
l'	PRON	l'
,	PUNCT	,
vie	NOUN	vie
la	DET	le
:	PUNCT	:
beau	ADJ	beau
n'	ADV	n'
père	NOUN	père
dans	ADP	dans
n'	ADV	n'
oh	INTJ	oh
Sur	ADP	sur
,	PUNCT	,
posée	VERB	poser
édifièrent	VERB	édifier
qu'	SCONJ	que
mon	DET	mon
ça	PRON	cela
violoncelle	NOUN	violoncelle
,	PUNCT	,
sur	ADP	sur
patrie	NOUN	patrie
en	ADP	en
les	DET	le
squares	NOUN	square
des	ADP	de
nuit	NOUN	nuit
un	DET	un
devint	VERB	devenir
«	PUNCT	«
mais	CCONJ	mais
ils	PRON	il
C'	PRON	ce
me	PRON	me
pas	ADV	pas
existait	VERB	exister
l'	DET	le
Ça	PRON	cela
disparu	VERB	disparaître
,	PUNCT	,
pas	ADV	pas
et	CCONJ	et
pour	ADP	pour
visage	NOUN	visage
,	PUNCT	,
de	ADP	de
aussi	ADV	aussi
noir	ADJ	noir
toute	ADJ	tout
impossible	ADJ	impossible
,	PUNCT	,
cela	PRON	cela
démesure	NOUN	démesure
moi	PRON	moi
hommes	NOUN	homme
dans	ADP	dans
ma	DET	mon
ma	DET	mon
pêcheurs	NOUN	pêcheur
planétaire	ADJ	planétaire
.	PUNCT	.
de	ADP	de
.	PUNCT	.
ei	NOUN	ei
.	PUNCT	.
piston	NOUN	piston
peut-être	ADV	peut-être
louer	VERB	louer
la	DET	le
,	PUNCT	,
m'	PRON	me
le	DET	le
«	PUNCT	«
-	ADV	-
fut	AUX	être
qui	PRON	qui
ères	NOUN	ère
traîner	VERB	traîner
feuille	NOUN	feuille
nom	NOUN	nom
:	PUNCT	:
,	PUNCT	,
avez	AUX	avoir
peu	ADV	peu
comment	ADV	comment
Les	DET	le
me	PRON	me
se	PRON	se
.	PUNCT	.
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
valut	VERB	valoir
les	DET	le
Ainsi	ADV	ainsi
où	PRON	où
oublièrent	VERB	oublier
dessus	ADP	dessus
où	PRON	où
Cassandres	NOUN	cassandre
ensevelis	VERB	ensevelir
ou	CCONJ	ou
crêpe	NOUN	crêpe
d'	ADP	de
une	DET	un
seulement	ADV	seulement
.	PUNCT	.
s'	PRON	se
papillon	NOUN	papillon
insondables	ADJ	insondable
que	SCONJ	que
,	PUNCT	,
souterrains	ADJ	souterrain
ont	VERB	avoir
proportions	NOUN	proportion
âme	NOUN	âme
!	PUNCT	!
tant	ADV	tant
\s'	PRON	\s'
-	PRON	-
,	PUNCT	,
d'	ADP	de
sait	VERB	savoir
est	AUX	être
périr	VERB	périr
itou	PROPN	itou
ORIGINE	NOUN	origine
.	PUNCT	.
qu'	SCONJ	que
,	PUNCT	,
à	ADP	à
.	PUNCT	.
tous	ADJ	tout
pouvais	VERB	pouvoir
.	PUNCT	.
Ëden	PROPN	Ëden
avait	AUX	avoir
édénique	ADJ	édénique
celui	PRON	celui
sait	VERB	savoir
mais	CCONJ	mais
.	PUNCT	.
Terre	PROPN	Terre
.	PUNCT	.
...	PUNCT	...
selon	ADP	selon
une	DET	un
toute	DET	tout
du	ADP	de
affreux	ADJ	affreux
se	PRON	se
des	DET	un
laquelle	PRON	lequel
ombre	NOUN	ombre
qui	PRON	qui
Car	CCONJ	car
la	DET	le
J'	PRON	je
de	ADP	de
.	PUNCT	.
un	DET	un
je	PRON	je
lequel	PRON	lequel
—	PUNCT	—
artifice	NOUN	artifice
coordonnées	NOUN	coordonnée
eu	VERB	avoir
était	AUX	être
permanente	ADJ	permanent
bon	ADJ	bon
beau	ADJ	beau
leur	PRON	leur
en	ADP	en
avait	AUX	avoir
plus	ADV	plus
qui	PRON	qui
début	NOUN	début
astronef	NOUN	astronef
.	PUNCT	.
quelques	DET	quelque
,	PUNCT	,
un	DET	un
avait	AUX	avoir
ils	PRON	il
une	DET	un
légende	NOUN	légende
et	CCONJ	et
-	PROPN	-
doute	NOUN	doute
s'	SCONJ	s'
n'	ADV	n'
-	PRON	-
pas	ADV	pas
large	ADJ	large
faisait	VERB	faire
en	ADP	en
plus	ADV	plus
les	DET	le
lancés	VERB	lancer
suis	AUX	être
Kobolds	PROPN	Kobolds
deuil	NOUN	deuil
alidades	NOUN	alidade
des	DET	un
trou	NOUN	trou
:	PUNCT	:
tous	ADJ	tout
mon	DET	mon
Biocrates	NOUN	biocrate
mis	VERB	mettre
Henneberg	PROPN	Henneberg
grande	ADJ	grand
un	DET	un
nommaient	VERB	nommer
année	NOUN	année
une	DET	un
,	PUNCT	,
une	DET	un
fois	NOUN	fois
de	ADP	de
pas	NOUN	pas
l'	DET	le
violoncelle	NOUN	violoncelle
