lenteur	NOUN	lenteur
,	PUNCT	,
d'	ADP	de
heures	NOUN	heure
consulat	NOUN	consulat
de	ADP	de
devant	ADP	devant
placés	VERB	placer
nouvelle	ADJ	nouveau
.	PUNCT	.
ses	DET	son
suppliai	VERB	supplier
s'	PRON	se
pesant	ADJ	pesant
à	ADP	à
-	PUNCT	-
George	PROPN	George
rue	NOUN	rue
pourtant	ADV	pourtant
vous	PRON	vous
.	PUNCT	.
accusation	NOUN	accusation
en	ADP	en
photo	NOUN	photo
,	PUNCT	,
plus	ADV	plus
oreilles	NOUN	oreille
comme	SCONJ	comme
cicatrice	NOUN	cicatrice
fervents	NOUN	fervent
,	PUNCT	,
-	PUNCT	-
Poiccart	PROPN	Poiccart
.	PUNCT	.
à	ADP	à
il	PRON	il
Notre-Dame	PROPN	Notre-Dame
de	ADP	de
si	ADV	si
détaillé	ADJ	détaillé
vous	PRON	vous
c'	PRON	ce
que	PRON	que
grossier	ADJ	grossier
,	PUNCT	,
l'	DET	le
Vous	PRON	vous
.	PUNCT	.
seront	AUX	être
De	ADP	de
,	PUNCT	,
un	DET	un
récit	NOUN	récit
importe	VERB	importe
la	DET	le
,	PUNCT	,
d'	ADP	de
Mais	CCONJ	mais
numéro	NOUN	numéro
Madridqu'	PRON	madridqu'
.	PUNCT	.
autre	ADJ	autre
ou	CCONJ	ou
aussi	ADV	aussi
à	ADP	à
genoux	NOUN	genou
produit	NOUN	produit
hommes	NOUN	homme
répète	VERB	répète
besoin	NOUN	besoin
et	CCONJ	et
atterré	VERB	atterrer
blanche	ADJ	blanc
,	PUNCT	,
élégante	ADJ	élégant
Voilà	VERB	voilà
-il	PRON	il
.	PUNCT	.
Exécuté	VERB	exécuter
les	DET	le
.	PUNCT	.
arrivé	VERB	arriver
façon	NOUN	façon
l'	DET	le
murailles	NOUN	muraille
avec	ADP	avec
,	PUNCT	,
Manfred	PROPN	Manfred
d'	ADP	de
étaient	AUX	être
Une	DET	un
,	PUNCT	,
méridionales	ADJ	méridional
national	ADJ	national
,	PUNCT	,
mouvement	NOUN	mouvement
en	ADP	en
tête	NOUN	tête
,	PUNCT	,
en	ADP	en
souvenez	VERB	souvenir
les	DET	le
du	ADP	de
tripotait	VERB	tripoter
le	PRON	le
les	PRON	le
Ou	CCONJ	ou
Oh	INTJ	Oh
:	PUNCT	:
-	NOUN	-
Si	SCONJ	si
protesta	VERB	protester
son	DET	son
journal	NOUN	journal
chimie	NOUN	chimie
le	DET	le
vous	PRON	vous
5	NUM	5
4	NUM	4
été	AUX	être
une	DET	un
l'	DET	le
matin	NOUN	matin
heures	NOUN	heure
y	PRON	y
ignorance	NOUN	ignorance
rondes	ADJ	rond
.	PUNCT	.
dossier	NOUN	dossier
inoccupées	VERB	inoccuper
sa	DET	son
et	CCONJ	et
la	DET	le
moquerie	NOUN	moquerie
existence	NOUN	existence
sourcils	NOUN	sourcil
Madrid	PROPN	Madrid
est	AUX	être
si	ADV	si
leur	PRON	leur
que	SCONJ	que
avec	ADP	avec
était	AUX	être
comme	ADP	comme
et	CCONJ	et
son	DET	son
à	ADP	à
profil	NOUN	profil
aise	NOUN	aise
n'	ADV	n'
ou	CCONJ	ou
,	PUNCT	,
bientôt	ADV	bientôt
a	VERB	avoir
,	PUNCT	,
employer	VERB	employer
assassin	NOUN	assassin
la	DET	le
lire	VERB	lire
le	DET	le
,	PUNCT	,
apprendre	VERB	apprendre
ailes	NOUN	aile
avec	ADP	avec
agit	VERB	agir
Ces	DET	ce
,	PUNCT	,
café	NOUN	café
ouvrage	NOUN	ouvrage
victimes	NOUN	victime
de	ADP	de
superflu	ADJ	superflu
abattre	VERB	abattre
THORY	PROPN	THORY
étais	AUX	être
et	CCONJ	et
mal	ADV	mal
.	PUNCT	.
présenté	VERB	présenter
excellent	ADJ	excellent
n'	ADV	n'
il	PRON	il
barbe	NOUN	barbe
église	NOUN	église
-ce	PRON	-ce
par	ADP	par
?	PUNCT	?
,	PUNCT	,
photographies	NOUN	photographie
assis	VERB	asseoir
au	ADP	au
détails	NOUN	détail
moins	ADV	moins
est	AUX	être
de	ADP	de
et	CCONJ	et
services	NOUN	service
poivre	NOUN	poivre
,	PUNCT	,
la	DET	le
en	ADP	en
c'	PRON	ce
à	ADP	à
affaire	NOUN	affaire
fois	NOUN	fois
ses	DET	son
nul	PRON	nul
Anthropologie	NOUN	anthropologie
pour	ADP	pour
que	PRON	que
?	PUNCT	?
dans	ADP	dans
,	PUNCT	,
aide	NOUN	aide
aussi	ADV	aussi
le	DET	le
.	PUNCT	.
DE	ADP	de
Gonzalez	PROPN	Gonzalez
-	PUNCT	-
dans	ADP	dans
se	PRON	se
eut	VERB	avoir
ennemi	NOUN	ennemi
trouverez	VERB	trouver
de	ADP	de
paresseusement	ADV	paresseusement
:	PUNCT	:
appelait	VERB	appeler
a	VERB	avoir
étroite	ADJ	étroit
de	ADP	de
ou	CCONJ	ou
musée	NOUN	musée
crispèrent	VERB	crisper
un	DET	un
avec	ADP	avec
Des	DET	un
Vous	PRON	vous
Poiccart	PROPN	Poiccart
train	NOUN	train
à	ADP	à
se	PRON	se
.	PUNCT	.
concernant	VERB	concerner
eux	PRON	lui
exécution	NOUN	exécution
les	PRON	le
a	AUX	avoir
ces	DET	ce
10	NUM	10
chère	NOUN	chère
sa	DET	son
...	PUNCT	...
comme	ADP	comme
table	NOUN	table
il	PRON	il
Saimont	PROPN	Saimont
.	PUNCT	.
la	DET	le
ordinaire	NOUN	ordinaire
établis	VERB	établir
.	PUNCT	.
l'	PRON	l'
été	NOUN	été
des	DET	un
-	PUNCT	-
extrémité	NOUN	extrémité
lui	PRON	lui
dans	ADP	dans
serait	AUX	être
on	PRON	on
à	ADP	à
enleva	VERB	enlever
sont	AUX	être
comme	ADP	comme
nécessaires	ADJ	nécessaire
de	ADP	de
traversé	VERB	traverser
leur	PRON	leur
Florence	PROPN	Florence
tourmente	VERB	tourmente
monocle	NOUN	monocle
dans	ADP	dans
large	ADJ	large
la	DET	le
,	PUNCT	,
Il	PRON	il
je	PRON	je
les	DET	le
et	CCONJ	et
,	PUNCT	,
Il	PRON	il
une	DET	un
patron	NOUN	patron
la	DET	le
etc.	ADV	etc.
