,	PUNCT	,
non	ADV	non
la	DET	le
car	CCONJ	car
des	ADP	de
établir	VERB	établir
à	ADP	à
Les	DET	le
avec	ADP	avec
n'	ADV	n'
musique	NOUN	musique
mieux	ADV	mieux
voulurent	VERB	vouloir
ne	ADV	ne
pour	ADP	pour
les	DET	le
positrons	NOUN	positron
conservation	NOUN	conservation
que	SCONJ	que
Pour	ADP	pour
les	PRON	le
la	DET	le
cette	DET	ce
avaient	VERB	avoir
Les	DET	le
on	PRON	on
peut	VERB	pouvoir
qu'	SCONJ	que
il	PRON	il
les	DET	le
n'	ADV	n'
ils	PRON	il
sont	AUX	être
la	DET	le
.	PUNCT	.
des	ADP	de
des	DET	un
radio	NOUN	radio
Parfois	ADV	parfois
copains	NOUN	copain
le	DET	le
.	PUNCT	.
leur	PRON	leur
qui	PRON	qui
les	DET	le
en	ADP	en
,	PUNCT	,
,	PUNCT	,
époque	NOUN	époque
attroupaient	VERB	attrouper
.	PUNCT	.
Ils	PRON	il
y	PRON	y
au	ADP	au
un	DET	un
que	SCONJ	que
un	DET	un
gangs	NOUN	gang
grand	ADJ	grand
rayonna	VERB	rayonner
mère	NOUN	mère
foire	NOUN	foire
épargneraient	VERB	épargner
On	PRON	on
,	PUNCT	,
fut	AUX	être
:	PUNCT	:
,	PUNCT	,
de	ADP	de
,	PUNCT	,
rendre	VERB	rendre
point	NOUN	point
,	PUNCT	,
programme	NOUN	programme
,	PUNCT	,
pas	ADV	pas
.	PUNCT	.
l'	DET	le
mais	CCONJ	mais
des	DET	un
.	PUNCT	.
s'	PRON	se
étaient	AUX	être
existence	NOUN	existence
être	AUX	être
appartenaient	VERB	appartenir
Ils	PRON	il
La	DET	le
instables	ADJ	instable
de	ADP	de
n'	ADV	n'
parut	VERB	paraître
donnèrent	VERB	donner
On	PRON	on
des	DET	un
y	PRON	y
des	DET	un
corpuscules	NOUN	corpuscule
distrait	VERB	distraire
est	AUX	être
d'	ADP	de
y	PRON	y
assurait	VERB	assurer
.	PUNCT	.
n'	ADV	n'
Ils	PRON	il
.	PUNCT	.
parlait	VERB	parler
Elle	PRON	lui
méritait	VERB	mériter
système	NOUN	système
Il	PRON	il
tenaient	VERB	tenir
éclairage	NOUN	éclairage
durée	NOUN	durée
énergie	NOUN	énergie
électrons	NOUN	électron
qui	PRON	qui
à	ADP	à
Incorrigibles	ADJ	incorrigible
électricité	NOUN	électricité
.	PUNCT	.
globes	NOUN	globe
