absolue	ADJ	absolu
se	PRON	se
geler	VERB	geler
est	AUX	être
des	ADP	de
ouvre	VERB	ouvrir
n'	ADV	n'
affiche	NOUN	affiche
soleil	NOUN	soleil
reconnue	VERB	reconnaître
le	DET	le
s'	PRON	se
vallée	NOUN	vallée
,	PUNCT	,
vêtu	VERB	vêtir
pour	ADP	pour
,	PUNCT	,
se	PRON	se
un	DET	un
plus	ADV	plus
mes	DET	mon
ou	CCONJ	ou
carrés	ADJ	carré
lieu	NOUN	lieu
perçoive	VERB	percevoir
il	PRON	il
,	PUNCT	,
dans	ADP	dans
ce	PRON	ce
-elle	PRON	lui
à	ADP	à
réseau	NOUN	réseau
,	PUNCT	,
Aucune	DET	aucun
,	PUNCT	,
peseur	ADJ	peseur
extrait	VERB	extraire
,	PUNCT	,
on	PRON	on
premier	ADJ	premier
.	PUNCT	.
que	SCONJ	que
de	ADP	de
,	PUNCT	,
.	PUNCT	.
à	ADP	à
.	PUNCT	.
conservateur	NOUN	conservateur
par	ADP	par
au	ADP	au
exclu	VERB	exclure
,	PUNCT	,
avec	ADP	avec
Annonçant	VERB	annoncer
.	PUNCT	.
son	DET	son
vite	ADV	vite
Ce	PRON	ce
signes	NOUN	signe
verra	VERB	voir
est	AUX	être
de	ADP	de
la	DET	le
:	PUNCT	:
tu	PRON	tu
si	SCONJ	si
.	PUNCT	.
particulièrement	ADV	particulièrement
reconnues	VERB	reconnaître
d'	DET	d'
On	PRON	on
assise	VERB	asseoir
que	ADV	que
moindre	ADJ	moindre
un	DET	un
cette	DET	ce
les	PRON	le
où	PRON	où
empreinte	NOUN	empreinte
lumière	NOUN	lumière
neuf	PRON	neuf
Deux	NUM	Deux
deux	NUM	deux
tout	PRON	tout
s'	PRON	se
cette	DET	ce
marchait	VERB	marcher
assise	ADJ	asseoir
à	ADP	à
,	PUNCT	,
mais	CCONJ	mais
l'	DET	le
souvenir	NOUN	souvenir
.	PUNCT	.
souvenir	NOUN	souvenir
on	PRON	on
la	DET	le
en	ADP	en
nul	DET	nul
ramené	VERB	ramener
des	ADP	de
légitimité	NOUN	légitimité
Nous	PRON	nous
de	ADP	de
contre	ADP	contre
car	CCONJ	car
plumes	NOUN	plume
grain	NOUN	grain
ainsi	ADV	ainsi
des	ADP	de
d'	ADP	de
bien	ADV	bien
où	PRON	où
abstraites	ADJ	abstrait
abord	NOUN	abord
à	ADP	à
regard	NOUN	regard
plus	ADV	plus
sol	NOUN	sol
avoir	AUX	avoir
cires	NOUN	cire
étaient	AUX	être
d'	ADP	de
difficilement	ADV	difficilement
distinguer	VERB	distinguer
probablement	ADV	probablement
,	PUNCT	,
la	DET	le
sur	ADP	sur
,	PUNCT	,
,	PUNCT	,
cire	NOUN	cire
conserve	VERB	conserve
vitrifié	VERB	vitrifier
voir	VERB	voir
en	ADP	en
.	PUNCT	.
la	DET	le
onyx	PROPN	onyx
vous	PRON	vous
